,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,88000.0,104000.0,56000.0,0.0,0.0,16000.0,96000.0,120000.0,120000.0
1,104000.0,56000.0,0.0,0.0,16000.0,96000.0,120000.0,232000.0,48000.0
2,56000.0,0.0,0.0,16000.0,96000.0,120000.0,232000.0,120000.0,184000.0
3,0.0,0.0,16000.0,96000.0,120000.0,232000.0,120000.0,184000.0,112000.0
4,0.0,16000.0,96000.0,120000.0,232000.0,120000.0,184000.0,104000.0,136000.0
5,16000.0,96000.0,120000.0,232000.0,120000.0,184000.0,104000.0,56000.0,24000.0
6,96000.0,120000.0,232000.0,120000.0,184000.0,104000.0,56000.0,24000.0,80000.0
7,120000.0,232000.0,120000.0,184000.0,104000.0,56000.0,24000.0,168000.0,208000.0
8,232000.0,120000.0,184000.0,104000.0,56000.0,24000.0,168000.0,120000.0,200000.0
9,120000.0,184000.0,104000.0,56000.0,24000.0,168000.0,120000.0,48000.0,168000.0
10,184000.0,104000.0,56000.0,24000.0,168000.0,120000.0,48000.0,184000.0,104000.0
11,104000.0,56000.0,24000.0,168000.0,120000.0,48000.0,184000.0,112000.0,0.0
12,56000.0,24000.0,168000.0,120000.0,48000.0,184000.0,112000.0,136000.0,144000.0
13,24000.0,168000.0,120000.0,48000.0,184000.0,112000.0,136000.0,24000.0,48000.0
14,168000.0,120000.0,48000.0,184000.0,112000.0,136000.0,24000.0,80000.0,80000.0
15,120000.0,48000.0,184000.0,112000.0,136000.0,24000.0,80000.0,208000.0,80000.0
16,48000.0,184000.0,112000.0,136000.0,24000.0,80000.0,208000.0,200000.0,32000.0
17,184000.0,112000.0,136000.0,24000.0,80000.0,208000.0,200000.0,168000.0,72000.0
18,112000.0,136000.0,24000.0,80000.0,208000.0,200000.0,168000.0,104000.0,152000.0
19,136000.0,24000.0,80000.0,208000.0,200000.0,168000.0,104000.0,0.0,128000.0
20,24000.0,80000.0,208000.0,200000.0,168000.0,104000.0,0.0,144000.0,168000.0
21,80000.0,208000.0,200000.0,168000.0,104000.0,0.0,144000.0,48000.0,79920.0
22,208000.0,200000.0,168000.0,104000.0,0.0,144000.0,48000.0,80000.0,280000.0
23,200000.0,168000.0,104000.0,0.0,144000.0,48000.0,80000.0,80000.0,120000.0
24,168000.0,104000.0,0.0,144000.0,48000.0,80000.0,80000.0,32000.0,24000.0
25,104000.0,0.0,144000.0,48000.0,80000.0,80000.0,32000.0,72000.0,88000.0
26,0.0,144000.0,48000.0,80000.0,80000.0,32000.0,72000.0,152000.0,112000.0
27,144000.0,48000.0,80000.0,80000.0,32000.0,72000.0,152000.0,128000.0,96000.0
28,48000.0,80000.0,80000.0,32000.0,72000.0,152000.0,128000.0,168000.0,120000.0
29,80000.0,80000.0,32000.0,72000.0,152000.0,128000.0,168000.0,79920.0,128000.0
30,80000.0,32000.0,72000.0,152000.0,128000.0,168000.0,79920.0,280000.0,8000.0
31,32000.0,72000.0,152000.0,128000.0,168000.0,79920.0,280000.0,120000.0,80000.0
32,72000.0,152000.0,128000.0,168000.0,79920.0,280000.0,120000.0,24000.0,40000.0
33,152000.0,128000.0,168000.0,79920.0,280000.0,120000.0,24000.0,88000.0,56000.0
34,128000.0,168000.0,79920.0,280000.0,120000.0,24000.0,88000.0,112000.0,184000.0
35,168000.0,79920.0,280000.0,120000.0,24000.0,88000.0,112000.0,96000.0,208000.0
36,79920.0,280000.0,120000.0,24000.0,88000.0,112000.0,96000.0,120000.0,176000.0
37,280000.0,120000.0,24000.0,88000.0,112000.0,96000.0,120000.0,128000.0,8000.0
38,120000.0,24000.0,88000.0,112000.0,96000.0,120000.0,128000.0,8000.0,40000.0
39,24000.0,88000.0,112000.0,96000.0,120000.0,128000.0,8000.0,80000.0,136000.0
