,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,104000.0,184000.0,176000.0,88000.0,160000.0,192000.0,144000.0,128000.0,112000.0
1,184000.0,176000.0,88000.0,160000.0,192000.0,144000.0,128000.0,232000.0,120000.0
2,176000.0,88000.0,160000.0,192000.0,144000.0,128000.0,232000.0,200000.0,176000.0
3,88000.0,160000.0,192000.0,144000.0,128000.0,232000.0,200000.0,160000.0,192000.0
4,160000.0,192000.0,144000.0,128000.0,232000.0,200000.0,160000.0,152000.0,200000.0
5,192000.0,144000.0,128000.0,232000.0,200000.0,160000.0,152000.0,64000.0,8000.0
6,144000.0,128000.0,232000.0,200000.0,160000.0,152000.0,64000.0,40000.0,144000.0
7,128000.0,232000.0,200000.0,160000.0,152000.0,64000.0,40000.0,192000.0,232000.0
8,232000.0,200000.0,160000.0,152000.0,64000.0,40000.0,192000.0,112000.0,192000.0
9,200000.0,160000.0,152000.0,64000.0,40000.0,192000.0,112000.0,120000.0,192000.0
10,160000.0,152000.0,64000.0,40000.0,192000.0,112000.0,120000.0,176000.0,168000.0
11,152000.0,64000.0,40000.0,192000.0,112000.0,120000.0,176000.0,192000.0,0.0
12,64000.0,40000.0,192000.0,112000.0,120000.0,176000.0,192000.0,200000.0,160000.0
13,40000.0,192000.0,112000.0,120000.0,176000.0,192000.0,200000.0,8000.0,24000.0
14,192000.0,112000.0,120000.0,176000.0,192000.0,200000.0,8000.0,144000.0,48000.0
15,112000.0,120000.0,176000.0,192000.0,200000.0,8000.0,144000.0,232000.0,120000.0
16,120000.0,176000.0,192000.0,200000.0,8000.0,144000.0,232000.0,192000.0,64000.0
17,176000.0,192000.0,200000.0,8000.0,144000.0,232000.0,192000.0,192000.0,80000.0
18,192000.0,200000.0,8000.0,144000.0,232000.0,192000.0,192000.0,168000.0,144000.0
19,200000.0,8000.0,144000.0,232000.0,192000.0,192000.0,168000.0,0.0,112000.0
20,8000.0,144000.0,232000.0,192000.0,192000.0,168000.0,0.0,160000.0,192000.0
21,144000.0,232000.0,192000.0,192000.0,168000.0,0.0,160000.0,24000.0,120000.0
22,232000.0,192000.0,192000.0,168000.0,0.0,160000.0,24000.0,48000.0,72000.0
23,192000.0,192000.0,168000.0,0.0,160000.0,24000.0,48000.0,120000.0,80000.0
24,192000.0,168000.0,0.0,160000.0,24000.0,48000.0,120000.0,64000.0,56000.0
25,168000.0,0.0,160000.0,24000.0,48000.0,120000.0,64000.0,80000.0,72000.0
26,0.0,160000.0,24000.0,48000.0,120000.0,64000.0,80000.0,144000.0,64000.0
27,160000.0,24000.0,48000.0,120000.0,64000.0,80000.0,144000.0,112000.0,72000.0
28,24000.0,48000.0,120000.0,64000.0,80000.0,144000.0,112000.0,192000.0,56000.0
29,48000.0,120000.0,64000.0,80000.0,144000.0,112000.0,192000.0,120000.0,88000.0
30,120000.0,64000.0,80000.0,144000.0,112000.0,192000.0,120000.0,72000.0,72000.0
31,64000.0,80000.0,144000.0,112000.0,192000.0,120000.0,72000.0,80000.0,80000.0
32,80000.0,144000.0,112000.0,192000.0,120000.0,72000.0,80000.0,56000.0,88000.0
33,144000.0,112000.0,192000.0,120000.0,72000.0,80000.0,56000.0,72000.0,80000.0
34,112000.0,192000.0,120000.0,72000.0,80000.0,56000.0,72000.0,64000.0,96000.0
35,192000.0,120000.0,72000.0,80000.0,56000.0,72000.0,64000.0,72000.0,120000.0
36,120000.0,72000.0,80000.0,56000.0,72000.0,64000.0,72000.0,56000.0,288000.0
37,72000.0,80000.0,56000.0,72000.0,64000.0,72000.0,56000.0,88000.0,16000.0
