,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,242000.0,171000.0,189000.0,129000.0,188000.0,63000.0,84000.0,84000.0,36000.0
1,171000.0,189000.0,129000.0,188000.0,63000.0,84000.0,84000.0,138000.0,33000.0
2,189000.0,129000.0,188000.0,63000.0,84000.0,84000.0,138000.0,132000.0,30000.0
3,129000.0,188000.0,63000.0,84000.0,84000.0,138000.0,132000.0,114000.0,54000.0
4,188000.0,63000.0,84000.0,84000.0,138000.0,132000.0,114000.0,45000.0,105000.0
5,63000.0,84000.0,84000.0,138000.0,132000.0,114000.0,45000.0,141000.0,0.0
6,84000.0,84000.0,138000.0,132000.0,114000.0,45000.0,141000.0,30000.0,147000.0
7,84000.0,138000.0,132000.0,114000.0,45000.0,141000.0,30000.0,206000.0,48000.0
8,138000.0,132000.0,114000.0,45000.0,141000.0,30000.0,206000.0,36000.0,33000.0
9,132000.0,114000.0,45000.0,141000.0,30000.0,206000.0,36000.0,33000.0,60000.0
10,114000.0,45000.0,141000.0,30000.0,206000.0,36000.0,33000.0,30000.0,60000.0
11,45000.0,141000.0,30000.0,206000.0,36000.0,33000.0,30000.0,54000.0,12000.0
12,141000.0,30000.0,206000.0,36000.0,33000.0,30000.0,54000.0,105000.0,84000.0
13,30000.0,206000.0,36000.0,33000.0,30000.0,54000.0,105000.0,0.0,42000.0
14,206000.0,36000.0,33000.0,30000.0,54000.0,105000.0,0.0,147000.0,87000.0
15,36000.0,33000.0,30000.0,54000.0,105000.0,0.0,147000.0,48000.0,30000.0
16,33000.0,30000.0,54000.0,105000.0,0.0,147000.0,48000.0,33000.0,66000.0
17,30000.0,54000.0,105000.0,0.0,147000.0,48000.0,33000.0,60000.0,0.0
18,54000.0,105000.0,0.0,147000.0,48000.0,33000.0,60000.0,60000.0,87000.0
19,105000.0,0.0,147000.0,48000.0,33000.0,60000.0,60000.0,12000.0,66000.0
20,0.0,147000.0,48000.0,33000.0,60000.0,60000.0,12000.0,84000.0,39000.0
21,147000.0,48000.0,33000.0,60000.0,60000.0,12000.0,84000.0,42000.0,60000.0
22,48000.0,33000.0,60000.0,60000.0,12000.0,84000.0,42000.0,87000.0,69000.0
23,33000.0,60000.0,60000.0,12000.0,84000.0,42000.0,87000.0,30000.0,96000.0
24,60000.0,60000.0,12000.0,84000.0,42000.0,87000.0,30000.0,66000.0,51000.0
25,60000.0,12000.0,84000.0,42000.0,87000.0,30000.0,66000.0,0.0,66000.0
26,12000.0,84000.0,42000.0,87000.0,30000.0,66000.0,0.0,87000.0,69000.0
27,84000.0,42000.0,87000.0,30000.0,66000.0,0.0,87000.0,66000.0,21000.0
28,42000.0,87000.0,30000.0,66000.0,0.0,87000.0,66000.0,39000.0,60000.0
29,87000.0,30000.0,66000.0,0.0,87000.0,66000.0,39000.0,60000.0,51000.0
30,30000.0,66000.0,0.0,87000.0,66000.0,39000.0,60000.0,69000.0,69000.0
31,66000.0,0.0,87000.0,66000.0,39000.0,60000.0,69000.0,96000.0,60000.0
32,0.0,87000.0,66000.0,39000.0,60000.0,69000.0,96000.0,51000.0,69000.0
33,87000.0,66000.0,39000.0,60000.0,69000.0,96000.0,51000.0,66000.0,33000.0
34,66000.0,39000.0,60000.0,69000.0,96000.0,51000.0,66000.0,69000.0,6000.0
35,39000.0,60000.0,69000.0,96000.0,51000.0,66000.0,69000.0,21000.0,96000.0
36,60000.0,69000.0,96000.0,51000.0,66000.0,69000.0,21000.0,60000.0,129000.0
37,69000.0,96000.0,51000.0,66000.0,69000.0,21000.0,60000.0,51000.0,0.0
38,96000.0,51000.0,66000.0,69000.0,21000.0,60000.0,51000.0,69000.0,6000.0
39,51000.0,66000.0,69000.0,21000.0,60000.0,51000.0,69000.0,60000.0,66000.0
40,66000.0,69000.0,21000.0,60000.0,51000.0,69000.0,60000.0,69000.0,51000.0
41,69000.0,21000.0,60000.0,51000.0,69000.0,60000.0,69000.0,33000.0,90000.0
42,21000.0,60000.0,51000.0,69000.0,60000.0,69000.0,33000.0,6000.0,18000.0
43,60000.0,51000.0,69000.0,60000.0,69000.0,33000.0,6000.0,96000.0,105000.0
44,51000.0,69000.0,60000.0,69000.0,33000.0,6000.0,96000.0,129000.0,66000.0
45,69000.0,60000.0,69000.0,33000.0,6000.0,96000.0,129000.0,0.0,72000.0
46,60000.0,69000.0,33000.0,6000.0,96000.0,129000.0,0.0,6000.0,66000.0
47,69000.0,33000.0,6000.0,96000.0,129000.0,0.0,6000.0,66000.0,42000.0
48,33000.0,6000.0,96000.0,129000.0,0.0,6000.0,66000.0,51000.0,69000.0
49,6000.0,96000.0,129000.0,0.0,6000.0,66000.0,51000.0,90000.0,93000.0
50,96000.0,129000.0,0.0,6000.0,66000.0,51000.0,90000.0,18000.0,117000.0
51,129000.0,0.0,6000.0,66000.0,51000.0,90000.0,18000.0,105000.0,42000.0
52,0.0,6000.0,66000.0,51000.0,90000.0,18000.0,105000.0,66000.0,78000.0
53,6000.0,66000.0,51000.0,90000.0,18000.0,105000.0,66000.0,72000.0,60000.0
54,66000.0,51000.0,90000.0,18000.0,105000.0,66000.0,72000.0,66000.0,57000.0
55,51000.0,90000.0,18000.0,105000.0,66000.0,72000.0,66000.0,42000.0,183000.0
56,90000.0,18000.0,105000.0,66000.0,72000.0,66000.0,42000.0,69000.0,39000.0
57,18000.0,105000.0,66000.0,72000.0,66000.0,42000.0,69000.0,93000.0,120000.0
58,105000.0,66000.0,72000.0,66000.0,42000.0,69000.0,93000.0,117000.0,84000.0
59,66000.0,72000.0,66000.0,42000.0,69000.0,93000.0,117000.0,42000.0,63000.0
60,72000.0,66000.0,42000.0,69000.0,93000.0,117000.0,42000.0,78000.0,114000.0
61,66000.0,42000.0,69000.0,93000.0,117000.0,42000.0,78000.0,60000.0,135000.0
62,42000.0,69000.0,93000.0,117000.0,42000.0,78000.0,60000.0,57000.0,108000.0
63,69000.0,93000.0,117000.0,42000.0,78000.0,60000.0,57000.0,183000.0,21000.0
64,93000.0,117000.0,42000.0,78000.0,60000.0,57000.0,183000.0,39000.0,159000.0
65,117000.0,42000.0,78000.0,60000.0,57000.0,183000.0,39000.0,120000.0,87000.0
66,42000.0,78000.0,60000.0,57000.0,183000.0,39000.0,120000.0,84000.0,163000.0
67,78000.0,60000.0,57000.0,183000.0,39000.0,120000.0,84000.0,63000.0,0.0
68,60000.0,57000.0,183000.0,39000.0,120000.0,84000.0,63000.0,114000.0,15000.0
69,57000.0,183000.0,39000.0,120000.0,84000.0,63000.0,114000.0,135000.0,102000.0
70,183000.0,39000.0,120000.0,84000.0,63000.0,114000.0,135000.0,108000.0,21000.0
71,39000.0,120000.0,84000.0,63000.0,114000.0,135000.0,108000.0,21000.0,69000.0
72,120000.0,84000.0,63000.0,114000.0,135000.0,108000.0,21000.0,159000.0,60000.0
73,84000.0,63000.0,114000.0,135000.0,108000.0,21000.0,159000.0,87000.0,105000.0
74,63000.0,114000.0,135000.0,108000.0,21000.0,159000.0,87000.0,163000.0,117000.0
75,114000.0,135000.0,108000.0,21000.0,159000.0,87000.0,163000.0,0.0,138000.0
76,135000.0,108000.0,21000.0,159000.0,87000.0,163000.0,0.0,15000.0,144000.0
77,108000.0,21000.0,159000.0,87000.0,163000.0,0.0,15000.0,102000.0,117000.0
78,21000.0,159000.0,87000.0,163000.0,0.0,15000.0,102000.0,21000.0,78000.0
79,159000.0,87000.0,163000.0,0.0,15000.0,102000.0,21000.0,69000.0,159000.0
80,87000.0,163000.0,0.0,15000.0,102000.0,21000.0,69000.0,60000.0,75000.0
81,163000.0,0.0,15000.0,102000.0,21000.0,69000.0,60000.0,105000.0,114000.0
82,0.0,15000.0,102000.0,21000.0,69000.0,60000.0,105000.0,117000.0,141000.0
83,15000.0,102000.0,21000.0,69000.0,60000.0,105000.0,117000.0,138000.0,141000.0
84,102000.0,21000.0,69000.0,60000.0,105000.0,117000.0,138000.0,144000.0,181000.0
85,21000.0,69000.0,60000.0,105000.0,117000.0,138000.0,144000.0,117000.0,99000.0
86,69000.0,60000.0,105000.0,117000.0,138000.0,144000.0,117000.0,78000.0,162000.0
87,60000.0,105000.0,117000.0,138000.0,144000.0,117000.0,78000.0,159000.0,186000.0
88,105000.0,117000.0,138000.0,144000.0,117000.0,78000.0,159000.0,75000.0,239000.0
89,117000.0,138000.0,144000.0,117000.0,78000.0,159000.0,75000.0,114000.0,111000.0
90,138000.0,144000.0,117000.0,78000.0,159000.0,75000.0,114000.0,141000.0,222000.0
91,144000.0,117000.0,78000.0,159000.0,75000.0,114000.0,141000.0,141000.0,141000.0
92,117000.0,78000.0,159000.0,75000.0,114000.0,141000.0,141000.0,181000.0,111000.0
93,78000.0,159000.0,75000.0,114000.0,141000.0,141000.0,181000.0,99000.0,162000.0
94,159000.0,75000.0,114000.0,141000.0,141000.0,181000.0,99000.0,162000.0,66000.0
95,75000.0,114000.0,141000.0,141000.0,181000.0,99000.0,162000.0,186000.0,78000.0
96,114000.0,141000.0,141000.0,181000.0,99000.0,162000.0,186000.0,239000.0,126000.0
97,141000.0,141000.0,181000.0,99000.0,162000.0,186000.0,239000.0,111000.0,102000.0
98,141000.0,181000.0,99000.0,162000.0,186000.0,239000.0,111000.0,222000.0,108000.0
