,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0
1,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,51000.0
2,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,12000.0
3,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,0.0,21000.0
4,0.0,0.0,0.0,0.0,21000.0,0.0,0.0,9000.0,48000.0
5,0.0,0.0,0.0,21000.0,0.0,0.0,9000.0,9000.0,15000.0
6,0.0,0.0,21000.0,0.0,0.0,9000.0,9000.0,3000.0,12000.0
7,0.0,21000.0,0.0,0.0,9000.0,9000.0,3000.0,6000.0,30000.0
8,21000.0,0.0,0.0,9000.0,9000.0,3000.0,6000.0,6000.0,24000.0
9,0.0,0.0,9000.0,9000.0,3000.0,6000.0,6000.0,51000.0,39000.0
10,0.0,9000.0,9000.0,3000.0,6000.0,6000.0,51000.0,12000.0,48000.0
11,9000.0,9000.0,3000.0,6000.0,6000.0,51000.0,12000.0,21000.0,9000.0
12,9000.0,3000.0,6000.0,6000.0,51000.0,12000.0,21000.0,48000.0,72000.0
13,3000.0,6000.0,6000.0,51000.0,12000.0,21000.0,48000.0,15000.0,9000.0
14,6000.0,6000.0,51000.0,12000.0,21000.0,48000.0,15000.0,12000.0,75000.0
15,6000.0,51000.0,12000.0,21000.0,48000.0,15000.0,12000.0,30000.0,51000.0
16,51000.0,12000.0,21000.0,48000.0,15000.0,12000.0,30000.0,24000.0,51000.0
17,12000.0,21000.0,48000.0,15000.0,12000.0,30000.0,24000.0,39000.0,42000.0
18,21000.0,48000.0,15000.0,12000.0,30000.0,24000.0,39000.0,48000.0,42000.0
19,48000.0,15000.0,12000.0,30000.0,24000.0,39000.0,48000.0,9000.0,120000.0
20,15000.0,12000.0,30000.0,24000.0,39000.0,48000.0,9000.0,72000.0,87000.0
21,12000.0,30000.0,24000.0,39000.0,48000.0,9000.0,72000.0,9000.0,117000.0
