,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,190000.0,550000.0,395000.0,425000.0,585000.0,495000.0,430000.0,860000.0,655000.0
1,550000.0,395000.0,425000.0,585000.0,495000.0,430000.0,860000.0,875000.0,505000.0
2,395000.0,425000.0,585000.0,495000.0,430000.0,860000.0,875000.0,935000.0,635000.0
3,425000.0,585000.0,495000.0,430000.0,860000.0,875000.0,935000.0,1005000.0,595000.0
4,585000.0,495000.0,430000.0,860000.0,875000.0,935000.0,1005000.0,710000.0,630000.0
5,495000.0,430000.0,860000.0,875000.0,935000.0,1005000.0,710000.0,575000.0,260000.0
6,430000.0,860000.0,875000.0,935000.0,1005000.0,710000.0,575000.0,360000.0,560000.0
7,860000.0,875000.0,935000.0,1005000.0,710000.0,575000.0,360000.0,835000.0,790000.0
8,875000.0,935000.0,1005000.0,710000.0,575000.0,360000.0,835000.0,655000.0,760000.0
9,935000.0,1005000.0,710000.0,575000.0,360000.0,835000.0,655000.0,505000.0,545000.0
10,1005000.0,710000.0,575000.0,360000.0,835000.0,655000.0,505000.0,635000.0,695000.0
11,710000.0,575000.0,360000.0,835000.0,655000.0,505000.0,635000.0,595000.0,140000.0
12,575000.0,360000.0,835000.0,655000.0,505000.0,635000.0,595000.0,630000.0,725000.0
13,360000.0,835000.0,655000.0,505000.0,635000.0,595000.0,630000.0,260000.0,95000.0
14,835000.0,655000.0,505000.0,635000.0,595000.0,630000.0,260000.0,560000.0,955000.0
15,655000.0,505000.0,635000.0,595000.0,630000.0,260000.0,560000.0,790000.0,490000.0
16,505000.0,635000.0,595000.0,630000.0,260000.0,560000.0,790000.0,760000.0,525000.0
17,635000.0,595000.0,630000.0,260000.0,560000.0,790000.0,760000.0,545000.0,495000.0
18,595000.0,630000.0,260000.0,560000.0,790000.0,760000.0,545000.0,695000.0,510000.0
19,630000.0,260000.0,560000.0,790000.0,760000.0,545000.0,695000.0,140000.0,870000.0
20,260000.0,560000.0,790000.0,760000.0,545000.0,695000.0,140000.0,725000.0,965000.0
21,560000.0,790000.0,760000.0,545000.0,695000.0,140000.0,725000.0,95000.0,830000.0
22,790000.0,760000.0,545000.0,695000.0,140000.0,725000.0,95000.0,955000.0,985000.0
23,760000.0,545000.0,695000.0,140000.0,725000.0,95000.0,955000.0,490000.0,780000.0
24,545000.0,695000.0,140000.0,725000.0,95000.0,955000.0,490000.0,525000.0,520000.0
25,695000.0,140000.0,725000.0,95000.0,955000.0,490000.0,525000.0,495000.0,785000.0
26,140000.0,725000.0,95000.0,955000.0,490000.0,525000.0,495000.0,510000.0,955000.0
27,725000.0,95000.0,955000.0,490000.0,525000.0,495000.0,510000.0,870000.0,780000.0
28,95000.0,955000.0,490000.0,525000.0,495000.0,510000.0,870000.0,965000.0,890000.0
29,955000.0,490000.0,525000.0,495000.0,510000.0,870000.0,965000.0,830000.0,1070000.0
30,490000.0,525000.0,495000.0,510000.0,870000.0,965000.0,830000.0,985000.0,1180000.0
31,525000.0,495000.0,510000.0,870000.0,965000.0,830000.0,985000.0,780000.0,1050000.0
32,495000.0,510000.0,870000.0,965000.0,830000.0,985000.0,780000.0,520000.0,1335000.0
33,510000.0,870000.0,965000.0,830000.0,985000.0,780000.0,520000.0,785000.0,1635000.0
34,870000.0,965000.0,830000.0,985000.0,780000.0,520000.0,785000.0,955000.0,830000.0
35,965000.0,830000.0,985000.0,780000.0,520000.0,785000.0,955000.0,780000.0,1495000.0
36,830000.0,985000.0,780000.0,520000.0,785000.0,955000.0,780000.0,890000.0,2155000.0
37,985000.0,780000.0,520000.0,785000.0,955000.0,780000.0,890000.0,1070000.0,710000.0
38,780000.0,520000.0,785000.0,955000.0,780000.0,890000.0,1070000.0,1180000.0,1165000.0
39,520000.0,785000.0,955000.0,780000.0,890000.0,1070000.0,1180000.0,1050000.0,935000.0
40,785000.0,955000.0,780000.0,890000.0,1070000.0,1180000.0,1050000.0,1335000.0,815000.0
41,955000.0,780000.0,890000.0,1070000.0,1180000.0,1050000.0,1335000.0,1635000.0,1395000.0
42,780000.0,890000.0,1070000.0,1180000.0,1050000.0,1335000.0,1635000.0,830000.0,1465000.0
43,890000.0,1070000.0,1180000.0,1050000.0,1335000.0,1635000.0,830000.0,1495000.0,1545000.0
44,1070000.0,1180000.0,1050000.0,1335000.0,1635000.0,830000.0,1495000.0,2155000.0,1420000.0
45,1180000.0,1050000.0,1335000.0,1635000.0,830000.0,1495000.0,2155000.0,710000.0,1450000.0
46,1050000.0,1335000.0,1635000.0,830000.0,1495000.0,2155000.0,710000.0,1165000.0,1270000.0
47,1335000.0,1635000.0,830000.0,1495000.0,2155000.0,710000.0,1165000.0,935000.0,1395000.0
48,1635000.0,830000.0,1495000.0,2155000.0,710000.0,1165000.0,935000.0,815000.0,1395000.0
49,830000.0,1495000.0,2155000.0,710000.0,1165000.0,935000.0,815000.0,1395000.0,1250000.0
50,1495000.0,2155000.0,710000.0,1165000.0,935000.0,815000.0,1395000.0,1465000.0,645000.0
51,2155000.0,710000.0,1165000.0,935000.0,815000.0,1395000.0,1465000.0,1545000.0,1325000.0
52,710000.0,1165000.0,935000.0,815000.0,1395000.0,1465000.0,1545000.0,1420000.0,1005000.0
53,1165000.0,935000.0,815000.0,1395000.0,1465000.0,1545000.0,1420000.0,1450000.0,1050000.0
54,935000.0,815000.0,1395000.0,1465000.0,1545000.0,1420000.0,1450000.0,1270000.0,1500000.0
55,815000.0,1395000.0,1465000.0,1545000.0,1420000.0,1450000.0,1270000.0,1395000.0,1095000.0
56,1395000.0,1465000.0,1545000.0,1420000.0,1450000.0,1270000.0,1395000.0,1395000.0,1180000.0
57,1465000.0,1545000.0,1420000.0,1450000.0,1270000.0,1395000.0,1395000.0,1250000.0,1485000.0
58,1545000.0,1420000.0,1450000.0,1270000.0,1395000.0,1395000.0,1250000.0,645000.0,1125000.0
59,1420000.0,1450000.0,1270000.0,1395000.0,1395000.0,1250000.0,645000.0,1325000.0,815000.0
60,1450000.0,1270000.0,1395000.0,1395000.0,1250000.0,645000.0,1325000.0,1005000.0,765000.0
61,1270000.0,1395000.0,1395000.0,1250000.0,645000.0,1325000.0,1005000.0,1050000.0,1220000.0
62,1395000.0,1395000.0,1250000.0,645000.0,1325000.0,1005000.0,1050000.0,1500000.0,830000.0
63,1395000.0,1250000.0,645000.0,1325000.0,1005000.0,1050000.0,1500000.0,1095000.0,215000.0
64,1250000.0,645000.0,1325000.0,1005000.0,1050000.0,1500000.0,1095000.0,1180000.0,885000.0
65,645000.0,1325000.0,1005000.0,1050000.0,1500000.0,1095000.0,1180000.0,1485000.0,1346666.666666667
66,1325000.0,1005000.0,1050000.0,1500000.0,1095000.0,1180000.0,1485000.0,1125000.0,1125000.0
67,1005000.0,1050000.0,1500000.0,1095000.0,1180000.0,1485000.0,1125000.0,815000.0,380000.0
68,1050000.0,1500000.0,1095000.0,1180000.0,1485000.0,1125000.0,815000.0,765000.0,300000.0
69,1500000.0,1095000.0,1180000.0,1485000.0,1125000.0,815000.0,765000.0,1220000.0,665000.0
70,1095000.0,1180000.0,1485000.0,1125000.0,815000.0,765000.0,1220000.0,830000.0,1065000.0
71,1180000.0,1485000.0,1125000.0,815000.0,765000.0,1220000.0,830000.0,215000.0,900000.0
72,1485000.0,1125000.0,815000.0,765000.0,1220000.0,830000.0,215000.0,885000.0,1200000.0
73,1125000.0,815000.0,765000.0,1220000.0,830000.0,215000.0,885000.0,1346666.666666667,895000.0
74,815000.0,765000.0,1220000.0,830000.0,215000.0,885000.0,1346666.666666667,1125000.0,1220000.0
