,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,4700.0,0.0,0.0,0.0,19800.0,15000.0,90000.0
1,0.0,4700.0,0.0,0.0,0.0,19800.0,15000.0,0.0,15000.0
2,4700.0,0.0,0.0,0.0,19800.0,15000.0,0.0,0.0,35000.0
3,0.0,0.0,0.0,19800.0,15000.0,0.0,0.0,45000.0,85000.0
4,0.0,0.0,19800.0,15000.0,0.0,0.0,45000.0,34927.0,55000.0
5,0.0,19800.0,15000.0,0.0,0.0,45000.0,34927.0,35000.0,30000.0
6,19800.0,15000.0,0.0,0.0,45000.0,34927.0,35000.0,20000.0,50000.0
7,15000.0,0.0,0.0,45000.0,34927.0,35000.0,20000.0,30000.0,50000.0
8,0.0,0.0,45000.0,34927.0,35000.0,20000.0,30000.0,90000.0,15000.0
9,0.0,45000.0,34927.0,35000.0,20000.0,30000.0,90000.0,15000.0,30000.0
10,45000.0,34927.0,35000.0,20000.0,30000.0,90000.0,15000.0,35000.0,45000.0
11,34927.0,35000.0,20000.0,30000.0,90000.0,15000.0,35000.0,85000.0,0.0
12,35000.0,20000.0,30000.0,90000.0,15000.0,35000.0,85000.0,55000.0,35000.0
13,20000.0,30000.0,90000.0,15000.0,35000.0,85000.0,55000.0,30000.0,20000.0
14,30000.0,90000.0,15000.0,35000.0,85000.0,55000.0,30000.0,50000.0,35000.0
15,90000.0,15000.0,35000.0,85000.0,55000.0,30000.0,50000.0,50000.0,15000.0
16,15000.0,35000.0,85000.0,55000.0,30000.0,50000.0,50000.0,15000.0,5000.0
17,35000.0,85000.0,55000.0,30000.0,50000.0,50000.0,15000.0,30000.0,5000.0
18,85000.0,55000.0,30000.0,50000.0,50000.0,15000.0,30000.0,45000.0,45000.0
19,55000.0,30000.0,50000.0,50000.0,15000.0,30000.0,45000.0,0.0,20000.0
20,30000.0,50000.0,50000.0,15000.0,30000.0,45000.0,0.0,35000.0,70000.0
21,50000.0,50000.0,15000.0,30000.0,45000.0,0.0,35000.0,20000.0,50000.0
22,50000.0,15000.0,30000.0,45000.0,0.0,35000.0,20000.0,35000.0,50000.0
23,15000.0,30000.0,45000.0,0.0,35000.0,20000.0,35000.0,15000.0,35000.0
24,30000.0,45000.0,0.0,35000.0,20000.0,35000.0,15000.0,5000.0,5000.0
25,45000.0,0.0,35000.0,20000.0,35000.0,15000.0,5000.0,5000.0,35000.0
26,0.0,35000.0,20000.0,35000.0,15000.0,5000.0,5000.0,45000.0,90000.0
27,35000.0,20000.0,35000.0,15000.0,5000.0,5000.0,45000.0,20000.0,10000.0
28,20000.0,35000.0,15000.0,5000.0,5000.0,45000.0,20000.0,70000.0,10000.0
29,35000.0,15000.0,5000.0,5000.0,45000.0,20000.0,70000.0,50000.0,30000.0
30,15000.0,5000.0,5000.0,45000.0,20000.0,70000.0,50000.0,50000.0,45000.0
31,5000.0,5000.0,45000.0,20000.0,70000.0,50000.0,50000.0,35000.0,90000.0
32,5000.0,45000.0,20000.0,70000.0,50000.0,50000.0,35000.0,5000.0,20000.0
33,45000.0,20000.0,70000.0,50000.0,50000.0,35000.0,5000.0,35000.0,40000.0
34,20000.0,70000.0,50000.0,50000.0,35000.0,5000.0,35000.0,90000.0,55000.0
35,70000.0,50000.0,50000.0,35000.0,5000.0,35000.0,90000.0,10000.0,40000.0
36,50000.0,50000.0,35000.0,5000.0,35000.0,90000.0,10000.0,10000.0,75000.0
37,50000.0,35000.0,5000.0,35000.0,90000.0,10000.0,10000.0,30000.0,5000.0
38,35000.0,5000.0,35000.0,90000.0,10000.0,10000.0,30000.0,45000.0,35000.0
39,5000.0,35000.0,90000.0,10000.0,10000.0,30000.0,45000.0,90000.0,100000.0
40,35000.0,90000.0,10000.0,10000.0,30000.0,45000.0,90000.0,20000.0,35000.0
41,90000.0,10000.0,10000.0,30000.0,45000.0,90000.0,20000.0,40000.0,90000.0
42,10000.0,10000.0,30000.0,45000.0,90000.0,20000.0,40000.0,55000.0,5000.0
43,10000.0,30000.0,45000.0,90000.0,20000.0,40000.0,55000.0,40000.0,80000.0
44,30000.0,45000.0,90000.0,20000.0,40000.0,55000.0,40000.0,75000.0,85000.0
45,45000.0,90000.0,20000.0,40000.0,55000.0,40000.0,75000.0,5000.0,125000.0
46,90000.0,20000.0,40000.0,55000.0,40000.0,75000.0,5000.0,35000.0,40000.0
47,20000.0,40000.0,55000.0,40000.0,75000.0,5000.0,35000.0,100000.0,65000.0
48,40000.0,55000.0,40000.0,75000.0,5000.0,35000.0,100000.0,35000.0,40000.0
49,55000.0,40000.0,75000.0,5000.0,35000.0,100000.0,35000.0,90000.0,80000.0
50,40000.0,75000.0,5000.0,35000.0,100000.0,35000.0,90000.0,5000.0,30000.0
51,75000.0,5000.0,35000.0,100000.0,35000.0,90000.0,5000.0,80000.0,81600.0
52,5000.0,35000.0,100000.0,35000.0,90000.0,5000.0,80000.0,85000.0,45000.0
53,35000.0,100000.0,35000.0,90000.0,5000.0,80000.0,85000.0,125000.0,85000.0
54,100000.0,35000.0,90000.0,5000.0,80000.0,85000.0,125000.0,40000.0,35000.0
55,35000.0,90000.0,5000.0,80000.0,85000.0,125000.0,40000.0,65000.0,55000.0
56,90000.0,5000.0,80000.0,85000.0,125000.0,40000.0,65000.0,40000.0,100000.0
57,5000.0,80000.0,85000.0,125000.0,40000.0,65000.0,40000.0,80000.0,100000.0
58,80000.0,85000.0,125000.0,40000.0,65000.0,40000.0,80000.0,30000.0,55000.0
59,85000.0,125000.0,40000.0,65000.0,40000.0,80000.0,30000.0,81600.0,50000.0
60,125000.0,40000.0,65000.0,40000.0,80000.0,30000.0,81600.0,45000.0,81666.66666666669
61,40000.0,65000.0,40000.0,80000.0,30000.0,81600.0,45000.0,85000.0,110000.0
62,65000.0,40000.0,80000.0,30000.0,81600.0,45000.0,85000.0,35000.0,45000.0
63,40000.0,80000.0,30000.0,81600.0,45000.0,85000.0,35000.0,55000.0,15000.0
64,80000.0,30000.0,81600.0,45000.0,85000.0,35000.0,55000.0,100000.0,15000.0
65,30000.0,81600.0,45000.0,85000.0,35000.0,55000.0,100000.0,100000.0,35000.0
66,81600.0,45000.0,85000.0,35000.0,55000.0,100000.0,100000.0,55000.0,130000.0
67,45000.0,85000.0,35000.0,55000.0,100000.0,100000.0,55000.0,50000.0,5000.0
68,85000.0,35000.0,55000.0,100000.0,100000.0,55000.0,50000.0,81666.66666666669,0.0
69,35000.0,55000.0,100000.0,100000.0,55000.0,50000.0,81666.66666666669,110000.0,35000.0
70,55000.0,100000.0,100000.0,55000.0,50000.0,81666.66666666669,110000.0,45000.0,45000.0
71,100000.0,100000.0,55000.0,50000.0,81666.66666666669,110000.0,45000.0,15000.0,40000.0
72,100000.0,55000.0,50000.0,81666.66666666669,110000.0,45000.0,15000.0,15000.0,40000.0
73,55000.0,50000.0,81666.66666666669,110000.0,45000.0,15000.0,15000.0,35000.0,15000.0
74,50000.0,81666.66666666669,110000.0,45000.0,15000.0,15000.0,35000.0,130000.0,80000.0
75,81666.66666666669,110000.0,45000.0,15000.0,15000.0,35000.0,130000.0,5000.0,65000.0
76,110000.0,45000.0,15000.0,15000.0,35000.0,130000.0,5000.0,0.0,55000.0
77,45000.0,15000.0,15000.0,35000.0,130000.0,5000.0,0.0,35000.0,93333.33333333331
78,15000.0,15000.0,35000.0,130000.0,5000.0,0.0,35000.0,45000.0,45000.0
79,15000.0,35000.0,130000.0,5000.0,0.0,35000.0,45000.0,40000.0,115000.0
80,35000.0,130000.0,5000.0,0.0,35000.0,45000.0,40000.0,40000.0,106666.66666666669
81,130000.0,5000.0,0.0,35000.0,45000.0,40000.0,40000.0,15000.0,153333.33333333337
82,5000.0,0.0,35000.0,45000.0,40000.0,40000.0,15000.0,80000.0,151666.66666666663
83,0.0,35000.0,45000.0,40000.0,40000.0,15000.0,80000.0,65000.0,163333.33333333337
84,35000.0,45000.0,40000.0,40000.0,15000.0,80000.0,65000.0,55000.0,163333.33333333337
85,45000.0,40000.0,40000.0,15000.0,80000.0,65000.0,55000.0,93333.33333333331,65000.0
