,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,462000.0,96000.0,84000.0,126000.0,69000.0,150000.0,564000.0,366000.0,279000.0
1,96000.0,84000.0,126000.0,69000.0,150000.0,564000.0,366000.0,75000.0,51000.0
2,84000.0,126000.0,69000.0,150000.0,564000.0,366000.0,75000.0,630000.0,57000.0
3,126000.0,69000.0,150000.0,564000.0,366000.0,75000.0,630000.0,222000.0,114000.0
4,69000.0,150000.0,564000.0,366000.0,75000.0,630000.0,222000.0,51000.0,108000.0
5,150000.0,564000.0,366000.0,75000.0,630000.0,222000.0,51000.0,60000.0,33000.0
6,564000.0,366000.0,75000.0,630000.0,222000.0,51000.0,60000.0,15000.0,42000.0
7,366000.0,75000.0,630000.0,222000.0,51000.0,60000.0,15000.0,429000.0,153000.0
8,75000.0,630000.0,222000.0,51000.0,60000.0,15000.0,429000.0,279000.0,60000.0
9,630000.0,222000.0,51000.0,60000.0,15000.0,429000.0,279000.0,51000.0,138000.0
10,222000.0,51000.0,60000.0,15000.0,429000.0,279000.0,51000.0,57000.0,33000.0
11,51000.0,60000.0,15000.0,429000.0,279000.0,51000.0,57000.0,114000.0,9000.0
12,60000.0,15000.0,429000.0,279000.0,51000.0,57000.0,114000.0,108000.0,60000.0
13,15000.0,429000.0,279000.0,51000.0,57000.0,114000.0,108000.0,33000.0,51000.0
14,429000.0,279000.0,51000.0,57000.0,114000.0,108000.0,33000.0,42000.0,78000.0
15,279000.0,51000.0,57000.0,114000.0,108000.0,33000.0,42000.0,153000.0,24000.0
16,51000.0,57000.0,114000.0,108000.0,33000.0,42000.0,153000.0,60000.0,63000.0
17,57000.0,114000.0,108000.0,33000.0,42000.0,153000.0,60000.0,138000.0,51000.0
18,114000.0,108000.0,33000.0,42000.0,153000.0,60000.0,138000.0,33000.0,135000.0
19,108000.0,33000.0,42000.0,153000.0,60000.0,138000.0,33000.0,9000.0,147000.0
20,33000.0,42000.0,153000.0,60000.0,138000.0,33000.0,9000.0,60000.0,105000.0
21,42000.0,153000.0,60000.0,138000.0,33000.0,9000.0,60000.0,51000.0,87000.0
22,153000.0,60000.0,138000.0,33000.0,9000.0,60000.0,51000.0,78000.0,387000.0
23,60000.0,138000.0,33000.0,9000.0,60000.0,51000.0,78000.0,24000.0,657000.0
24,138000.0,33000.0,9000.0,60000.0,51000.0,78000.0,24000.0,63000.0,405000.0
25,33000.0,9000.0,60000.0,51000.0,78000.0,24000.0,63000.0,51000.0,150000.0
26,9000.0,60000.0,51000.0,78000.0,24000.0,63000.0,51000.0,135000.0,126000.0
27,60000.0,51000.0,78000.0,24000.0,63000.0,51000.0,135000.0,147000.0,195000.0
28,51000.0,78000.0,24000.0,63000.0,51000.0,135000.0,147000.0,105000.0,252000.0
29,78000.0,24000.0,63000.0,51000.0,135000.0,147000.0,105000.0,87000.0,195000.0
30,24000.0,63000.0,51000.0,135000.0,147000.0,105000.0,87000.0,387000.0,102000.0
31,63000.0,51000.0,135000.0,147000.0,105000.0,87000.0,387000.0,657000.0,243000.0
32,51000.0,135000.0,147000.0,105000.0,87000.0,387000.0,657000.0,405000.0,267000.0
33,135000.0,147000.0,105000.0,87000.0,387000.0,657000.0,405000.0,150000.0,588000.0
34,147000.0,105000.0,87000.0,387000.0,657000.0,405000.0,150000.0,126000.0,264000.0
35,105000.0,87000.0,387000.0,657000.0,405000.0,150000.0,126000.0,195000.0,591000.0
36,87000.0,387000.0,657000.0,405000.0,150000.0,126000.0,195000.0,252000.0,456000.0
37,387000.0,657000.0,405000.0,150000.0,126000.0,195000.0,252000.0,195000.0,714000.0
38,657000.0,405000.0,150000.0,126000.0,195000.0,252000.0,195000.0,102000.0,438000.0
39,405000.0,150000.0,126000.0,195000.0,252000.0,195000.0,102000.0,243000.0,951000.0
40,150000.0,126000.0,195000.0,252000.0,195000.0,102000.0,243000.0,267000.0,762000.0
41,126000.0,195000.0,252000.0,195000.0,102000.0,243000.0,267000.0,588000.0,207000.0
42,195000.0,252000.0,195000.0,102000.0,243000.0,267000.0,588000.0,264000.0,279000.0
43,252000.0,195000.0,102000.0,243000.0,267000.0,588000.0,264000.0,591000.0,518000.0
44,195000.0,102000.0,243000.0,267000.0,588000.0,264000.0,591000.0,456000.0,123000.0
45,102000.0,243000.0,267000.0,588000.0,264000.0,591000.0,456000.0,714000.0,918000.0
46,243000.0,267000.0,588000.0,264000.0,591000.0,456000.0,714000.0,438000.0,954000.0
47,267000.0,588000.0,264000.0,591000.0,456000.0,714000.0,438000.0,951000.0,201000.0
48,588000.0,264000.0,591000.0,456000.0,714000.0,438000.0,951000.0,762000.0,204000.0
49,264000.0,591000.0,456000.0,714000.0,438000.0,951000.0,762000.0,207000.0,753000.0
50,591000.0,456000.0,714000.0,438000.0,951000.0,762000.0,207000.0,279000.0,93000.0
51,456000.0,714000.0,438000.0,951000.0,762000.0,207000.0,279000.0,518000.0,627000.0
52,714000.0,438000.0,951000.0,762000.0,207000.0,279000.0,518000.0,123000.0,711000.0
53,438000.0,951000.0,762000.0,207000.0,279000.0,518000.0,123000.0,918000.0,270000.0
54,951000.0,762000.0,207000.0,279000.0,518000.0,123000.0,918000.0,954000.0,708000.0
55,762000.0,207000.0,279000.0,518000.0,123000.0,918000.0,954000.0,201000.0,444000.0
56,207000.0,279000.0,518000.0,123000.0,918000.0,954000.0,201000.0,204000.0,546000.0
57,279000.0,518000.0,123000.0,918000.0,954000.0,201000.0,204000.0,753000.0,309000.0
58,518000.0,123000.0,918000.0,954000.0,201000.0,204000.0,753000.0,93000.0,219000.0
59,123000.0,918000.0,954000.0,201000.0,204000.0,753000.0,93000.0,627000.0,539000.0
60,918000.0,954000.0,201000.0,204000.0,753000.0,93000.0,627000.0,711000.0,618000.0
61,954000.0,201000.0,204000.0,753000.0,93000.0,627000.0,711000.0,270000.0,240000.0
62,201000.0,204000.0,753000.0,93000.0,627000.0,711000.0,270000.0,708000.0,351000.0
63,204000.0,753000.0,93000.0,627000.0,711000.0,270000.0,708000.0,444000.0,18000.0
64,753000.0,93000.0,627000.0,711000.0,270000.0,708000.0,444000.0,546000.0,597000.0
65,93000.0,627000.0,711000.0,270000.0,708000.0,444000.0,546000.0,309000.0,939000.0
66,627000.0,711000.0,270000.0,708000.0,444000.0,546000.0,309000.0,219000.0,381000.0
67,711000.0,270000.0,708000.0,444000.0,546000.0,309000.0,219000.0,539000.0,18000.0
68,270000.0,708000.0,444000.0,546000.0,309000.0,219000.0,539000.0,618000.0,126000.0
69,708000.0,444000.0,546000.0,309000.0,219000.0,539000.0,618000.0,240000.0,636000.0
70,444000.0,546000.0,309000.0,219000.0,539000.0,618000.0,240000.0,351000.0,168000.0
71,546000.0,309000.0,219000.0,539000.0,618000.0,240000.0,351000.0,18000.0,621000.0
72,309000.0,219000.0,539000.0,618000.0,240000.0,351000.0,18000.0,597000.0,186000.0
73,219000.0,539000.0,618000.0,240000.0,351000.0,18000.0,597000.0,939000.0,621000.0
74,539000.0,618000.0,240000.0,351000.0,18000.0,597000.0,939000.0,381000.0,297000.0
75,618000.0,240000.0,351000.0,18000.0,597000.0,939000.0,381000.0,18000.0,468000.0
76,240000.0,351000.0,18000.0,597000.0,939000.0,381000.0,18000.0,126000.0,468000.0
77,351000.0,18000.0,597000.0,939000.0,381000.0,18000.0,126000.0,636000.0,291000.0
78,18000.0,597000.0,939000.0,381000.0,18000.0,126000.0,636000.0,168000.0,840000.0
79,597000.0,939000.0,381000.0,18000.0,126000.0,636000.0,168000.0,621000.0,945000.0
80,939000.0,381000.0,18000.0,126000.0,636000.0,168000.0,621000.0,186000.0,21000.0
81,381000.0,18000.0,126000.0,636000.0,168000.0,621000.0,186000.0,621000.0,159000.0
82,18000.0,126000.0,636000.0,168000.0,621000.0,186000.0,621000.0,297000.0,478000.0
83,126000.0,636000.0,168000.0,621000.0,186000.0,621000.0,297000.0,468000.0,387000.0
84,636000.0,168000.0,621000.0,186000.0,621000.0,297000.0,468000.0,468000.0,312000.0
85,168000.0,621000.0,186000.0,621000.0,297000.0,468000.0,468000.0,291000.0,111000.0
86,621000.0,186000.0,621000.0,297000.0,468000.0,468000.0,291000.0,840000.0,680000.0
87,186000.0,621000.0,297000.0,468000.0,468000.0,291000.0,840000.0,945000.0,642000.0
88,621000.0,297000.0,468000.0,468000.0,291000.0,840000.0,945000.0,21000.0,228000.0
89,297000.0,468000.0,468000.0,291000.0,840000.0,945000.0,21000.0,159000.0,72000.0
90,468000.0,468000.0,291000.0,840000.0,945000.0,21000.0,159000.0,478000.0,555000.0
91,468000.0,291000.0,840000.0,945000.0,21000.0,159000.0,478000.0,387000.0,207000.0
92,291000.0,840000.0,945000.0,21000.0,159000.0,478000.0,387000.0,312000.0,348000.0
93,840000.0,945000.0,21000.0,159000.0,478000.0,387000.0,312000.0,111000.0,627000.0
94,945000.0,21000.0,159000.0,478000.0,387000.0,312000.0,111000.0,680000.0,237000.0
95,21000.0,159000.0,478000.0,387000.0,312000.0,111000.0,680000.0,642000.0,171000.0
96,159000.0,478000.0,387000.0,312000.0,111000.0,680000.0,642000.0,228000.0,207000.0
97,478000.0,387000.0,312000.0,111000.0,680000.0,642000.0,228000.0,72000.0,456000.0
98,387000.0,312000.0,111000.0,680000.0,642000.0,228000.0,72000.0,555000.0,111000.0
99,312000.0,111000.0,680000.0,642000.0,228000.0,72000.0,555000.0,207000.0,225000.0
100,111000.0,680000.0,642000.0,228000.0,72000.0,555000.0,207000.0,348000.0,354000.0
101,680000.0,642000.0,228000.0,72000.0,555000.0,207000.0,348000.0,627000.0,351000.0
102,642000.0,228000.0,72000.0,555000.0,207000.0,348000.0,627000.0,237000.0,204000.0
103,228000.0,72000.0,555000.0,207000.0,348000.0,627000.0,237000.0,171000.0,84000.0
104,72000.0,555000.0,207000.0,348000.0,627000.0,237000.0,171000.0,207000.0,180000.0
105,555000.0,207000.0,348000.0,627000.0,237000.0,171000.0,207000.0,456000.0,282000.0
106,207000.0,348000.0,627000.0,237000.0,171000.0,207000.0,456000.0,111000.0,195000.0
107,348000.0,627000.0,237000.0,171000.0,207000.0,456000.0,111000.0,225000.0,357000.0
108,627000.0,237000.0,171000.0,207000.0,456000.0,111000.0,225000.0,354000.0,249000.0
109,237000.0,171000.0,207000.0,456000.0,111000.0,225000.0,354000.0,351000.0,252000.0
110,171000.0,207000.0,456000.0,111000.0,225000.0,354000.0,351000.0,204000.0,363000.0
111,207000.0,456000.0,111000.0,225000.0,354000.0,351000.0,204000.0,84000.0,144000.0
112,456000.0,111000.0,225000.0,354000.0,351000.0,204000.0,84000.0,180000.0,240000.0
113,111000.0,225000.0,354000.0,351000.0,204000.0,84000.0,180000.0,282000.0,129000.0
114,225000.0,354000.0,351000.0,204000.0,84000.0,180000.0,282000.0,195000.0,129000.0
115,354000.0,351000.0,204000.0,84000.0,180000.0,282000.0,195000.0,357000.0,198000.0
