,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,40000.0,40000.0,8000.0,40000.0,48000.0,88000.0,0.0,56000.0
1,40000.0,40000.0,8000.0,40000.0,48000.0,88000.0,0.0,96000.0,16000.0
2,40000.0,8000.0,40000.0,48000.0,88000.0,0.0,96000.0,96000.0,56000.0
3,8000.0,40000.0,48000.0,88000.0,0.0,96000.0,96000.0,48000.0,32000.0
4,40000.0,48000.0,88000.0,0.0,96000.0,96000.0,48000.0,88000.0,32000.0
5,48000.0,88000.0,0.0,96000.0,96000.0,48000.0,88000.0,16000.0,24000.0
6,88000.0,0.0,96000.0,96000.0,48000.0,88000.0,16000.0,8000.0,64000.0
7,0.0,96000.0,96000.0,48000.0,88000.0,16000.0,8000.0,40000.0,88000.0
8,96000.0,96000.0,48000.0,88000.0,16000.0,8000.0,40000.0,56000.0,48000.0
9,96000.0,48000.0,88000.0,16000.0,8000.0,40000.0,56000.0,16000.0,152000.0
10,48000.0,88000.0,16000.0,8000.0,40000.0,56000.0,16000.0,56000.0,88000.0
11,88000.0,16000.0,8000.0,40000.0,56000.0,16000.0,56000.0,32000.0,8000.0
12,16000.0,8000.0,40000.0,56000.0,16000.0,56000.0,32000.0,32000.0,40000.0
13,8000.0,40000.0,56000.0,16000.0,56000.0,32000.0,32000.0,24000.0,8000.0
14,40000.0,56000.0,16000.0,56000.0,32000.0,32000.0,24000.0,64000.0,48000.0
15,56000.0,16000.0,56000.0,32000.0,32000.0,24000.0,64000.0,88000.0,24000.0
16,16000.0,56000.0,32000.0,32000.0,24000.0,64000.0,88000.0,48000.0,96000.0
17,56000.0,32000.0,32000.0,24000.0,64000.0,88000.0,48000.0,152000.0,24000.0
18,32000.0,32000.0,24000.0,64000.0,88000.0,48000.0,152000.0,88000.0,24000.0
19,32000.0,24000.0,64000.0,88000.0,48000.0,152000.0,88000.0,8000.0,80000.0
20,24000.0,64000.0,88000.0,48000.0,152000.0,88000.0,8000.0,40000.0,56000.0
21,64000.0,88000.0,48000.0,152000.0,88000.0,8000.0,40000.0,8000.0,48000.0
22,88000.0,48000.0,152000.0,88000.0,8000.0,40000.0,8000.0,48000.0,96000.0
23,48000.0,152000.0,88000.0,8000.0,40000.0,8000.0,48000.0,24000.0,120000.0
24,152000.0,88000.0,8000.0,40000.0,8000.0,48000.0,24000.0,96000.0,8000.0
25,88000.0,8000.0,40000.0,8000.0,48000.0,24000.0,96000.0,24000.0,8000.0
26,8000.0,40000.0,8000.0,48000.0,24000.0,96000.0,24000.0,24000.0,48000.0
27,40000.0,8000.0,48000.0,24000.0,96000.0,24000.0,24000.0,80000.0,32000.0
28,8000.0,48000.0,24000.0,96000.0,24000.0,24000.0,80000.0,56000.0,24000.0
29,48000.0,24000.0,96000.0,24000.0,24000.0,80000.0,56000.0,48000.0,64000.0
30,24000.0,96000.0,24000.0,24000.0,80000.0,56000.0,48000.0,96000.0,80000.0
