,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,9000.0,53000.0,45000.0,15000.0,18000.0,0.0,0.0,0.0,12000.0
1,53000.0,45000.0,15000.0,18000.0,0.0,0.0,0.0,0.0,42000.0
2,45000.0,15000.0,18000.0,0.0,0.0,0.0,0.0,9000.0,57000.0
3,15000.0,18000.0,0.0,0.0,0.0,0.0,9000.0,39000.0,36000.0
4,18000.0,0.0,0.0,0.0,0.0,9000.0,39000.0,18000.0,66000.0
5,0.0,0.0,0.0,0.0,9000.0,39000.0,18000.0,27000.0,12000.0
6,0.0,0.0,0.0,9000.0,39000.0,18000.0,27000.0,3000.0,24000.0
7,0.0,0.0,9000.0,39000.0,18000.0,27000.0,3000.0,45000.0,69000.0
8,0.0,9000.0,39000.0,18000.0,27000.0,3000.0,45000.0,12000.0,78000.0
9,9000.0,39000.0,18000.0,27000.0,3000.0,45000.0,12000.0,42000.0,24000.0
10,39000.0,18000.0,27000.0,3000.0,45000.0,12000.0,42000.0,57000.0,51000.0
11,18000.0,27000.0,3000.0,45000.0,12000.0,42000.0,57000.0,36000.0,0.0
12,27000.0,3000.0,45000.0,12000.0,42000.0,57000.0,36000.0,66000.0,27000.0
13,3000.0,45000.0,12000.0,42000.0,57000.0,36000.0,66000.0,12000.0,36000.0
14,45000.0,12000.0,42000.0,57000.0,36000.0,66000.0,12000.0,24000.0,18000.0
15,12000.0,42000.0,57000.0,36000.0,66000.0,12000.0,24000.0,69000.0,3000.0
16,42000.0,57000.0,36000.0,66000.0,12000.0,24000.0,69000.0,78000.0,39000.0
17,57000.0,36000.0,66000.0,12000.0,24000.0,69000.0,78000.0,24000.0,3000.0
18,36000.0,66000.0,12000.0,24000.0,69000.0,78000.0,24000.0,51000.0,42000.0
19,66000.0,12000.0,24000.0,69000.0,78000.0,24000.0,51000.0,0.0,24000.0
20,12000.0,24000.0,69000.0,78000.0,24000.0,51000.0,0.0,27000.0,39000.0
21,24000.0,69000.0,78000.0,24000.0,51000.0,0.0,27000.0,36000.0,57000.0
22,69000.0,78000.0,24000.0,51000.0,0.0,27000.0,36000.0,18000.0,48000.0
23,78000.0,24000.0,51000.0,0.0,27000.0,36000.0,18000.0,3000.0,45000.0
24,24000.0,51000.0,0.0,27000.0,36000.0,18000.0,3000.0,39000.0,15000.0
25,51000.0,0.0,27000.0,36000.0,18000.0,3000.0,39000.0,3000.0,33000.0
26,0.0,27000.0,36000.0,18000.0,3000.0,39000.0,3000.0,42000.0,33000.0
27,27000.0,36000.0,18000.0,3000.0,39000.0,3000.0,42000.0,24000.0,21000.0
28,36000.0,18000.0,3000.0,39000.0,3000.0,42000.0,24000.0,39000.0,39000.0
29,18000.0,3000.0,39000.0,3000.0,42000.0,24000.0,39000.0,57000.0,84000.0
30,3000.0,39000.0,3000.0,42000.0,24000.0,39000.0,57000.0,48000.0,30000.0
31,39000.0,3000.0,42000.0,24000.0,39000.0,57000.0,48000.0,45000.0,24000.0
32,3000.0,42000.0,24000.0,39000.0,57000.0,48000.0,45000.0,15000.0,42000.0
33,42000.0,24000.0,39000.0,57000.0,48000.0,45000.0,15000.0,33000.0,72000.0
34,24000.0,39000.0,57000.0,48000.0,45000.0,15000.0,33000.0,33000.0,15000.0
35,39000.0,57000.0,48000.0,45000.0,15000.0,33000.0,33000.0,21000.0,66000.0
36,57000.0,48000.0,45000.0,15000.0,33000.0,33000.0,21000.0,39000.0,84000.0
37,48000.0,45000.0,15000.0,33000.0,33000.0,21000.0,39000.0,84000.0,69000.0
38,45000.0,15000.0,33000.0,33000.0,21000.0,39000.0,84000.0,30000.0,36000.0
39,15000.0,33000.0,33000.0,21000.0,39000.0,84000.0,30000.0,24000.0,63000.0
40,33000.0,33000.0,21000.0,39000.0,84000.0,30000.0,24000.0,42000.0,39000.0
41,33000.0,21000.0,39000.0,84000.0,30000.0,24000.0,42000.0,72000.0,63000.0
42,21000.0,39000.0,84000.0,30000.0,24000.0,42000.0,72000.0,15000.0,102000.0
43,39000.0,84000.0,30000.0,24000.0,42000.0,72000.0,15000.0,66000.0,18000.0
44,84000.0,30000.0,24000.0,42000.0,72000.0,15000.0,66000.0,84000.0,63000.0
45,30000.0,24000.0,42000.0,72000.0,15000.0,66000.0,84000.0,69000.0,84000.0
46,24000.0,42000.0,72000.0,15000.0,66000.0,84000.0,69000.0,36000.0,69000.0
47,42000.0,72000.0,15000.0,66000.0,84000.0,69000.0,36000.0,63000.0,48000.0
48,72000.0,15000.0,66000.0,84000.0,69000.0,36000.0,63000.0,39000.0,57000.0
49,15000.0,66000.0,84000.0,69000.0,36000.0,63000.0,39000.0,63000.0,51000.0
50,66000.0,84000.0,69000.0,36000.0,63000.0,39000.0,63000.0,102000.0,12000.0
51,84000.0,69000.0,36000.0,63000.0,39000.0,63000.0,102000.0,18000.0,9000.0
52,69000.0,36000.0,63000.0,39000.0,63000.0,102000.0,18000.0,63000.0,15000.0
53,36000.0,63000.0,39000.0,63000.0,102000.0,18000.0,63000.0,84000.0,9000.0
54,63000.0,39000.0,63000.0,102000.0,18000.0,63000.0,84000.0,69000.0,84000.0
55,39000.0,63000.0,102000.0,18000.0,63000.0,84000.0,69000.0,48000.0,45000.0
56,63000.0,102000.0,18000.0,63000.0,84000.0,69000.0,48000.0,57000.0,21000.0
57,102000.0,18000.0,63000.0,84000.0,69000.0,48000.0,57000.0,51000.0,45000.0
58,18000.0,63000.0,84000.0,69000.0,48000.0,57000.0,51000.0,12000.0,18000.0
59,63000.0,84000.0,69000.0,48000.0,57000.0,51000.0,12000.0,9000.0,6000.0
60,84000.0,69000.0,48000.0,57000.0,51000.0,12000.0,9000.0,15000.0,42000.0
61,69000.0,48000.0,57000.0,51000.0,12000.0,9000.0,15000.0,9000.0,90000.0
62,48000.0,57000.0,51000.0,12000.0,9000.0,15000.0,9000.0,84000.0,69000.0
63,57000.0,51000.0,12000.0,9000.0,15000.0,9000.0,84000.0,45000.0,54000.0
64,51000.0,12000.0,9000.0,15000.0,9000.0,84000.0,45000.0,21000.0,12000.0
65,12000.0,9000.0,15000.0,9000.0,84000.0,45000.0,21000.0,45000.0,82000.0
66,9000.0,15000.0,9000.0,84000.0,45000.0,21000.0,45000.0,18000.0,21000.0
67,15000.0,9000.0,84000.0,45000.0,21000.0,45000.0,18000.0,6000.0,3000.0
68,9000.0,84000.0,45000.0,21000.0,45000.0,18000.0,6000.0,42000.0,75000.0
69,84000.0,45000.0,21000.0,45000.0,18000.0,6000.0,42000.0,90000.0,12000.0
70,45000.0,21000.0,45000.0,18000.0,6000.0,42000.0,90000.0,69000.0,57000.0
71,21000.0,45000.0,18000.0,6000.0,42000.0,90000.0,69000.0,54000.0,24000.0
72,45000.0,18000.0,6000.0,42000.0,90000.0,69000.0,54000.0,12000.0,45000.0
73,18000.0,6000.0,42000.0,90000.0,69000.0,54000.0,12000.0,82000.0,9000.0
74,6000.0,42000.0,90000.0,69000.0,54000.0,12000.0,82000.0,21000.0,27000.0
75,42000.0,90000.0,69000.0,54000.0,12000.0,82000.0,21000.0,3000.0,18000.0
76,90000.0,69000.0,54000.0,12000.0,82000.0,21000.0,3000.0,75000.0,9000.0
77,69000.0,54000.0,12000.0,82000.0,21000.0,3000.0,75000.0,12000.0,48000.0
78,54000.0,12000.0,82000.0,21000.0,3000.0,75000.0,12000.0,57000.0,39000.0
79,12000.0,82000.0,21000.0,3000.0,75000.0,12000.0,57000.0,24000.0,105000.0
80,82000.0,21000.0,3000.0,75000.0,12000.0,57000.0,24000.0,45000.0,3000.0
81,21000.0,3000.0,75000.0,12000.0,57000.0,24000.0,45000.0,9000.0,81000.0
82,3000.0,75000.0,12000.0,57000.0,24000.0,45000.0,9000.0,27000.0,66000.0
83,75000.0,12000.0,57000.0,24000.0,45000.0,9000.0,27000.0,18000.0,57000.0
84,12000.0,57000.0,24000.0,45000.0,9000.0,27000.0,18000.0,9000.0,48000.0
85,57000.0,24000.0,45000.0,9000.0,27000.0,18000.0,9000.0,48000.0,12000.0
86,24000.0,45000.0,9000.0,27000.0,18000.0,9000.0,48000.0,39000.0,69000.0
87,45000.0,9000.0,27000.0,18000.0,9000.0,48000.0,39000.0,105000.0,51000.0
88,9000.0,27000.0,18000.0,9000.0,48000.0,39000.0,105000.0,3000.0,51000.0
89,27000.0,18000.0,9000.0,48000.0,39000.0,105000.0,3000.0,81000.0,6000.0
90,18000.0,9000.0,48000.0,39000.0,105000.0,3000.0,81000.0,66000.0,33000.0
91,9000.0,48000.0,39000.0,105000.0,3000.0,81000.0,66000.0,57000.0,48000.0
92,48000.0,39000.0,105000.0,3000.0,81000.0,66000.0,57000.0,48000.0,39000.0
93,39000.0,105000.0,3000.0,81000.0,66000.0,57000.0,48000.0,12000.0,27000.0
94,105000.0,3000.0,81000.0,66000.0,57000.0,48000.0,12000.0,69000.0,6000.0
95,3000.0,81000.0,66000.0,57000.0,48000.0,12000.0,69000.0,51000.0,6000.0
96,81000.0,66000.0,57000.0,48000.0,12000.0,69000.0,51000.0,51000.0,24000.0
97,66000.0,57000.0,48000.0,12000.0,69000.0,51000.0,51000.0,6000.0,0.0
98,57000.0,48000.0,12000.0,69000.0,51000.0,51000.0,6000.0,33000.0,15000.0
99,48000.0,12000.0,69000.0,51000.0,51000.0,6000.0,33000.0,48000.0,9000.0
100,12000.0,69000.0,51000.0,51000.0,6000.0,33000.0,48000.0,39000.0,33000.0
101,69000.0,51000.0,51000.0,6000.0,33000.0,48000.0,39000.0,27000.0,24000.0
102,51000.0,51000.0,6000.0,33000.0,48000.0,39000.0,27000.0,6000.0,24000.0
103,51000.0,6000.0,33000.0,48000.0,39000.0,27000.0,6000.0,6000.0,9000.0
104,6000.0,33000.0,48000.0,39000.0,27000.0,6000.0,6000.0,24000.0,18000.0
105,33000.0,48000.0,39000.0,27000.0,6000.0,6000.0,24000.0,0.0,51000.0
106,48000.0,39000.0,27000.0,6000.0,6000.0,24000.0,0.0,15000.0,6000.0
107,39000.0,27000.0,6000.0,6000.0,24000.0,0.0,15000.0,9000.0,3000.0
108,27000.0,6000.0,6000.0,24000.0,0.0,15000.0,9000.0,33000.0,33000.0
109,6000.0,6000.0,24000.0,0.0,15000.0,9000.0,33000.0,24000.0,3000.0
110,6000.0,24000.0,0.0,15000.0,9000.0,33000.0,24000.0,24000.0,18000.0
111,24000.0,0.0,15000.0,9000.0,33000.0,24000.0,24000.0,9000.0,0.0
112,0.0,15000.0,9000.0,33000.0,24000.0,24000.0,9000.0,18000.0,24000.0
113,15000.0,9000.0,33000.0,24000.0,24000.0,9000.0,18000.0,51000.0,0.0
114,9000.0,33000.0,24000.0,24000.0,9000.0,18000.0,51000.0,6000.0,21000.0
115,33000.0,24000.0,24000.0,9000.0,18000.0,51000.0,6000.0,3000.0,0.0
