,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,40000.0,30000.0,20000.0,30000.0,20000.0,60000.0,60000.0,20000.0,0.0
1,30000.0,20000.0,30000.0,20000.0,60000.0,60000.0,20000.0,0.0,70000.0
2,20000.0,30000.0,20000.0,60000.0,60000.0,20000.0,0.0,56000.0,20000.0
3,30000.0,20000.0,60000.0,60000.0,20000.0,0.0,56000.0,74000.0,10000.0
4,20000.0,60000.0,60000.0,20000.0,0.0,56000.0,74000.0,40000.0,10000.0
5,60000.0,60000.0,20000.0,0.0,56000.0,74000.0,40000.0,20000.0,0.0
6,60000.0,20000.0,0.0,56000.0,74000.0,40000.0,20000.0,0.0,50000.0
7,20000.0,0.0,56000.0,74000.0,40000.0,20000.0,0.0,60000.0,20000.0
8,0.0,56000.0,74000.0,40000.0,20000.0,0.0,60000.0,0.0,20000.0
9,56000.0,74000.0,40000.0,20000.0,0.0,60000.0,0.0,70000.0,110000.0
10,74000.0,40000.0,20000.0,0.0,60000.0,0.0,70000.0,20000.0,100000.0
11,40000.0,20000.0,0.0,60000.0,0.0,70000.0,20000.0,10000.0,10000.0
12,20000.0,0.0,60000.0,0.0,70000.0,20000.0,10000.0,10000.0,0.0
13,0.0,60000.0,0.0,70000.0,20000.0,10000.0,10000.0,0.0,40000.0
14,60000.0,0.0,70000.0,20000.0,10000.0,10000.0,0.0,50000.0,50000.0
15,0.0,70000.0,20000.0,10000.0,10000.0,0.0,50000.0,20000.0,30000.0
16,70000.0,20000.0,10000.0,10000.0,0.0,50000.0,20000.0,20000.0,20000.0
17,20000.0,10000.0,10000.0,0.0,50000.0,20000.0,20000.0,110000.0,0.0
18,10000.0,10000.0,0.0,50000.0,20000.0,20000.0,110000.0,100000.0,10000.0
19,10000.0,0.0,50000.0,20000.0,20000.0,110000.0,100000.0,10000.0,60000.0
20,0.0,50000.0,20000.0,20000.0,110000.0,100000.0,10000.0,0.0,60000.0
21,50000.0,20000.0,20000.0,110000.0,100000.0,10000.0,0.0,40000.0,50000.0
22,20000.0,20000.0,110000.0,100000.0,10000.0,0.0,40000.0,50000.0,130000.0
23,20000.0,110000.0,100000.0,10000.0,0.0,40000.0,50000.0,30000.0,230000.0
24,110000.0,100000.0,10000.0,0.0,40000.0,50000.0,30000.0,20000.0,80000.0
25,100000.0,10000.0,0.0,40000.0,50000.0,30000.0,20000.0,0.0,180000.0
26,10000.0,0.0,40000.0,50000.0,30000.0,20000.0,0.0,10000.0,90000.0
27,0.0,40000.0,50000.0,30000.0,20000.0,0.0,10000.0,60000.0,150000.0
28,40000.0,50000.0,30000.0,20000.0,0.0,10000.0,60000.0,60000.0,120000.0
29,50000.0,30000.0,20000.0,0.0,10000.0,60000.0,60000.0,50000.0,220000.0
30,30000.0,20000.0,0.0,10000.0,60000.0,60000.0,50000.0,130000.0,190000.0
31,20000.0,0.0,10000.0,60000.0,60000.0,50000.0,130000.0,230000.0,130000.0
32,0.0,10000.0,60000.0,60000.0,50000.0,130000.0,230000.0,80000.0,230000.0
33,10000.0,60000.0,60000.0,50000.0,130000.0,230000.0,80000.0,180000.0,220000.0
34,60000.0,60000.0,50000.0,130000.0,230000.0,80000.0,180000.0,90000.0,200000.0
35,60000.0,50000.0,130000.0,230000.0,80000.0,180000.0,90000.0,150000.0,220000.0
36,50000.0,130000.0,230000.0,80000.0,180000.0,90000.0,150000.0,120000.0,290000.0
37,130000.0,230000.0,80000.0,180000.0,90000.0,150000.0,120000.0,220000.0,10000.0
38,230000.0,80000.0,180000.0,90000.0,150000.0,120000.0,220000.0,190000.0,120000.0
39,80000.0,180000.0,90000.0,150000.0,120000.0,220000.0,190000.0,130000.0,0.0
40,180000.0,90000.0,150000.0,120000.0,220000.0,190000.0,130000.0,230000.0,0.0
41,90000.0,150000.0,120000.0,220000.0,190000.0,130000.0,230000.0,220000.0,10000.0
42,150000.0,120000.0,220000.0,190000.0,130000.0,230000.0,220000.0,200000.0,240000.0
43,120000.0,220000.0,190000.0,130000.0,230000.0,220000.0,200000.0,220000.0,50000.0
44,220000.0,190000.0,130000.0,230000.0,220000.0,200000.0,220000.0,290000.0,47990.0
45,190000.0,130000.0,230000.0,220000.0,200000.0,220000.0,290000.0,10000.0,135996.66666666663
46,130000.0,230000.0,220000.0,200000.0,220000.0,290000.0,10000.0,120000.0,60000.0
47,230000.0,220000.0,200000.0,220000.0,290000.0,10000.0,120000.0,0.0,60000.0
48,220000.0,200000.0,220000.0,290000.0,10000.0,120000.0,0.0,0.0,130000.0
49,200000.0,220000.0,290000.0,10000.0,120000.0,0.0,0.0,10000.0,80000.0
50,220000.0,290000.0,10000.0,120000.0,0.0,0.0,10000.0,240000.0,50000.0
51,290000.0,10000.0,120000.0,0.0,0.0,10000.0,240000.0,50000.0,166666.66666666663
52,10000.0,120000.0,0.0,0.0,10000.0,240000.0,50000.0,47990.0,10000.0
53,120000.0,0.0,0.0,10000.0,240000.0,50000.0,47990.0,135996.66666666663,0.0
54,0.0,0.0,10000.0,240000.0,50000.0,47990.0,135996.66666666663,60000.0,30000.0
55,0.0,10000.0,240000.0,50000.0,47990.0,135996.66666666663,60000.0,60000.0,190000.0
56,10000.0,240000.0,50000.0,47990.0,135996.66666666663,60000.0,60000.0,130000.0,30000.0
57,240000.0,50000.0,47990.0,135996.66666666663,60000.0,60000.0,130000.0,80000.0,60000.0
58,50000.0,47990.0,135996.66666666663,60000.0,60000.0,130000.0,80000.0,50000.0,220000.0
59,47990.0,135996.66666666663,60000.0,60000.0,130000.0,80000.0,50000.0,166666.66666666663,70000.0
60,135996.66666666663,60000.0,60000.0,130000.0,80000.0,50000.0,166666.66666666663,10000.0,40000.0
61,60000.0,60000.0,130000.0,80000.0,50000.0,166666.66666666663,10000.0,0.0,70000.0
62,60000.0,130000.0,80000.0,50000.0,166666.66666666663,10000.0,0.0,30000.0,260000.0
63,130000.0,80000.0,50000.0,166666.66666666663,10000.0,0.0,30000.0,190000.0,150000.0
64,80000.0,50000.0,166666.66666666663,10000.0,0.0,30000.0,190000.0,30000.0,0.0
65,50000.0,166666.66666666663,10000.0,0.0,30000.0,190000.0,30000.0,60000.0,163333.33333333337
66,166666.66666666663,10000.0,0.0,30000.0,190000.0,30000.0,60000.0,220000.0,120000.0
67,10000.0,0.0,30000.0,190000.0,30000.0,60000.0,220000.0,70000.0,0.0
68,0.0,30000.0,190000.0,30000.0,60000.0,220000.0,70000.0,40000.0,130000.0
69,30000.0,190000.0,30000.0,60000.0,220000.0,70000.0,40000.0,70000.0,50000.0
70,190000.0,30000.0,60000.0,220000.0,70000.0,40000.0,70000.0,260000.0,60000.0
71,30000.0,60000.0,220000.0,70000.0,40000.0,70000.0,260000.0,150000.0,80000.0
72,60000.0,220000.0,70000.0,40000.0,70000.0,260000.0,150000.0,0.0,100000.0
73,220000.0,70000.0,40000.0,70000.0,260000.0,150000.0,0.0,163333.33333333337,250000.0
74,70000.0,40000.0,70000.0,260000.0,150000.0,0.0,163333.33333333337,120000.0,140000.0
75,40000.0,70000.0,260000.0,150000.0,0.0,163333.33333333337,120000.0,0.0,90000.0
76,70000.0,260000.0,150000.0,0.0,163333.33333333337,120000.0,0.0,130000.0,40000.0
77,260000.0,150000.0,0.0,163333.33333333337,120000.0,0.0,130000.0,50000.0,90000.0
78,150000.0,0.0,163333.33333333337,120000.0,0.0,130000.0,50000.0,60000.0,90000.0
79,0.0,163333.33333333337,120000.0,0.0,130000.0,50000.0,60000.0,80000.0,160000.0
80,163333.33333333337,120000.0,0.0,130000.0,50000.0,60000.0,80000.0,100000.0,40000.0
81,120000.0,0.0,130000.0,50000.0,60000.0,80000.0,100000.0,250000.0,250000.0
82,0.0,130000.0,50000.0,60000.0,80000.0,100000.0,250000.0,140000.0,150000.0
83,130000.0,50000.0,60000.0,80000.0,100000.0,250000.0,140000.0,90000.0,210000.0
84,50000.0,60000.0,80000.0,100000.0,250000.0,140000.0,90000.0,40000.0,20000.0
85,60000.0,80000.0,100000.0,250000.0,140000.0,90000.0,40000.0,90000.0,80000.0
86,80000.0,100000.0,250000.0,140000.0,90000.0,40000.0,90000.0,90000.0,90000.0
87,100000.0,250000.0,140000.0,90000.0,40000.0,90000.0,90000.0,160000.0,160000.0
88,250000.0,140000.0,90000.0,40000.0,90000.0,90000.0,160000.0,40000.0,250000.0
89,140000.0,90000.0,40000.0,90000.0,90000.0,160000.0,40000.0,250000.0,210000.0
90,90000.0,40000.0,90000.0,90000.0,160000.0,40000.0,250000.0,150000.0,20000.0
91,40000.0,90000.0,90000.0,160000.0,40000.0,250000.0,150000.0,210000.0,60000.0
92,90000.0,90000.0,160000.0,40000.0,250000.0,150000.0,210000.0,20000.0,20000.0
93,90000.0,160000.0,40000.0,250000.0,150000.0,210000.0,20000.0,80000.0,80000.0
94,160000.0,40000.0,250000.0,150000.0,210000.0,20000.0,80000.0,90000.0,0.0
95,40000.0,250000.0,150000.0,210000.0,20000.0,80000.0,90000.0,160000.0,0.0
96,250000.0,150000.0,210000.0,20000.0,80000.0,90000.0,160000.0,250000.0,0.0
97,150000.0,210000.0,20000.0,80000.0,90000.0,160000.0,250000.0,210000.0,100000.0
98,210000.0,20000.0,80000.0,90000.0,160000.0,250000.0,210000.0,20000.0,0.0
99,20000.0,80000.0,90000.0,160000.0,250000.0,210000.0,20000.0,60000.0,90000.0
100,80000.0,90000.0,160000.0,250000.0,210000.0,20000.0,60000.0,20000.0,0.0
101,90000.0,160000.0,250000.0,210000.0,20000.0,60000.0,20000.0,80000.0,70000.0
102,160000.0,250000.0,210000.0,20000.0,60000.0,20000.0,80000.0,0.0,80000.0
103,250000.0,210000.0,20000.0,60000.0,20000.0,80000.0,0.0,0.0,20000.0
104,210000.0,20000.0,60000.0,20000.0,80000.0,0.0,0.0,0.0,50000.0
105,20000.0,60000.0,20000.0,80000.0,0.0,0.0,0.0,100000.0,60000.0
106,60000.0,20000.0,80000.0,0.0,0.0,0.0,100000.0,0.0,110000.0
107,20000.0,80000.0,0.0,0.0,0.0,100000.0,0.0,90000.0,70000.0
108,80000.0,0.0,0.0,0.0,100000.0,0.0,90000.0,0.0,60000.0
109,0.0,0.0,0.0,100000.0,0.0,90000.0,0.0,70000.0,110000.0
110,0.0,0.0,100000.0,0.0,90000.0,0.0,70000.0,80000.0,40000.0
111,0.0,100000.0,0.0,90000.0,0.0,70000.0,80000.0,20000.0,50000.0
112,100000.0,0.0,90000.0,0.0,70000.0,80000.0,20000.0,50000.0,140000.0
113,0.0,90000.0,0.0,70000.0,80000.0,20000.0,50000.0,60000.0,90000.0
114,90000.0,0.0,70000.0,80000.0,20000.0,50000.0,60000.0,110000.0,100000.0
115,0.0,70000.0,80000.0,20000.0,50000.0,60000.0,110000.0,70000.0,0.0
