,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,400000.0,568000.0,552000.0,544000.0,672000.0,792000.0,416000.0,1168000.0,632000.0
1,568000.0,552000.0,544000.0,672000.0,792000.0,416000.0,1168000.0,144000.0,368000.0
2,552000.0,544000.0,672000.0,792000.0,416000.0,1168000.0,144000.0,880000.0,880000.0
3,544000.0,672000.0,792000.0,416000.0,1168000.0,144000.0,880000.0,848000.0,536000.0
4,672000.0,792000.0,416000.0,1168000.0,144000.0,880000.0,848000.0,480000.0,632000.0
5,792000.0,416000.0,1168000.0,144000.0,880000.0,848000.0,480000.0,384000.0,200000.0
6,416000.0,1168000.0,144000.0,880000.0,848000.0,480000.0,384000.0,208000.0,632000.0
7,1168000.0,144000.0,880000.0,848000.0,480000.0,384000.0,208000.0,704000.0,512000.0
8,144000.0,880000.0,848000.0,480000.0,384000.0,208000.0,704000.0,632000.0,624000.0
9,880000.0,848000.0,480000.0,384000.0,208000.0,704000.0,632000.0,368000.0,960000.0
10,848000.0,480000.0,384000.0,208000.0,704000.0,632000.0,368000.0,880000.0,808000.0
11,480000.0,384000.0,208000.0,704000.0,632000.0,368000.0,880000.0,536000.0,16000.0
12,384000.0,208000.0,704000.0,632000.0,368000.0,880000.0,536000.0,632000.0,472000.0
13,208000.0,704000.0,632000.0,368000.0,880000.0,536000.0,632000.0,200000.0,160000.0
14,704000.0,632000.0,368000.0,880000.0,536000.0,632000.0,200000.0,632000.0,184000.0
15,632000.0,368000.0,880000.0,536000.0,632000.0,200000.0,632000.0,512000.0,304000.0
16,368000.0,880000.0,536000.0,632000.0,200000.0,632000.0,512000.0,624000.0,336000.0
17,880000.0,536000.0,632000.0,200000.0,632000.0,512000.0,624000.0,960000.0,280000.0
18,536000.0,632000.0,200000.0,632000.0,512000.0,624000.0,960000.0,808000.0,376000.0
19,632000.0,200000.0,632000.0,512000.0,624000.0,960000.0,808000.0,16000.0,696000.0
20,200000.0,632000.0,512000.0,624000.0,960000.0,808000.0,16000.0,472000.0,920000.0
21,632000.0,512000.0,624000.0,960000.0,808000.0,16000.0,472000.0,160000.0,731733.0
22,512000.0,624000.0,960000.0,808000.0,16000.0,472000.0,160000.0,184000.0,656000.0
23,624000.0,960000.0,808000.0,16000.0,472000.0,160000.0,184000.0,304000.0,720000.0
24,960000.0,808000.0,16000.0,472000.0,160000.0,184000.0,304000.0,336000.0,200000.0
25,808000.0,16000.0,472000.0,160000.0,184000.0,304000.0,336000.0,280000.0,568000.0
26,16000.0,472000.0,160000.0,184000.0,304000.0,336000.0,280000.0,376000.0,312000.0
27,472000.0,160000.0,184000.0,304000.0,336000.0,280000.0,376000.0,696000.0,400000.0
28,160000.0,184000.0,304000.0,336000.0,280000.0,376000.0,696000.0,920000.0,232000.0
29,184000.0,304000.0,336000.0,280000.0,376000.0,696000.0,920000.0,731733.0,616000.0
30,304000.0,336000.0,280000.0,376000.0,696000.0,920000.0,731733.0,656000.0,544000.0
31,336000.0,280000.0,376000.0,696000.0,920000.0,731733.0,656000.0,720000.0,552000.0
32,280000.0,376000.0,696000.0,920000.0,731733.0,656000.0,720000.0,200000.0,440000.0
33,376000.0,696000.0,920000.0,731733.0,656000.0,720000.0,200000.0,568000.0,656000.0
34,696000.0,920000.0,731733.0,656000.0,720000.0,200000.0,568000.0,312000.0,984000.0
35,920000.0,731733.0,656000.0,720000.0,200000.0,568000.0,312000.0,400000.0,1064000.0
36,731733.0,656000.0,720000.0,200000.0,568000.0,312000.0,400000.0,232000.0,1208000.0
37,656000.0,720000.0,200000.0,568000.0,312000.0,400000.0,232000.0,616000.0,504000.0
38,720000.0,200000.0,568000.0,312000.0,400000.0,232000.0,616000.0,544000.0,480000.0
39,200000.0,568000.0,312000.0,400000.0,232000.0,616000.0,544000.0,552000.0,728000.0
40,568000.0,312000.0,400000.0,232000.0,616000.0,544000.0,552000.0,440000.0,616000.0
41,312000.0,400000.0,232000.0,616000.0,544000.0,552000.0,440000.0,656000.0,672000.0
42,400000.0,232000.0,616000.0,544000.0,552000.0,440000.0,656000.0,984000.0,696000.0
43,232000.0,616000.0,544000.0,552000.0,440000.0,656000.0,984000.0,1064000.0,688000.0
44,616000.0,544000.0,552000.0,440000.0,656000.0,984000.0,1064000.0,1208000.0,360000.0
45,544000.0,552000.0,440000.0,656000.0,984000.0,1064000.0,1208000.0,504000.0,928000.0
46,552000.0,440000.0,656000.0,984000.0,1064000.0,1208000.0,504000.0,480000.0,896000.0
47,440000.0,656000.0,984000.0,1064000.0,1208000.0,504000.0,480000.0,728000.0,296000.0
48,656000.0,984000.0,1064000.0,1208000.0,504000.0,480000.0,728000.0,616000.0,576000.0
49,984000.0,1064000.0,1208000.0,504000.0,480000.0,728000.0,616000.0,672000.0,256000.0
50,1064000.0,1208000.0,504000.0,480000.0,728000.0,616000.0,672000.0,696000.0,96000.0
51,1208000.0,504000.0,480000.0,728000.0,616000.0,672000.0,696000.0,688000.0,504000.0
52,504000.0,480000.0,728000.0,616000.0,672000.0,696000.0,688000.0,360000.0,208000.0
53,480000.0,728000.0,616000.0,672000.0,696000.0,688000.0,360000.0,928000.0,480000.0
54,728000.0,616000.0,672000.0,696000.0,688000.0,360000.0,928000.0,896000.0,536000.0
55,616000.0,672000.0,696000.0,688000.0,360000.0,928000.0,896000.0,296000.0,920000.0
56,672000.0,696000.0,688000.0,360000.0,928000.0,896000.0,296000.0,576000.0,736000.0
57,696000.0,688000.0,360000.0,928000.0,896000.0,296000.0,576000.0,256000.0,952000.0
58,688000.0,360000.0,928000.0,896000.0,296000.0,576000.0,256000.0,96000.0,568000.0
59,360000.0,928000.0,896000.0,296000.0,576000.0,256000.0,96000.0,504000.0,464000.0
60,928000.0,896000.0,296000.0,576000.0,256000.0,96000.0,504000.0,208000.0,456000.0
61,896000.0,296000.0,576000.0,256000.0,96000.0,504000.0,208000.0,480000.0,112000.0
62,296000.0,576000.0,256000.0,96000.0,504000.0,208000.0,480000.0,536000.0,544000.0
63,576000.0,256000.0,96000.0,504000.0,208000.0,480000.0,536000.0,920000.0,384000.0
64,256000.0,96000.0,504000.0,208000.0,480000.0,536000.0,920000.0,736000.0,592000.0
65,96000.0,504000.0,208000.0,480000.0,536000.0,920000.0,736000.0,952000.0,264000.0
66,504000.0,208000.0,480000.0,536000.0,920000.0,736000.0,952000.0,568000.0,1018666.6666666665
67,208000.0,480000.0,536000.0,920000.0,736000.0,952000.0,568000.0,464000.0,8000.0
68,480000.0,536000.0,920000.0,736000.0,952000.0,568000.0,464000.0,456000.0,504000.0
69,536000.0,920000.0,736000.0,952000.0,568000.0,464000.0,456000.0,112000.0,216000.0
70,920000.0,736000.0,952000.0,568000.0,464000.0,456000.0,112000.0,544000.0,512000.0
71,736000.0,952000.0,568000.0,464000.0,456000.0,112000.0,544000.0,384000.0,328000.0
72,952000.0,568000.0,464000.0,456000.0,112000.0,544000.0,384000.0,592000.0,176000.0
73,568000.0,464000.0,456000.0,112000.0,544000.0,384000.0,592000.0,264000.0,584000.0
74,464000.0,456000.0,112000.0,544000.0,384000.0,592000.0,264000.0,1018666.6666666665,664000.0
75,456000.0,112000.0,544000.0,384000.0,592000.0,264000.0,1018666.6666666665,8000.0,640000.0
76,112000.0,544000.0,384000.0,592000.0,264000.0,1018666.6666666665,8000.0,504000.0,88000.0
77,544000.0,384000.0,592000.0,264000.0,1018666.6666666665,8000.0,504000.0,216000.0,536000.0
78,384000.0,592000.0,264000.0,1018666.6666666665,8000.0,504000.0,216000.0,512000.0,720000.0
79,592000.0,264000.0,1018666.6666666665,8000.0,504000.0,216000.0,512000.0,328000.0,1117333.333333333
80,264000.0,1018666.6666666665,8000.0,504000.0,216000.0,512000.0,328000.0,176000.0,136000.0
81,1018666.6666666665,8000.0,504000.0,216000.0,512000.0,328000.0,176000.0,584000.0,432000.0
82,8000.0,504000.0,216000.0,512000.0,328000.0,176000.0,584000.0,664000.0,712000.0
83,504000.0,216000.0,512000.0,328000.0,176000.0,584000.0,664000.0,640000.0,1000000.0
84,216000.0,512000.0,328000.0,176000.0,584000.0,664000.0,640000.0,88000.0,1648000.0
85,512000.0,328000.0,176000.0,584000.0,664000.0,640000.0,88000.0,536000.0,816000.0
86,328000.0,176000.0,584000.0,664000.0,640000.0,88000.0,536000.0,720000.0,1610666.666666667
87,176000.0,584000.0,664000.0,640000.0,88000.0,536000.0,720000.0,1117333.333333333,960000.0
88,584000.0,664000.0,640000.0,88000.0,536000.0,720000.0,1117333.333333333,136000.0,1437333.333333333
89,664000.0,640000.0,88000.0,536000.0,720000.0,1117333.333333333,136000.0,432000.0,544000.0
90,640000.0,88000.0,536000.0,720000.0,1117333.333333333,136000.0,432000.0,712000.0,392000.0
91,88000.0,536000.0,720000.0,1117333.333333333,136000.0,432000.0,712000.0,1000000.0,360000.0
92,536000.0,720000.0,1117333.333333333,136000.0,432000.0,712000.0,1000000.0,1648000.0,640000.0
93,720000.0,1117333.333333333,136000.0,432000.0,712000.0,1000000.0,1648000.0,816000.0,805333.3333333335
94,1117333.333333333,136000.0,432000.0,712000.0,1000000.0,1648000.0,816000.0,1610666.666666667,584000.0
95,136000.0,432000.0,712000.0,1000000.0,1648000.0,816000.0,1610666.666666667,960000.0,520000.0
96,432000.0,712000.0,1000000.0,1648000.0,816000.0,1610666.666666667,960000.0,1437333.333333333,592000.0
97,712000.0,1000000.0,1648000.0,816000.0,1610666.666666667,960000.0,1437333.333333333,544000.0,504000.0
98,1000000.0,1648000.0,816000.0,1610666.666666667,960000.0,1437333.333333333,544000.0,392000.0,416000.0
99,1648000.0,816000.0,1610666.666666667,960000.0,1437333.333333333,544000.0,392000.0,360000.0,760000.0
100,816000.0,1610666.666666667,960000.0,1437333.333333333,544000.0,392000.0,360000.0,640000.0,496000.0
101,1610666.666666667,960000.0,1437333.333333333,544000.0,392000.0,360000.0,640000.0,805333.3333333335,816000.0
102,960000.0,1437333.333333333,544000.0,392000.0,360000.0,640000.0,805333.3333333335,584000.0,760000.0
103,1437333.333333333,544000.0,392000.0,360000.0,640000.0,805333.3333333335,584000.0,520000.0,88000.0
104,544000.0,392000.0,360000.0,640000.0,805333.3333333335,584000.0,520000.0,592000.0,504000.0
105,392000.0,360000.0,640000.0,805333.3333333335,584000.0,520000.0,592000.0,504000.0,608000.0
106,360000.0,640000.0,805333.3333333335,584000.0,520000.0,592000.0,504000.0,416000.0,560000.0
107,640000.0,805333.3333333335,584000.0,520000.0,592000.0,504000.0,416000.0,760000.0,416000.0
108,805333.3333333335,584000.0,520000.0,592000.0,504000.0,416000.0,760000.0,496000.0,576000.0
109,584000.0,520000.0,592000.0,504000.0,416000.0,760000.0,496000.0,816000.0,576000.0
110,520000.0,592000.0,504000.0,416000.0,760000.0,496000.0,816000.0,760000.0,392000.0
111,592000.0,504000.0,416000.0,760000.0,496000.0,816000.0,760000.0,88000.0,504000.0
112,504000.0,416000.0,760000.0,496000.0,816000.0,760000.0,88000.0,504000.0,792000.0
113,416000.0,760000.0,496000.0,816000.0,760000.0,88000.0,504000.0,608000.0,656000.0
114,760000.0,496000.0,816000.0,760000.0,88000.0,504000.0,608000.0,560000.0,640000.0
115,496000.0,816000.0,760000.0,88000.0,504000.0,608000.0,560000.0,416000.0,16000.0
