,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,44000.0,24000.0,0.0,32000.0,32000.0,16000.0,28000.0,16000.0
1,44000.0,24000.0,0.0,32000.0,32000.0,16000.0,28000.0,60000.0,16000.0
2,24000.0,0.0,32000.0,32000.0,16000.0,28000.0,60000.0,44000.0,32000.0
3,0.0,32000.0,32000.0,16000.0,28000.0,60000.0,44000.0,36000.0,44000.0
4,32000.0,32000.0,16000.0,28000.0,60000.0,44000.0,36000.0,32000.0,16000.0
5,32000.0,16000.0,28000.0,60000.0,44000.0,36000.0,32000.0,16000.0,0.0
6,16000.0,28000.0,60000.0,44000.0,36000.0,32000.0,16000.0,0.0,32000.0
7,28000.0,60000.0,44000.0,36000.0,32000.0,16000.0,0.0,32000.0,8000.0
8,60000.0,44000.0,36000.0,32000.0,16000.0,0.0,32000.0,16000.0,16000.0
9,44000.0,36000.0,32000.0,16000.0,0.0,32000.0,16000.0,16000.0,56000.0
10,36000.0,32000.0,16000.0,0.0,32000.0,16000.0,16000.0,32000.0,20000.0
11,32000.0,16000.0,0.0,32000.0,16000.0,16000.0,32000.0,44000.0,0.0
12,16000.0,0.0,32000.0,16000.0,16000.0,32000.0,44000.0,16000.0,8000.0
13,0.0,32000.0,16000.0,16000.0,32000.0,44000.0,16000.0,0.0,0.0
14,32000.0,16000.0,16000.0,32000.0,44000.0,16000.0,0.0,32000.0,28000.0
15,16000.0,16000.0,32000.0,44000.0,16000.0,0.0,32000.0,8000.0,20000.0
16,16000.0,32000.0,44000.0,16000.0,0.0,32000.0,8000.0,16000.0,0.0
17,32000.0,44000.0,16000.0,0.0,32000.0,8000.0,16000.0,56000.0,20000.0
18,44000.0,16000.0,0.0,32000.0,8000.0,16000.0,56000.0,20000.0,24000.0
19,16000.0,0.0,32000.0,8000.0,16000.0,56000.0,20000.0,0.0,24000.0
20,0.0,32000.0,8000.0,16000.0,56000.0,20000.0,0.0,8000.0,44000.0
21,32000.0,8000.0,16000.0,56000.0,20000.0,0.0,8000.0,0.0,20000.0
22,8000.0,16000.0,56000.0,20000.0,0.0,8000.0,0.0,28000.0,84000.0
23,16000.0,56000.0,20000.0,0.0,8000.0,0.0,28000.0,20000.0,52000.0
24,56000.0,20000.0,0.0,8000.0,0.0,28000.0,20000.0,0.0,0.0
25,20000.0,0.0,8000.0,0.0,28000.0,20000.0,0.0,20000.0,36000.0
26,0.0,8000.0,0.0,28000.0,20000.0,0.0,20000.0,24000.0,8000.0
27,8000.0,0.0,28000.0,20000.0,0.0,20000.0,24000.0,24000.0,32000.0
28,0.0,28000.0,20000.0,0.0,20000.0,24000.0,24000.0,44000.0,24000.0
29,28000.0,20000.0,0.0,20000.0,24000.0,24000.0,44000.0,20000.0,40000.0
30,20000.0,0.0,20000.0,24000.0,24000.0,44000.0,20000.0,84000.0,16000.0
31,0.0,20000.0,24000.0,24000.0,44000.0,20000.0,84000.0,52000.0,56000.0
32,20000.0,24000.0,24000.0,44000.0,20000.0,84000.0,52000.0,0.0,16000.0
33,24000.0,24000.0,44000.0,20000.0,84000.0,52000.0,0.0,36000.0,36000.0
34,24000.0,44000.0,20000.0,84000.0,52000.0,0.0,36000.0,8000.0,68000.0
35,44000.0,20000.0,84000.0,52000.0,0.0,36000.0,8000.0,32000.0,65333.33333333334
