,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,3000.0,3000.0
1,0.0,6000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0
2,6000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0
9,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,15000.0
10,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,0.0,6000.0
11,0.0,0.0,0.0,3000.0,3000.0,3000.0,0.0,0.0,0.0
12,0.0,0.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0
13,0.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0
14,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,18000.0
15,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
16,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,15000.0,6000.0
18,0.0,0.0,0.0,0.0,3000.0,0.0,15000.0,6000.0,27000.0
19,0.0,0.0,0.0,3000.0,0.0,15000.0,6000.0,0.0,21000.0
20,0.0,0.0,3000.0,0.0,15000.0,6000.0,0.0,0.0,21000.0
21,0.0,3000.0,0.0,15000.0,6000.0,0.0,0.0,0.0,24000.0
22,3000.0,0.0,15000.0,6000.0,0.0,0.0,0.0,18000.0,96000.0
23,0.0,15000.0,6000.0,0.0,0.0,0.0,18000.0,3000.0,48000.0
24,15000.0,6000.0,0.0,0.0,0.0,18000.0,3000.0,0.0,3000.0
25,6000.0,0.0,0.0,0.0,18000.0,3000.0,0.0,6000.0,54000.0
26,0.0,0.0,0.0,18000.0,3000.0,0.0,6000.0,27000.0,30000.0
27,0.0,0.0,18000.0,3000.0,0.0,6000.0,27000.0,21000.0,27000.0
28,0.0,18000.0,3000.0,0.0,6000.0,27000.0,21000.0,21000.0,54000.0
29,18000.0,3000.0,0.0,6000.0,27000.0,21000.0,21000.0,24000.0,39000.0
30,3000.0,0.0,6000.0,27000.0,21000.0,21000.0,24000.0,96000.0,48000.0
31,0.0,6000.0,27000.0,21000.0,21000.0,24000.0,96000.0,48000.0,57000.0
32,6000.0,27000.0,21000.0,21000.0,24000.0,96000.0,48000.0,3000.0,33000.0
33,27000.0,21000.0,21000.0,24000.0,96000.0,48000.0,3000.0,54000.0,39000.0
34,21000.0,21000.0,24000.0,96000.0,48000.0,3000.0,54000.0,30000.0,90000.0
35,21000.0,24000.0,96000.0,48000.0,3000.0,54000.0,30000.0,27000.0,78000.0
36,24000.0,96000.0,48000.0,3000.0,54000.0,30000.0,27000.0,54000.0,84000.0
37,96000.0,48000.0,3000.0,54000.0,30000.0,27000.0,54000.0,39000.0,30000.0
38,48000.0,3000.0,54000.0,30000.0,27000.0,54000.0,39000.0,48000.0,84000.0
39,3000.0,54000.0,30000.0,27000.0,54000.0,39000.0,48000.0,57000.0,51000.0
40,54000.0,30000.0,27000.0,54000.0,39000.0,48000.0,57000.0,33000.0,63000.0
41,30000.0,27000.0,54000.0,39000.0,48000.0,57000.0,33000.0,39000.0,54000.0
42,27000.0,54000.0,39000.0,48000.0,57000.0,33000.0,39000.0,90000.0,84000.0
43,54000.0,39000.0,48000.0,57000.0,33000.0,39000.0,90000.0,78000.0,81000.0
44,39000.0,48000.0,57000.0,33000.0,39000.0,90000.0,78000.0,84000.0,39000.0
45,48000.0,57000.0,33000.0,39000.0,90000.0,78000.0,84000.0,30000.0,75000.0
46,57000.0,33000.0,39000.0,90000.0,78000.0,84000.0,30000.0,84000.0,84000.0
47,33000.0,39000.0,90000.0,78000.0,84000.0,30000.0,84000.0,51000.0,36000.0
