,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,27500.0,55833.33333333334,121666.66666666669,212500.0,255833.33333333328,122500.0,0.0,65000.0,95000.0
1,55833.33333333334,121666.66666666669,212500.0,255833.33333333328,122500.0,0.0,65000.0,80000.0,72500.0
2,121666.66666666669,212500.0,255833.33333333328,122500.0,0.0,65000.0,80000.0,75000.0,15000.0
3,212500.0,255833.33333333328,122500.0,0.0,65000.0,80000.0,75000.0,32500.0,35000.0
4,255833.33333333328,122500.0,0.0,65000.0,80000.0,75000.0,32500.0,25000.0,25000.0
5,122500.0,0.0,65000.0,80000.0,75000.0,32500.0,25000.0,40000.0,55000.0
6,0.0,65000.0,80000.0,75000.0,32500.0,25000.0,40000.0,75000.0,30000.0
7,65000.0,80000.0,75000.0,32500.0,25000.0,40000.0,75000.0,27500.0,37500.0
8,80000.0,75000.0,32500.0,25000.0,40000.0,75000.0,27500.0,95000.0,75000.0
9,75000.0,32500.0,25000.0,40000.0,75000.0,27500.0,95000.0,72500.0,45000.0
10,32500.0,25000.0,40000.0,75000.0,27500.0,95000.0,72500.0,15000.0,25000.0
11,25000.0,40000.0,75000.0,27500.0,95000.0,72500.0,15000.0,35000.0,50000.0
12,40000.0,75000.0,27500.0,95000.0,72500.0,15000.0,35000.0,25000.0,50000.0
13,75000.0,27500.0,95000.0,72500.0,15000.0,35000.0,25000.0,55000.0,7500.0
14,27500.0,95000.0,72500.0,15000.0,35000.0,25000.0,55000.0,30000.0,52500.0
15,95000.0,72500.0,15000.0,35000.0,25000.0,55000.0,30000.0,37500.0,99166.66666666669
16,72500.0,15000.0,35000.0,25000.0,55000.0,30000.0,37500.0,75000.0,0.0
17,15000.0,35000.0,25000.0,55000.0,30000.0,37500.0,75000.0,45000.0,0.0
18,35000.0,25000.0,55000.0,30000.0,37500.0,75000.0,45000.0,25000.0,0.0
19,25000.0,55000.0,30000.0,37500.0,75000.0,45000.0,25000.0,50000.0,0.0
20,55000.0,30000.0,37500.0,75000.0,45000.0,25000.0,50000.0,50000.0,0.0
21,30000.0,37500.0,75000.0,45000.0,25000.0,50000.0,50000.0,7500.0,0.0
22,37500.0,75000.0,45000.0,25000.0,50000.0,50000.0,7500.0,52500.0,52500.0
23,75000.0,45000.0,25000.0,50000.0,50000.0,7500.0,52500.0,99166.66666666669,60000.0
24,45000.0,25000.0,50000.0,50000.0,7500.0,52500.0,99166.66666666669,0.0,57500.0
25,25000.0,50000.0,50000.0,7500.0,52500.0,99166.66666666669,0.0,0.0,0.0
26,50000.0,50000.0,7500.0,52500.0,99166.66666666669,0.0,0.0,0.0,80000.0
27,50000.0,7500.0,52500.0,99166.66666666669,0.0,0.0,0.0,0.0,52500.0
28,7500.0,52500.0,99166.66666666669,0.0,0.0,0.0,0.0,0.0,7500.0
29,52500.0,99166.66666666669,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
30,99166.66666666669,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,60000.0,0.0
32,0.0,0.0,0.0,0.0,0.0,52500.0,60000.0,57500.0,22500.0
33,0.0,0.0,0.0,0.0,52500.0,60000.0,57500.0,0.0,15000.0
34,0.0,0.0,0.0,52500.0,60000.0,57500.0,0.0,80000.0,0.0
35,0.0,0.0,52500.0,60000.0,57500.0,0.0,80000.0,52500.0,0.0
36,0.0,52500.0,60000.0,57500.0,0.0,80000.0,52500.0,7500.0,0.0
37,52500.0,60000.0,57500.0,0.0,80000.0,52500.0,7500.0,20000.0,0.0
38,60000.0,57500.0,0.0,80000.0,52500.0,7500.0,20000.0,0.0,20000.0
39,57500.0,0.0,80000.0,52500.0,7500.0,20000.0,0.0,0.0,0.0
40,0.0,80000.0,52500.0,7500.0,20000.0,0.0,0.0,22500.0,0.0
41,80000.0,52500.0,7500.0,20000.0,0.0,0.0,22500.0,15000.0,2500.0
42,52500.0,7500.0,20000.0,0.0,0.0,22500.0,15000.0,0.0,0.0
43,7500.0,20000.0,0.0,0.0,22500.0,15000.0,0.0,0.0,0.0
44,20000.0,0.0,0.0,22500.0,15000.0,0.0,0.0,0.0,0.0
45,0.0,0.0,22500.0,15000.0,0.0,0.0,0.0,0.0,2500.0
46,0.0,22500.0,15000.0,0.0,0.0,0.0,0.0,20000.0,0.0
47,22500.0,15000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0
48,15000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,5000.0
49,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,2500.0,0.0
50,0.0,0.0,0.0,20000.0,0.0,0.0,2500.0,0.0,0.0
51,0.0,0.0,20000.0,0.0,0.0,2500.0,0.0,0.0,0.0
52,0.0,20000.0,0.0,0.0,2500.0,0.0,0.0,0.0,2500.0
53,20000.0,0.0,0.0,2500.0,0.0,0.0,0.0,2500.0,0.0
54,0.0,0.0,2500.0,0.0,0.0,0.0,2500.0,0.0,0.0
55,0.0,2500.0,0.0,0.0,0.0,2500.0,0.0,0.0,5000.0
56,2500.0,0.0,0.0,0.0,2500.0,0.0,0.0,5000.0,0.0
57,0.0,0.0,0.0,2500.0,0.0,0.0,5000.0,0.0,0.0
58,0.0,0.0,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0
59,0.0,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
60,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0,2500.0,5000.0
61,0.0,0.0,5000.0,0.0,0.0,0.0,2500.0,0.0,10000.0
62,0.0,5000.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
63,5000.0,0.0,0.0,0.0,2500.0,0.0,0.0,5000.0,2500.0
64,0.0,0.0,0.0,2500.0,0.0,0.0,5000.0,0.0,2500.0
65,0.0,0.0,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0
66,0.0,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0,50000.0
67,2500.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,12500.0
68,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0
69,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,10000.0,15000.0
70,5000.0,0.0,0.0,0.0,0.0,5000.0,10000.0,0.0,12500.0
71,0.0,0.0,0.0,0.0,5000.0,10000.0,0.0,2500.0,0.0
72,0.0,0.0,0.0,5000.0,10000.0,0.0,2500.0,2500.0,20000.0
73,0.0,0.0,5000.0,10000.0,0.0,2500.0,2500.0,0.0,0.0
74,0.0,5000.0,10000.0,0.0,2500.0,2500.0,0.0,50000.0,0.0
75,5000.0,10000.0,0.0,2500.0,2500.0,0.0,50000.0,12500.0,32500.0
76,10000.0,0.0,2500.0,2500.0,0.0,50000.0,12500.0,0.0,0.0
77,0.0,2500.0,2500.0,0.0,50000.0,12500.0,0.0,15000.0,20000.0
78,2500.0,2500.0,0.0,50000.0,12500.0,0.0,15000.0,12500.0,0.0
79,2500.0,0.0,50000.0,12500.0,0.0,15000.0,12500.0,0.0,52500.0
80,0.0,50000.0,12500.0,0.0,15000.0,12500.0,0.0,20000.0,0.0
81,50000.0,12500.0,0.0,15000.0,12500.0,0.0,20000.0,0.0,102500.0
82,12500.0,0.0,15000.0,12500.0,0.0,20000.0,0.0,0.0,25000.0
83,0.0,15000.0,12500.0,0.0,20000.0,0.0,0.0,32500.0,7500.0
84,15000.0,12500.0,0.0,20000.0,0.0,0.0,32500.0,0.0,17500.0
85,12500.0,0.0,20000.0,0.0,0.0,32500.0,0.0,20000.0,0.0
86,0.0,20000.0,0.0,0.0,32500.0,0.0,20000.0,0.0,30000.0
87,20000.0,0.0,0.0,32500.0,0.0,20000.0,0.0,52500.0,10000.0
88,0.0,0.0,32500.0,0.0,20000.0,0.0,52500.0,0.0,2500.0
89,0.0,32500.0,0.0,20000.0,0.0,52500.0,0.0,102500.0,2500.0
90,32500.0,0.0,20000.0,0.0,52500.0,0.0,102500.0,25000.0,104166.66666666669
91,0.0,20000.0,0.0,52500.0,0.0,102500.0,25000.0,7500.0,32500.0
92,20000.0,0.0,52500.0,0.0,102500.0,25000.0,7500.0,17500.0,45000.0
93,0.0,52500.0,0.0,102500.0,25000.0,7500.0,17500.0,0.0,0.0
94,52500.0,0.0,102500.0,25000.0,7500.0,17500.0,0.0,30000.0,52500.0
95,0.0,102500.0,25000.0,7500.0,17500.0,0.0,30000.0,10000.0,22500.0
96,102500.0,25000.0,7500.0,17500.0,0.0,30000.0,10000.0,2500.0,52500.0
97,25000.0,7500.0,17500.0,0.0,30000.0,10000.0,2500.0,2500.0,17500.0
98,7500.0,17500.0,0.0,30000.0,10000.0,2500.0,2500.0,104166.66666666669,37500.0
99,17500.0,0.0,30000.0,10000.0,2500.0,2500.0,104166.66666666669,32500.0,32500.0
100,0.0,30000.0,10000.0,2500.0,2500.0,104166.66666666669,32500.0,45000.0,47500.0
101,30000.0,10000.0,2500.0,2500.0,104166.66666666669,32500.0,45000.0,0.0,32500.0
102,10000.0,2500.0,2500.0,104166.66666666669,32500.0,45000.0,0.0,52500.0,37500.0
103,2500.0,2500.0,104166.66666666669,32500.0,45000.0,0.0,52500.0,22500.0,32500.0
104,2500.0,104166.66666666669,32500.0,45000.0,0.0,52500.0,22500.0,52500.0,70000.0
105,104166.66666666669,32500.0,45000.0,0.0,52500.0,22500.0,52500.0,17500.0,40000.0
106,32500.0,45000.0,0.0,52500.0,22500.0,52500.0,17500.0,37500.0,30000.0
107,45000.0,0.0,52500.0,22500.0,52500.0,17500.0,37500.0,32500.0,47500.0
108,0.0,52500.0,22500.0,52500.0,17500.0,37500.0,32500.0,47500.0,15000.0
109,52500.0,22500.0,52500.0,17500.0,37500.0,32500.0,47500.0,32500.0,106666.66666666669
110,22500.0,52500.0,17500.0,37500.0,32500.0,47500.0,32500.0,37500.0,60000.0
111,52500.0,17500.0,37500.0,32500.0,47500.0,32500.0,37500.0,32500.0,37500.0
112,17500.0,37500.0,32500.0,47500.0,32500.0,37500.0,32500.0,70000.0,57500.0
113,37500.0,32500.0,47500.0,32500.0,37500.0,32500.0,70000.0,40000.0,60000.0
114,32500.0,47500.0,32500.0,37500.0,32500.0,70000.0,40000.0,30000.0,27500.0
115,47500.0,32500.0,37500.0,32500.0,70000.0,40000.0,30000.0,47500.0,35000.0
