,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,42000.0,51000.0,57000.0,24000.0,78000.0,60000.0,84000.0,54000.0,54000.0
1,51000.0,57000.0,24000.0,78000.0,60000.0,84000.0,54000.0,51000.0,42000.0
2,57000.0,24000.0,78000.0,60000.0,84000.0,54000.0,51000.0,90000.0,48000.0
3,24000.0,78000.0,60000.0,84000.0,54000.0,51000.0,90000.0,84000.0,81000.0
4,78000.0,60000.0,84000.0,54000.0,51000.0,90000.0,84000.0,60000.0,54000.0
5,60000.0,84000.0,54000.0,51000.0,90000.0,84000.0,60000.0,33000.0,75000.0
6,84000.0,54000.0,51000.0,90000.0,84000.0,60000.0,33000.0,21000.0,99000.0
7,54000.0,51000.0,90000.0,84000.0,60000.0,33000.0,21000.0,69000.0,99000.0
8,51000.0,90000.0,84000.0,60000.0,33000.0,21000.0,69000.0,54000.0,84000.0
9,90000.0,84000.0,60000.0,33000.0,21000.0,69000.0,54000.0,42000.0,162000.0
10,84000.0,60000.0,33000.0,21000.0,69000.0,54000.0,42000.0,48000.0,132000.0
11,60000.0,33000.0,21000.0,69000.0,54000.0,42000.0,48000.0,81000.0,30000.0
12,33000.0,21000.0,69000.0,54000.0,42000.0,48000.0,81000.0,54000.0,48000.0
13,21000.0,69000.0,54000.0,42000.0,48000.0,81000.0,54000.0,75000.0,42000.0
14,69000.0,54000.0,42000.0,48000.0,81000.0,54000.0,75000.0,99000.0,105000.0
15,54000.0,42000.0,48000.0,81000.0,54000.0,75000.0,99000.0,99000.0,111000.0
16,42000.0,48000.0,81000.0,54000.0,75000.0,99000.0,99000.0,84000.0,93000.0
17,48000.0,81000.0,54000.0,75000.0,99000.0,99000.0,84000.0,162000.0,48000.0
18,81000.0,54000.0,75000.0,99000.0,99000.0,84000.0,162000.0,132000.0,36000.0
19,54000.0,75000.0,99000.0,99000.0,84000.0,162000.0,132000.0,30000.0,72000.0
20,75000.0,99000.0,99000.0,84000.0,162000.0,132000.0,30000.0,48000.0,54000.0
21,99000.0,99000.0,84000.0,162000.0,132000.0,30000.0,48000.0,42000.0,84000.0
22,99000.0,84000.0,162000.0,132000.0,30000.0,48000.0,42000.0,105000.0,69000.0
23,84000.0,162000.0,132000.0,30000.0,48000.0,42000.0,105000.0,111000.0,129000.0
24,162000.0,132000.0,30000.0,48000.0,42000.0,105000.0,111000.0,93000.0,48000.0
25,132000.0,30000.0,48000.0,42000.0,105000.0,111000.0,93000.0,48000.0,63000.0
26,30000.0,48000.0,42000.0,105000.0,111000.0,93000.0,48000.0,36000.0,51000.0
27,48000.0,42000.0,105000.0,111000.0,93000.0,48000.0,36000.0,72000.0,33000.0
28,42000.0,105000.0,111000.0,93000.0,48000.0,36000.0,72000.0,54000.0,78000.0
29,105000.0,111000.0,93000.0,48000.0,36000.0,72000.0,54000.0,84000.0,54000.0
30,111000.0,93000.0,48000.0,36000.0,72000.0,54000.0,84000.0,69000.0,84000.0
31,93000.0,48000.0,36000.0,72000.0,54000.0,84000.0,69000.0,129000.0,102000.0
32,48000.0,36000.0,72000.0,54000.0,84000.0,69000.0,129000.0,48000.0,102000.0
33,36000.0,72000.0,54000.0,84000.0,69000.0,129000.0,48000.0,63000.0,102000.0
34,72000.0,54000.0,84000.0,69000.0,129000.0,48000.0,63000.0,51000.0,24000.0
35,54000.0,84000.0,69000.0,129000.0,48000.0,63000.0,51000.0,33000.0,168000.0
36,84000.0,69000.0,129000.0,48000.0,63000.0,51000.0,33000.0,78000.0,138000.0
37,69000.0,129000.0,48000.0,63000.0,51000.0,33000.0,78000.0,54000.0,63000.0
38,129000.0,48000.0,63000.0,51000.0,33000.0,78000.0,54000.0,84000.0,39000.0
