,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,33000.0,63000.0,57000.0,48000.0,27000.0,75000.0,51000.0,51000.0,72000.0
1,63000.0,57000.0,48000.0,27000.0,75000.0,51000.0,51000.0,108000.0,72000.0
2,57000.0,48000.0,27000.0,75000.0,51000.0,51000.0,108000.0,78000.0,78000.0
3,48000.0,27000.0,75000.0,51000.0,51000.0,108000.0,78000.0,108000.0,93000.0
4,27000.0,75000.0,51000.0,51000.0,108000.0,78000.0,108000.0,51000.0,60000.0
5,75000.0,51000.0,51000.0,108000.0,78000.0,108000.0,51000.0,75000.0,24000.0
6,51000.0,51000.0,108000.0,78000.0,108000.0,51000.0,75000.0,0.0,60000.0
7,51000.0,108000.0,78000.0,108000.0,51000.0,75000.0,0.0,90000.0,135000.0
8,108000.0,78000.0,108000.0,51000.0,75000.0,0.0,90000.0,72000.0,96000.0
9,78000.0,108000.0,51000.0,75000.0,0.0,90000.0,72000.0,72000.0,87000.0
10,108000.0,51000.0,75000.0,0.0,90000.0,72000.0,72000.0,78000.0,72000.0
11,51000.0,75000.0,0.0,90000.0,72000.0,72000.0,78000.0,93000.0,15000.0
12,75000.0,0.0,90000.0,72000.0,72000.0,78000.0,93000.0,60000.0,51000.0
13,0.0,90000.0,72000.0,72000.0,78000.0,93000.0,60000.0,24000.0,45000.0
14,90000.0,72000.0,72000.0,78000.0,93000.0,60000.0,24000.0,60000.0,69000.0
15,72000.0,72000.0,78000.0,93000.0,60000.0,24000.0,60000.0,135000.0,54000.0
16,72000.0,78000.0,93000.0,60000.0,24000.0,60000.0,135000.0,96000.0,42000.0
17,78000.0,93000.0,60000.0,24000.0,60000.0,135000.0,96000.0,87000.0,18000.0
18,93000.0,60000.0,24000.0,60000.0,135000.0,96000.0,87000.0,72000.0,72000.0
19,60000.0,24000.0,60000.0,135000.0,96000.0,87000.0,72000.0,15000.0,120000.0
20,24000.0,60000.0,135000.0,96000.0,87000.0,72000.0,15000.0,51000.0,99000.0
21,60000.0,135000.0,96000.0,87000.0,72000.0,15000.0,51000.0,45000.0,99000.0
22,135000.0,96000.0,87000.0,72000.0,15000.0,51000.0,45000.0,69000.0,156000.0
23,96000.0,87000.0,72000.0,15000.0,51000.0,45000.0,69000.0,54000.0,78000.0
24,87000.0,72000.0,15000.0,51000.0,45000.0,69000.0,54000.0,42000.0,27000.0
25,72000.0,15000.0,51000.0,45000.0,69000.0,54000.0,42000.0,18000.0,102000.0
26,15000.0,51000.0,45000.0,69000.0,54000.0,42000.0,18000.0,72000.0,18000.0
27,51000.0,45000.0,69000.0,54000.0,42000.0,18000.0,72000.0,120000.0,60000.0
28,45000.0,69000.0,54000.0,42000.0,18000.0,72000.0,120000.0,99000.0,48000.0
29,69000.0,54000.0,42000.0,18000.0,72000.0,120000.0,99000.0,99000.0,51000.0
30,54000.0,42000.0,18000.0,72000.0,120000.0,99000.0,99000.0,156000.0,66000.0
31,42000.0,18000.0,72000.0,120000.0,99000.0,99000.0,156000.0,78000.0,84000.0
32,18000.0,72000.0,120000.0,99000.0,99000.0,156000.0,78000.0,27000.0,93000.0
33,72000.0,120000.0,99000.0,99000.0,156000.0,78000.0,27000.0,102000.0,129000.0
34,120000.0,99000.0,99000.0,156000.0,78000.0,27000.0,102000.0,18000.0,81000.0
35,99000.0,99000.0,156000.0,78000.0,27000.0,102000.0,18000.0,60000.0,126000.0
36,99000.0,156000.0,78000.0,27000.0,102000.0,18000.0,60000.0,48000.0,141000.0
37,156000.0,78000.0,27000.0,102000.0,18000.0,60000.0,48000.0,51000.0,60000.0
38,78000.0,27000.0,102000.0,18000.0,60000.0,48000.0,51000.0,66000.0,108000.0
39,27000.0,102000.0,18000.0,60000.0,48000.0,51000.0,66000.0,84000.0,54000.0
40,102000.0,18000.0,60000.0,48000.0,51000.0,66000.0,84000.0,93000.0,63000.0
41,18000.0,60000.0,48000.0,51000.0,66000.0,84000.0,93000.0,129000.0,123000.0
42,60000.0,48000.0,51000.0,66000.0,84000.0,93000.0,129000.0,81000.0,90000.0
43,48000.0,51000.0,66000.0,84000.0,93000.0,129000.0,81000.0,126000.0,132000.0
44,51000.0,66000.0,84000.0,93000.0,129000.0,81000.0,126000.0,141000.0,72000.0
45,66000.0,84000.0,93000.0,129000.0,81000.0,126000.0,141000.0,60000.0,99000.0
46,84000.0,93000.0,129000.0,81000.0,126000.0,141000.0,60000.0,108000.0,66000.0
47,93000.0,129000.0,81000.0,126000.0,141000.0,60000.0,108000.0,54000.0,60000.0
48,129000.0,81000.0,126000.0,141000.0,60000.0,108000.0,54000.0,63000.0,69000.0
49,81000.0,126000.0,141000.0,60000.0,108000.0,54000.0,63000.0,123000.0,129000.0
50,126000.0,141000.0,60000.0,108000.0,54000.0,63000.0,123000.0,90000.0,39000.0
51,141000.0,60000.0,108000.0,54000.0,63000.0,123000.0,90000.0,132000.0,129000.0
52,60000.0,108000.0,54000.0,63000.0,123000.0,90000.0,132000.0,72000.0,45000.0
53,108000.0,54000.0,63000.0,123000.0,90000.0,132000.0,72000.0,99000.0,81000.0
54,54000.0,63000.0,123000.0,90000.0,132000.0,72000.0,99000.0,66000.0,72000.0
55,63000.0,123000.0,90000.0,132000.0,72000.0,99000.0,66000.0,60000.0,39000.0
56,123000.0,90000.0,132000.0,72000.0,99000.0,66000.0,60000.0,69000.0,57000.0
57,90000.0,132000.0,72000.0,99000.0,66000.0,60000.0,69000.0,129000.0,150000.0
58,132000.0,72000.0,99000.0,66000.0,60000.0,69000.0,129000.0,39000.0,84000.0
59,72000.0,99000.0,66000.0,60000.0,69000.0,129000.0,39000.0,129000.0,102000.0
60,99000.0,66000.0,60000.0,69000.0,129000.0,39000.0,129000.0,45000.0,96000.0
61,66000.0,60000.0,69000.0,129000.0,39000.0,129000.0,45000.0,81000.0,165000.0
62,60000.0,69000.0,129000.0,39000.0,129000.0,45000.0,81000.0,72000.0,173000.0
63,69000.0,129000.0,39000.0,129000.0,45000.0,81000.0,72000.0,39000.0,60000.0
64,129000.0,39000.0,129000.0,45000.0,81000.0,72000.0,39000.0,57000.0,96000.0
65,39000.0,129000.0,45000.0,81000.0,72000.0,39000.0,57000.0,150000.0,192000.0
66,129000.0,45000.0,81000.0,72000.0,39000.0,57000.0,150000.0,84000.0,323000.0
67,45000.0,81000.0,72000.0,39000.0,57000.0,150000.0,84000.0,102000.0,30000.0
68,81000.0,72000.0,39000.0,57000.0,150000.0,84000.0,102000.0,96000.0,72000.0
69,72000.0,39000.0,57000.0,150000.0,84000.0,102000.0,96000.0,165000.0,66000.0
70,39000.0,57000.0,150000.0,84000.0,102000.0,96000.0,165000.0,173000.0,102000.0
71,57000.0,150000.0,84000.0,102000.0,96000.0,165000.0,173000.0,60000.0,117000.0
72,150000.0,84000.0,102000.0,96000.0,165000.0,173000.0,60000.0,96000.0,51000.0
73,84000.0,102000.0,96000.0,165000.0,173000.0,60000.0,96000.0,192000.0,138000.0
74,102000.0,96000.0,165000.0,173000.0,60000.0,96000.0,192000.0,323000.0,114000.0
75,96000.0,165000.0,173000.0,60000.0,96000.0,192000.0,323000.0,30000.0,129000.0
76,165000.0,173000.0,60000.0,96000.0,192000.0,323000.0,30000.0,72000.0,75000.0
77,173000.0,60000.0,96000.0,192000.0,323000.0,30000.0,72000.0,66000.0,102000.0
78,60000.0,96000.0,192000.0,323000.0,30000.0,72000.0,66000.0,102000.0,120000.0
79,96000.0,192000.0,323000.0,30000.0,72000.0,66000.0,102000.0,117000.0,274000.0
80,192000.0,323000.0,30000.0,72000.0,66000.0,102000.0,117000.0,51000.0,51000.0
81,323000.0,30000.0,72000.0,66000.0,102000.0,117000.0,51000.0,138000.0,358000.0
82,30000.0,72000.0,66000.0,102000.0,117000.0,51000.0,138000.0,114000.0,105000.0
83,72000.0,66000.0,102000.0,117000.0,51000.0,138000.0,114000.0,129000.0,111000.0
84,66000.0,102000.0,117000.0,51000.0,138000.0,114000.0,129000.0,75000.0,163000.0
85,102000.0,117000.0,51000.0,138000.0,114000.0,129000.0,75000.0,102000.0,90000.0
86,117000.0,51000.0,138000.0,114000.0,129000.0,75000.0,102000.0,120000.0,246000.0
87,51000.0,138000.0,114000.0,129000.0,75000.0,102000.0,120000.0,274000.0,141000.0
88,138000.0,114000.0,129000.0,75000.0,102000.0,120000.0,274000.0,51000.0,265000.0
89,114000.0,129000.0,75000.0,102000.0,120000.0,274000.0,51000.0,358000.0,69000.0
90,129000.0,75000.0,102000.0,120000.0,274000.0,51000.0,358000.0,105000.0,225000.0
91,75000.0,102000.0,120000.0,274000.0,51000.0,358000.0,105000.0,111000.0,39000.0
92,102000.0,120000.0,274000.0,51000.0,358000.0,105000.0,111000.0,163000.0,201000.0
93,120000.0,274000.0,51000.0,358000.0,105000.0,111000.0,163000.0,90000.0,216000.0
94,274000.0,51000.0,358000.0,105000.0,111000.0,163000.0,90000.0,246000.0,150000.0
95,51000.0,358000.0,105000.0,111000.0,163000.0,90000.0,246000.0,141000.0,66000.0
96,358000.0,105000.0,111000.0,163000.0,90000.0,246000.0,141000.0,265000.0,138000.0
97,105000.0,111000.0,163000.0,90000.0,246000.0,141000.0,265000.0,69000.0,105000.0
98,111000.0,163000.0,90000.0,246000.0,141000.0,265000.0,69000.0,225000.0,78000.0
99,163000.0,90000.0,246000.0,141000.0,265000.0,69000.0,225000.0,39000.0,156000.0
100,90000.0,246000.0,141000.0,265000.0,69000.0,225000.0,39000.0,201000.0,90000.0
101,246000.0,141000.0,265000.0,69000.0,225000.0,39000.0,201000.0,216000.0,147000.0
102,141000.0,265000.0,69000.0,225000.0,39000.0,201000.0,216000.0,150000.0,96000.0
103,265000.0,69000.0,225000.0,39000.0,201000.0,216000.0,150000.0,66000.0,48000.0
104,69000.0,225000.0,39000.0,201000.0,216000.0,150000.0,66000.0,138000.0,102000.0
105,225000.0,39000.0,201000.0,216000.0,150000.0,66000.0,138000.0,105000.0,105000.0
106,39000.0,201000.0,216000.0,150000.0,66000.0,138000.0,105000.0,78000.0,129000.0
107,201000.0,216000.0,150000.0,66000.0,138000.0,105000.0,78000.0,156000.0,87000.0
108,216000.0,150000.0,66000.0,138000.0,105000.0,78000.0,156000.0,90000.0,123000.0
109,150000.0,66000.0,138000.0,105000.0,78000.0,156000.0,90000.0,147000.0,154000.0
110,66000.0,138000.0,105000.0,78000.0,156000.0,90000.0,147000.0,96000.0,75000.0
111,138000.0,105000.0,78000.0,156000.0,90000.0,147000.0,96000.0,48000.0,39000.0
112,105000.0,78000.0,156000.0,90000.0,147000.0,96000.0,48000.0,102000.0,168000.0
