,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,76000.0,124000.0,193333.3333333333,80000.0,28000.0,80000.0,169333.33333333337,100000.0,124000.0
1,124000.0,193333.3333333333,80000.0,28000.0,80000.0,169333.33333333337,100000.0,200000.0,88000.0
2,193333.3333333333,80000.0,28000.0,80000.0,169333.33333333337,100000.0,200000.0,152000.0,146666.66666666663
3,80000.0,28000.0,80000.0,169333.33333333337,100000.0,200000.0,152000.0,181333.3333333333,172000.0
4,28000.0,80000.0,169333.33333333337,100000.0,200000.0,152000.0,181333.3333333333,181333.3333333333,210666.66666666663
5,80000.0,169333.33333333337,100000.0,200000.0,152000.0,181333.3333333333,181333.3333333333,52000.0,48000.0
6,169333.33333333337,100000.0,200000.0,152000.0,181333.3333333333,181333.3333333333,52000.0,68000.0,118666.66666666669
7,100000.0,200000.0,152000.0,181333.3333333333,181333.3333333333,52000.0,68000.0,89333.33333333331,122666.66666666669
8,200000.0,152000.0,181333.3333333333,181333.3333333333,52000.0,68000.0,89333.33333333331,124000.0,172000.0
9,152000.0,181333.3333333333,181333.3333333333,52000.0,68000.0,89333.33333333331,124000.0,88000.0,201333.3333333333
10,181333.3333333333,181333.3333333333,52000.0,68000.0,89333.33333333331,124000.0,88000.0,146666.66666666663,180000.0
11,181333.3333333333,52000.0,68000.0,89333.33333333331,124000.0,88000.0,146666.66666666663,172000.0,0.0
12,52000.0,68000.0,89333.33333333331,124000.0,88000.0,146666.66666666663,172000.0,210666.66666666663,106666.66666666669
13,68000.0,89333.33333333331,124000.0,88000.0,146666.66666666663,172000.0,210666.66666666663,48000.0,12000.0
14,89333.33333333331,124000.0,88000.0,146666.66666666663,172000.0,210666.66666666663,48000.0,118666.66666666669,40000.0
15,124000.0,88000.0,146666.66666666663,172000.0,210666.66666666663,48000.0,118666.66666666669,122666.66666666669,58666.66666666666
16,88000.0,146666.66666666663,172000.0,210666.66666666663,48000.0,118666.66666666669,122666.66666666669,172000.0,84000.0
17,146666.66666666663,172000.0,210666.66666666663,48000.0,118666.66666666669,122666.66666666669,172000.0,201333.3333333333,92000.0
18,172000.0,210666.66666666663,48000.0,118666.66666666669,122666.66666666669,172000.0,201333.3333333333,180000.0,92000.0
19,210666.66666666663,48000.0,118666.66666666669,122666.66666666669,172000.0,201333.3333333333,180000.0,0.0,76000.0
20,48000.0,118666.66666666669,122666.66666666669,172000.0,201333.3333333333,180000.0,0.0,106666.66666666669,101333.33333333331
21,118666.66666666669,122666.66666666669,172000.0,201333.3333333333,180000.0,0.0,106666.66666666669,12000.0,105333.33333333331
22,122666.66666666669,172000.0,201333.3333333333,180000.0,0.0,106666.66666666669,12000.0,40000.0,40000.0
23,172000.0,201333.3333333333,180000.0,0.0,106666.66666666669,12000.0,40000.0,58666.66666666666,76000.0
24,201333.3333333333,180000.0,0.0,106666.66666666669,12000.0,40000.0,58666.66666666666,84000.0,28000.0
25,180000.0,0.0,106666.66666666669,12000.0,40000.0,58666.66666666666,84000.0,92000.0,32000.0
26,0.0,106666.66666666669,12000.0,40000.0,58666.66666666666,84000.0,92000.0,92000.0,20000.0
27,106666.66666666669,12000.0,40000.0,58666.66666666666,84000.0,92000.0,92000.0,76000.0,12000.0
28,12000.0,40000.0,58666.66666666666,84000.0,92000.0,92000.0,76000.0,101333.33333333331,20000.0
29,40000.0,58666.66666666666,84000.0,92000.0,92000.0,76000.0,101333.33333333331,105333.33333333331,20000.0
