,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,429000.0,602000.0,594000.0,348000.0,569000.0,366000.0,189000.0,396000.0,312000.0
1,602000.0,594000.0,348000.0,569000.0,366000.0,189000.0,396000.0,528000.0,246000.0
2,594000.0,348000.0,569000.0,366000.0,189000.0,396000.0,528000.0,539000.0,207000.0
3,348000.0,569000.0,366000.0,189000.0,396000.0,528000.0,539000.0,507000.0,219000.0
4,569000.0,366000.0,189000.0,396000.0,528000.0,539000.0,507000.0,513000.0,345000.0
5,366000.0,189000.0,396000.0,528000.0,539000.0,507000.0,513000.0,387000.0,225000.0
6,189000.0,396000.0,528000.0,539000.0,507000.0,513000.0,387000.0,96000.0,132000.0
7,396000.0,528000.0,539000.0,507000.0,513000.0,387000.0,96000.0,404000.0,93000.0
8,528000.0,539000.0,507000.0,513000.0,387000.0,96000.0,404000.0,312000.0,276000.0
9,539000.0,507000.0,513000.0,387000.0,96000.0,404000.0,312000.0,246000.0,126000.0
10,507000.0,513000.0,387000.0,96000.0,404000.0,312000.0,246000.0,207000.0,141000.0
11,513000.0,387000.0,96000.0,404000.0,312000.0,246000.0,207000.0,219000.0,171000.0
12,387000.0,96000.0,404000.0,312000.0,246000.0,207000.0,219000.0,345000.0,330000.0
13,96000.0,404000.0,312000.0,246000.0,207000.0,219000.0,345000.0,225000.0,96000.0
14,404000.0,312000.0,246000.0,207000.0,219000.0,345000.0,225000.0,132000.0,291000.0
15,312000.0,246000.0,207000.0,219000.0,345000.0,225000.0,132000.0,93000.0,255000.0
16,246000.0,207000.0,219000.0,345000.0,225000.0,132000.0,93000.0,276000.0,264000.0
17,207000.0,219000.0,345000.0,225000.0,132000.0,93000.0,276000.0,126000.0,6000.0
18,219000.0,345000.0,225000.0,132000.0,93000.0,276000.0,126000.0,141000.0,69000.0
19,345000.0,225000.0,132000.0,93000.0,276000.0,126000.0,141000.0,171000.0,123000.0
20,225000.0,132000.0,93000.0,276000.0,126000.0,141000.0,171000.0,330000.0,198000.0
21,132000.0,93000.0,276000.0,126000.0,141000.0,171000.0,330000.0,96000.0,249000.0
22,93000.0,276000.0,126000.0,141000.0,171000.0,330000.0,96000.0,291000.0,462000.0
23,276000.0,126000.0,141000.0,171000.0,330000.0,96000.0,291000.0,255000.0,414000.0
24,126000.0,141000.0,171000.0,330000.0,96000.0,291000.0,255000.0,264000.0,0.0
25,141000.0,171000.0,330000.0,96000.0,291000.0,255000.0,264000.0,6000.0,141000.0
26,171000.0,330000.0,96000.0,291000.0,255000.0,264000.0,6000.0,69000.0,96000.0
27,330000.0,96000.0,291000.0,255000.0,264000.0,6000.0,69000.0,123000.0,0.0
28,96000.0,291000.0,255000.0,264000.0,6000.0,69000.0,123000.0,198000.0,216000.0
29,291000.0,255000.0,264000.0,6000.0,69000.0,123000.0,198000.0,249000.0,111000.0
30,255000.0,264000.0,6000.0,69000.0,123000.0,198000.0,249000.0,462000.0,12000.0
31,264000.0,6000.0,69000.0,123000.0,198000.0,249000.0,462000.0,414000.0,126000.0
32,6000.0,69000.0,123000.0,198000.0,249000.0,462000.0,414000.0,0.0,69000.0
33,69000.0,123000.0,198000.0,249000.0,462000.0,414000.0,0.0,141000.0,102000.0
34,123000.0,198000.0,249000.0,462000.0,414000.0,0.0,141000.0,96000.0,0.0
35,198000.0,249000.0,462000.0,414000.0,0.0,141000.0,96000.0,0.0,120000.0
36,249000.0,462000.0,414000.0,0.0,141000.0,96000.0,0.0,216000.0,156000.0
37,462000.0,414000.0,0.0,141000.0,96000.0,0.0,216000.0,111000.0,60000.0
38,414000.0,0.0,141000.0,96000.0,0.0,216000.0,111000.0,12000.0,75000.0
39,0.0,141000.0,96000.0,0.0,216000.0,111000.0,12000.0,126000.0,63000.0
40,141000.0,96000.0,0.0,216000.0,111000.0,12000.0,126000.0,69000.0,87000.0
41,96000.0,0.0,216000.0,111000.0,12000.0,126000.0,69000.0,102000.0,51000.0
42,0.0,216000.0,111000.0,12000.0,126000.0,69000.0,102000.0,0.0,177000.0
43,216000.0,111000.0,12000.0,126000.0,69000.0,102000.0,0.0,120000.0,108000.0
44,111000.0,12000.0,126000.0,69000.0,102000.0,0.0,120000.0,156000.0,129000.0
45,12000.0,126000.0,69000.0,102000.0,0.0,120000.0,156000.0,60000.0,99000.0
46,126000.0,69000.0,102000.0,0.0,120000.0,156000.0,60000.0,75000.0,108000.0
47,69000.0,102000.0,0.0,120000.0,156000.0,60000.0,75000.0,63000.0,39000.0
48,102000.0,0.0,120000.0,156000.0,60000.0,75000.0,63000.0,87000.0,36000.0
49,0.0,120000.0,156000.0,60000.0,75000.0,63000.0,87000.0,51000.0,144000.0
50,120000.0,156000.0,60000.0,75000.0,63000.0,87000.0,51000.0,177000.0,36000.0
51,156000.0,60000.0,75000.0,63000.0,87000.0,51000.0,177000.0,108000.0,9000.0
52,60000.0,75000.0,63000.0,87000.0,51000.0,177000.0,108000.0,129000.0,3000.0
53,75000.0,63000.0,87000.0,51000.0,177000.0,108000.0,129000.0,99000.0,66000.0
54,63000.0,87000.0,51000.0,177000.0,108000.0,129000.0,99000.0,108000.0,78000.0
55,87000.0,51000.0,177000.0,108000.0,129000.0,99000.0,108000.0,39000.0,39000.0
56,51000.0,177000.0,108000.0,129000.0,99000.0,108000.0,39000.0,36000.0,66000.0
57,177000.0,108000.0,129000.0,99000.0,108000.0,39000.0,36000.0,144000.0,102000.0
58,108000.0,129000.0,99000.0,108000.0,39000.0,36000.0,144000.0,36000.0,27000.0
59,129000.0,99000.0,108000.0,39000.0,36000.0,144000.0,36000.0,9000.0,93000.0
60,99000.0,108000.0,39000.0,36000.0,144000.0,36000.0,9000.0,3000.0,99000.0
61,108000.0,39000.0,36000.0,144000.0,36000.0,9000.0,3000.0,66000.0,6000.0
62,39000.0,36000.0,144000.0,36000.0,9000.0,3000.0,66000.0,78000.0,75000.0
63,36000.0,144000.0,36000.0,9000.0,3000.0,66000.0,78000.0,39000.0,30000.0
64,144000.0,36000.0,9000.0,3000.0,66000.0,78000.0,39000.0,66000.0,69000.0
65,36000.0,9000.0,3000.0,66000.0,78000.0,39000.0,66000.0,102000.0,306000.0
66,9000.0,3000.0,66000.0,78000.0,39000.0,66000.0,102000.0,27000.0,177000.0
67,3000.0,66000.0,78000.0,39000.0,66000.0,102000.0,27000.0,93000.0,33000.0
68,66000.0,78000.0,39000.0,66000.0,102000.0,27000.0,93000.0,99000.0,96000.0
69,78000.0,39000.0,66000.0,102000.0,27000.0,93000.0,99000.0,6000.0,3000.0
70,39000.0,66000.0,102000.0,27000.0,93000.0,99000.0,6000.0,75000.0,3000.0
71,66000.0,102000.0,27000.0,93000.0,99000.0,6000.0,75000.0,30000.0,0.0
72,102000.0,27000.0,93000.0,99000.0,6000.0,75000.0,30000.0,69000.0,18000.0
73,27000.0,93000.0,99000.0,6000.0,75000.0,30000.0,69000.0,306000.0,36000.0
74,93000.0,99000.0,6000.0,75000.0,30000.0,69000.0,306000.0,177000.0,93000.0
75,99000.0,6000.0,75000.0,30000.0,69000.0,306000.0,177000.0,33000.0,36000.0
76,6000.0,75000.0,30000.0,69000.0,306000.0,177000.0,33000.0,96000.0,48000.0
77,75000.0,30000.0,69000.0,306000.0,177000.0,33000.0,96000.0,3000.0,15000.0
78,30000.0,69000.0,306000.0,177000.0,33000.0,96000.0,3000.0,3000.0,18000.0
79,69000.0,306000.0,177000.0,33000.0,96000.0,3000.0,3000.0,0.0,315000.0
80,306000.0,177000.0,33000.0,96000.0,3000.0,3000.0,0.0,18000.0,81000.0
81,177000.0,33000.0,96000.0,3000.0,3000.0,0.0,18000.0,36000.0,60000.0
82,33000.0,96000.0,3000.0,3000.0,0.0,18000.0,36000.0,93000.0,138000.0
83,96000.0,3000.0,3000.0,0.0,18000.0,36000.0,93000.0,36000.0,78000.0
84,3000.0,3000.0,0.0,18000.0,36000.0,93000.0,36000.0,48000.0,30000.0
85,3000.0,0.0,18000.0,36000.0,93000.0,36000.0,48000.0,15000.0,36000.0
86,0.0,18000.0,36000.0,93000.0,36000.0,48000.0,15000.0,18000.0,144000.0
87,18000.0,36000.0,93000.0,36000.0,48000.0,15000.0,18000.0,315000.0,84000.0
88,36000.0,93000.0,36000.0,48000.0,15000.0,18000.0,315000.0,81000.0,87000.0
89,93000.0,36000.0,48000.0,15000.0,18000.0,315000.0,81000.0,60000.0,12000.0
90,36000.0,48000.0,15000.0,18000.0,315000.0,81000.0,60000.0,138000.0,126000.0
91,48000.0,15000.0,18000.0,315000.0,81000.0,60000.0,138000.0,78000.0,42000.0
92,15000.0,18000.0,315000.0,81000.0,60000.0,138000.0,78000.0,30000.0,33000.0
93,18000.0,315000.0,81000.0,60000.0,138000.0,78000.0,30000.0,36000.0,99000.0
94,315000.0,81000.0,60000.0,138000.0,78000.0,30000.0,36000.0,144000.0,84000.0
95,81000.0,60000.0,138000.0,78000.0,30000.0,36000.0,144000.0,84000.0,36000.0
96,60000.0,138000.0,78000.0,30000.0,36000.0,144000.0,84000.0,87000.0,9000.0
97,138000.0,78000.0,30000.0,36000.0,144000.0,84000.0,87000.0,12000.0,15000.0
98,78000.0,30000.0,36000.0,144000.0,84000.0,87000.0,12000.0,126000.0,66000.0
99,30000.0,36000.0,144000.0,84000.0,87000.0,12000.0,126000.0,42000.0,33000.0
100,36000.0,144000.0,84000.0,87000.0,12000.0,126000.0,42000.0,33000.0,90000.0
101,144000.0,84000.0,87000.0,12000.0,126000.0,42000.0,33000.0,99000.0,78000.0
102,84000.0,87000.0,12000.0,126000.0,42000.0,33000.0,99000.0,84000.0,48000.0
103,87000.0,12000.0,126000.0,42000.0,33000.0,99000.0,84000.0,36000.0,15000.0
104,12000.0,126000.0,42000.0,33000.0,99000.0,84000.0,36000.0,9000.0,9000.0
105,126000.0,42000.0,33000.0,99000.0,84000.0,36000.0,9000.0,15000.0,24000.0
106,42000.0,33000.0,99000.0,84000.0,36000.0,9000.0,15000.0,66000.0,12000.0
107,33000.0,99000.0,84000.0,36000.0,9000.0,15000.0,66000.0,33000.0,18000.0
108,99000.0,84000.0,36000.0,9000.0,15000.0,66000.0,33000.0,90000.0,3000.0
109,84000.0,36000.0,9000.0,15000.0,66000.0,33000.0,90000.0,78000.0,39000.0
110,36000.0,9000.0,15000.0,66000.0,33000.0,90000.0,78000.0,48000.0,21000.0
111,9000.0,15000.0,66000.0,33000.0,90000.0,78000.0,48000.0,15000.0,3000.0
112,15000.0,66000.0,33000.0,90000.0,78000.0,48000.0,15000.0,9000.0,18000.0
113,66000.0,33000.0,90000.0,78000.0,48000.0,15000.0,9000.0,24000.0,57000.0
114,33000.0,90000.0,78000.0,48000.0,15000.0,9000.0,24000.0,12000.0,12000.0
115,90000.0,78000.0,48000.0,15000.0,9000.0,24000.0,12000.0,18000.0,6000.0
