,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,27000.0,73000.0,120000.0,117000.0,146000.0,102000.0,164000.0,114000.0,72000.0
1,73000.0,120000.0,117000.0,146000.0,102000.0,164000.0,114000.0,54000.0,120000.0
2,120000.0,117000.0,146000.0,102000.0,164000.0,114000.0,54000.0,114000.0,75000.0
3,117000.0,146000.0,102000.0,164000.0,114000.0,54000.0,114000.0,147000.0,99000.0
4,146000.0,102000.0,164000.0,114000.0,54000.0,114000.0,147000.0,135000.0,153000.0
5,102000.0,164000.0,114000.0,54000.0,114000.0,147000.0,135000.0,99000.0,24000.0
6,164000.0,114000.0,54000.0,114000.0,147000.0,135000.0,99000.0,30000.0,81000.0
7,114000.0,54000.0,114000.0,147000.0,135000.0,99000.0,30000.0,75000.0,93000.0
8,54000.0,114000.0,147000.0,135000.0,99000.0,30000.0,75000.0,72000.0,138000.0
9,114000.0,147000.0,135000.0,99000.0,30000.0,75000.0,72000.0,120000.0,48000.0
10,147000.0,135000.0,99000.0,30000.0,75000.0,72000.0,120000.0,75000.0,75000.0
11,135000.0,99000.0,30000.0,75000.0,72000.0,120000.0,75000.0,99000.0,99000.0
12,99000.0,30000.0,75000.0,72000.0,120000.0,75000.0,99000.0,153000.0,51000.0
13,30000.0,75000.0,72000.0,120000.0,75000.0,99000.0,153000.0,24000.0,15000.0
14,75000.0,72000.0,120000.0,75000.0,99000.0,153000.0,24000.0,81000.0,108000.0
15,72000.0,120000.0,75000.0,99000.0,153000.0,24000.0,81000.0,93000.0,51000.0
16,120000.0,75000.0,99000.0,153000.0,24000.0,81000.0,93000.0,138000.0,33000.0
17,75000.0,99000.0,153000.0,24000.0,81000.0,93000.0,138000.0,48000.0,63000.0
18,99000.0,153000.0,24000.0,81000.0,93000.0,138000.0,48000.0,75000.0,84000.0
19,153000.0,24000.0,81000.0,93000.0,138000.0,48000.0,75000.0,99000.0,78000.0
20,24000.0,81000.0,93000.0,138000.0,48000.0,75000.0,99000.0,51000.0,123000.0
21,81000.0,93000.0,138000.0,48000.0,75000.0,99000.0,51000.0,15000.0,96000.0
22,93000.0,138000.0,48000.0,75000.0,99000.0,51000.0,15000.0,108000.0,81000.0
23,138000.0,48000.0,75000.0,99000.0,51000.0,15000.0,108000.0,51000.0,24000.0
24,48000.0,75000.0,99000.0,51000.0,15000.0,108000.0,51000.0,33000.0,9000.0
25,75000.0,99000.0,51000.0,15000.0,108000.0,51000.0,33000.0,63000.0,90000.0
26,99000.0,51000.0,15000.0,108000.0,51000.0,33000.0,63000.0,84000.0,42000.0
