,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,393000.0,420000.0,507000.0,246000.0,369000.0,393000.0,366000.0,459000.0,207000.0
1,420000.0,507000.0,246000.0,369000.0,393000.0,366000.0,459000.0,291000.0,246000.0
2,507000.0,246000.0,369000.0,393000.0,366000.0,459000.0,291000.0,492000.0,240000.0
3,246000.0,369000.0,393000.0,366000.0,459000.0,291000.0,492000.0,561000.0,390000.0
4,369000.0,393000.0,366000.0,459000.0,291000.0,492000.0,561000.0,423000.0,390000.0
5,393000.0,366000.0,459000.0,291000.0,492000.0,561000.0,423000.0,225000.0,381000.0
6,366000.0,459000.0,291000.0,492000.0,561000.0,423000.0,225000.0,36000.0,285000.0
7,459000.0,291000.0,492000.0,561000.0,423000.0,225000.0,36000.0,549000.0,450000.0
8,291000.0,492000.0,561000.0,423000.0,225000.0,36000.0,549000.0,207000.0,432000.0
9,492000.0,561000.0,423000.0,225000.0,36000.0,549000.0,207000.0,246000.0,270000.0
10,561000.0,423000.0,225000.0,36000.0,549000.0,207000.0,246000.0,240000.0,210000.0
11,423000.0,225000.0,36000.0,549000.0,207000.0,246000.0,240000.0,390000.0,126000.0
12,225000.0,36000.0,549000.0,207000.0,246000.0,240000.0,390000.0,390000.0,420000.0
13,36000.0,549000.0,207000.0,246000.0,240000.0,390000.0,390000.0,381000.0,174000.0
14,549000.0,207000.0,246000.0,240000.0,390000.0,390000.0,381000.0,285000.0,387000.0
15,207000.0,246000.0,240000.0,390000.0,390000.0,381000.0,285000.0,450000.0,63000.0
16,246000.0,240000.0,390000.0,390000.0,381000.0,285000.0,450000.0,432000.0,192000.0
17,240000.0,390000.0,390000.0,381000.0,285000.0,450000.0,432000.0,270000.0,0.0
18,390000.0,390000.0,381000.0,285000.0,450000.0,432000.0,270000.0,210000.0,90000.0
19,390000.0,381000.0,285000.0,450000.0,432000.0,270000.0,210000.0,126000.0,180000.0
20,381000.0,285000.0,450000.0,432000.0,270000.0,210000.0,126000.0,420000.0,216000.0
21,285000.0,450000.0,432000.0,270000.0,210000.0,126000.0,420000.0,174000.0,75000.0
22,450000.0,432000.0,270000.0,210000.0,126000.0,420000.0,174000.0,387000.0,198000.0
23,432000.0,270000.0,210000.0,126000.0,420000.0,174000.0,387000.0,63000.0,159000.0
24,270000.0,210000.0,126000.0,420000.0,174000.0,387000.0,63000.0,192000.0,210000.0
25,210000.0,126000.0,420000.0,174000.0,387000.0,63000.0,192000.0,0.0,324000.0
26,126000.0,420000.0,174000.0,387000.0,63000.0,192000.0,0.0,90000.0,249000.0
27,420000.0,174000.0,387000.0,63000.0,192000.0,0.0,90000.0,180000.0,138000.0
28,174000.0,387000.0,63000.0,192000.0,0.0,90000.0,180000.0,216000.0,192000.0
29,387000.0,63000.0,192000.0,0.0,90000.0,180000.0,216000.0,75000.0,216000.0
30,63000.0,192000.0,0.0,90000.0,180000.0,216000.0,75000.0,198000.0,33000.0
31,192000.0,0.0,90000.0,180000.0,216000.0,75000.0,198000.0,159000.0,147000.0
32,0.0,90000.0,180000.0,216000.0,75000.0,198000.0,159000.0,210000.0,126000.0
33,90000.0,180000.0,216000.0,75000.0,198000.0,159000.0,210000.0,324000.0,147000.0
34,180000.0,216000.0,75000.0,198000.0,159000.0,210000.0,324000.0,249000.0,0.0
35,216000.0,75000.0,198000.0,159000.0,210000.0,324000.0,249000.0,138000.0,105000.0
36,75000.0,198000.0,159000.0,210000.0,324000.0,249000.0,138000.0,192000.0,108000.0
