,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,13000.0,32000.0,18000.0,35000.0,26000.0,21000.0,18000.0,6000.0
1,13000.0,32000.0,18000.0,35000.0,26000.0,21000.0,18000.0,22000.0,9000.0
2,32000.0,18000.0,35000.0,26000.0,21000.0,18000.0,22000.0,24000.0,18000.0
3,18000.0,35000.0,26000.0,21000.0,18000.0,22000.0,24000.0,24000.0,3000.0
4,35000.0,26000.0,21000.0,18000.0,22000.0,24000.0,24000.0,26000.0,20000.0
5,26000.0,21000.0,18000.0,22000.0,24000.0,24000.0,26000.0,6000.0,6000.0
6,21000.0,18000.0,22000.0,24000.0,24000.0,26000.0,6000.0,12000.0,18000.0
7,18000.0,22000.0,24000.0,24000.0,26000.0,6000.0,12000.0,21000.0,6000.0
8,22000.0,24000.0,24000.0,26000.0,6000.0,12000.0,21000.0,6000.0,15000.0
9,24000.0,24000.0,26000.0,6000.0,12000.0,21000.0,6000.0,9000.0,3000.0
10,24000.0,26000.0,6000.0,12000.0,21000.0,6000.0,9000.0,18000.0,24000.0
11,26000.0,6000.0,12000.0,21000.0,6000.0,9000.0,18000.0,3000.0,3000.0
12,6000.0,12000.0,21000.0,6000.0,9000.0,18000.0,3000.0,20000.0,12000.0
13,12000.0,21000.0,6000.0,9000.0,18000.0,3000.0,20000.0,6000.0,6000.0
14,21000.0,6000.0,9000.0,18000.0,3000.0,20000.0,6000.0,18000.0,18000.0
15,6000.0,9000.0,18000.0,3000.0,20000.0,6000.0,18000.0,6000.0,9000.0
16,9000.0,18000.0,3000.0,20000.0,6000.0,18000.0,6000.0,15000.0,3000.0
17,18000.0,3000.0,20000.0,6000.0,18000.0,6000.0,15000.0,3000.0,0.0
18,3000.0,20000.0,6000.0,18000.0,6000.0,15000.0,3000.0,24000.0,9000.0
19,20000.0,6000.0,18000.0,6000.0,15000.0,3000.0,24000.0,3000.0,21000.0
20,6000.0,18000.0,6000.0,15000.0,3000.0,24000.0,3000.0,12000.0,12000.0
21,18000.0,6000.0,15000.0,3000.0,24000.0,3000.0,12000.0,6000.0,12000.0
22,6000.0,15000.0,3000.0,24000.0,3000.0,12000.0,6000.0,18000.0,6000.0
23,15000.0,3000.0,24000.0,3000.0,12000.0,6000.0,18000.0,9000.0,12000.0
24,3000.0,24000.0,3000.0,12000.0,6000.0,18000.0,9000.0,3000.0,6000.0
25,24000.0,3000.0,12000.0,6000.0,18000.0,9000.0,3000.0,0.0,0.0
26,3000.0,12000.0,6000.0,18000.0,9000.0,3000.0,0.0,9000.0,0.0
27,12000.0,6000.0,18000.0,9000.0,3000.0,0.0,9000.0,21000.0,3000.0
28,6000.0,18000.0,9000.0,3000.0,0.0,9000.0,21000.0,12000.0,0.0
29,18000.0,9000.0,3000.0,0.0,9000.0,21000.0,12000.0,12000.0,10000.0
30,9000.0,3000.0,0.0,9000.0,21000.0,12000.0,12000.0,6000.0,15000.0
31,3000.0,0.0,9000.0,21000.0,12000.0,12000.0,6000.0,12000.0,0.0
32,0.0,9000.0,21000.0,12000.0,12000.0,6000.0,12000.0,6000.0,12000.0
33,9000.0,21000.0,12000.0,12000.0,6000.0,12000.0,6000.0,0.0,3000.0
34,21000.0,12000.0,12000.0,6000.0,12000.0,6000.0,0.0,0.0,6000.0
35,12000.0,12000.0,6000.0,12000.0,6000.0,0.0,0.0,3000.0,6000.0
36,12000.0,6000.0,12000.0,6000.0,0.0,0.0,3000.0,0.0,12000.0
37,6000.0,12000.0,6000.0,0.0,0.0,3000.0,0.0,10000.0,0.0
38,12000.0,6000.0,0.0,0.0,3000.0,0.0,10000.0,15000.0,3000.0
39,6000.0,0.0,0.0,3000.0,0.0,10000.0,15000.0,0.0,6000.0
40,0.0,0.0,3000.0,0.0,10000.0,15000.0,0.0,12000.0,9000.0
41,0.0,3000.0,0.0,10000.0,15000.0,0.0,12000.0,3000.0,9000.0
42,3000.0,0.0,10000.0,15000.0,0.0,12000.0,3000.0,6000.0,21000.0
43,0.0,10000.0,15000.0,0.0,12000.0,3000.0,6000.0,6000.0,9000.0
44,10000.0,15000.0,0.0,12000.0,3000.0,6000.0,6000.0,12000.0,9000.0
45,15000.0,0.0,12000.0,3000.0,6000.0,6000.0,12000.0,0.0,12000.0
46,0.0,12000.0,3000.0,6000.0,6000.0,12000.0,0.0,3000.0,15000.0
47,12000.0,3000.0,6000.0,6000.0,12000.0,0.0,3000.0,6000.0,0.0
48,3000.0,6000.0,6000.0,12000.0,0.0,3000.0,6000.0,9000.0,0.0
49,6000.0,6000.0,12000.0,0.0,3000.0,6000.0,9000.0,9000.0,0.0
50,6000.0,12000.0,0.0,3000.0,6000.0,9000.0,9000.0,21000.0,0.0
51,12000.0,0.0,3000.0,6000.0,9000.0,9000.0,21000.0,9000.0,0.0
52,0.0,3000.0,6000.0,9000.0,9000.0,21000.0,9000.0,9000.0,9000.0
53,3000.0,6000.0,9000.0,9000.0,21000.0,9000.0,9000.0,12000.0,9000.0
54,6000.0,9000.0,9000.0,21000.0,9000.0,9000.0,12000.0,15000.0,0.0
55,9000.0,9000.0,21000.0,9000.0,9000.0,12000.0,15000.0,0.0,15000.0
56,9000.0,21000.0,9000.0,9000.0,12000.0,15000.0,0.0,0.0,3000.0
57,21000.0,9000.0,9000.0,12000.0,15000.0,0.0,0.0,0.0,12000.0
58,9000.0,9000.0,12000.0,15000.0,0.0,0.0,0.0,0.0,6000.0
59,9000.0,12000.0,15000.0,0.0,0.0,0.0,0.0,0.0,24000.0
60,12000.0,15000.0,0.0,0.0,0.0,0.0,0.0,9000.0,3000.0
61,15000.0,0.0,0.0,0.0,0.0,0.0,9000.0,9000.0,6000.0
62,0.0,0.0,0.0,0.0,0.0,9000.0,9000.0,0.0,3000.0
63,0.0,0.0,0.0,0.0,9000.0,9000.0,0.0,15000.0,3000.0
64,0.0,0.0,0.0,9000.0,9000.0,0.0,15000.0,3000.0,0.0
65,0.0,0.0,9000.0,9000.0,0.0,15000.0,3000.0,12000.0,9000.0
66,0.0,9000.0,9000.0,0.0,15000.0,3000.0,12000.0,6000.0,18000.0
67,9000.0,9000.0,0.0,15000.0,3000.0,12000.0,6000.0,24000.0,0.0
68,9000.0,0.0,15000.0,3000.0,12000.0,6000.0,24000.0,3000.0,0.0
69,0.0,15000.0,3000.0,12000.0,6000.0,24000.0,3000.0,6000.0,0.0
70,15000.0,3000.0,12000.0,6000.0,24000.0,3000.0,6000.0,3000.0,0.0
71,3000.0,12000.0,6000.0,24000.0,3000.0,6000.0,3000.0,3000.0,0.0
72,12000.0,6000.0,24000.0,3000.0,6000.0,3000.0,3000.0,0.0,0.0
73,6000.0,24000.0,3000.0,6000.0,3000.0,3000.0,0.0,9000.0,0.0
74,24000.0,3000.0,6000.0,3000.0,3000.0,0.0,9000.0,18000.0,0.0
75,3000.0,6000.0,3000.0,3000.0,0.0,9000.0,18000.0,0.0,0.0
76,6000.0,3000.0,3000.0,0.0,9000.0,18000.0,0.0,0.0,0.0
77,3000.0,3000.0,0.0,9000.0,18000.0,0.0,0.0,0.0,0.0
78,3000.0,0.0,9000.0,18000.0,0.0,0.0,0.0,0.0,3000.0
79,0.0,9000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0
80,9000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
81,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0
