,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,60000.0,87000.0,24000.0,69000.0,111000.0,102000.0,36000.0,81000.0,18000.0
1,87000.0,24000.0,69000.0,111000.0,102000.0,36000.0,81000.0,108000.0,129000.0
2,24000.0,69000.0,111000.0,102000.0,36000.0,81000.0,108000.0,39000.0,57000.0
3,69000.0,111000.0,102000.0,36000.0,81000.0,108000.0,39000.0,27000.0,120000.0
4,111000.0,102000.0,36000.0,81000.0,108000.0,39000.0,27000.0,42000.0,375000.0
5,102000.0,36000.0,81000.0,108000.0,39000.0,27000.0,42000.0,60000.0,600000.0
6,36000.0,81000.0,108000.0,39000.0,27000.0,42000.0,60000.0,423000.0,702000.0
7,81000.0,108000.0,39000.0,27000.0,42000.0,60000.0,423000.0,879000.0,987000.0
8,108000.0,39000.0,27000.0,42000.0,60000.0,423000.0,879000.0,18000.0,1149000.0
9,39000.0,27000.0,42000.0,60000.0,423000.0,879000.0,18000.0,129000.0,858000.0
10,27000.0,42000.0,60000.0,423000.0,879000.0,18000.0,129000.0,57000.0,792000.0
11,42000.0,60000.0,423000.0,879000.0,18000.0,129000.0,57000.0,120000.0,327000.0
12,60000.0,423000.0,879000.0,18000.0,129000.0,57000.0,120000.0,375000.0,1140000.0
13,423000.0,879000.0,18000.0,129000.0,57000.0,120000.0,375000.0,600000.0,462000.0
14,879000.0,18000.0,129000.0,57000.0,120000.0,375000.0,600000.0,702000.0,810000.0
15,18000.0,129000.0,57000.0,120000.0,375000.0,600000.0,702000.0,987000.0,927000.0
16,129000.0,57000.0,120000.0,375000.0,600000.0,702000.0,987000.0,1149000.0,831000.0
17,57000.0,120000.0,375000.0,600000.0,702000.0,987000.0,1149000.0,858000.0,42000.0
18,120000.0,375000.0,600000.0,702000.0,987000.0,1149000.0,858000.0,792000.0,192000.0
19,375000.0,600000.0,702000.0,987000.0,1149000.0,858000.0,792000.0,327000.0,591000.0
20,600000.0,702000.0,987000.0,1149000.0,858000.0,792000.0,327000.0,1140000.0,750000.0
21,702000.0,987000.0,1149000.0,858000.0,792000.0,327000.0,1140000.0,462000.0,300000.0
22,987000.0,1149000.0,858000.0,792000.0,327000.0,1140000.0,462000.0,810000.0,306000.0
23,1149000.0,858000.0,792000.0,327000.0,1140000.0,462000.0,810000.0,927000.0,399000.0
24,858000.0,792000.0,327000.0,1140000.0,462000.0,810000.0,927000.0,831000.0,576000.0
25,792000.0,327000.0,1140000.0,462000.0,810000.0,927000.0,831000.0,42000.0,960000.0
26,327000.0,1140000.0,462000.0,810000.0,927000.0,831000.0,42000.0,192000.0,1197000.0
27,1140000.0,462000.0,810000.0,927000.0,831000.0,42000.0,192000.0,591000.0,513000.0
28,462000.0,810000.0,927000.0,831000.0,42000.0,192000.0,591000.0,750000.0,855000.0
29,810000.0,927000.0,831000.0,42000.0,192000.0,591000.0,750000.0,300000.0,969000.0
30,927000.0,831000.0,42000.0,192000.0,591000.0,750000.0,300000.0,306000.0,777000.0
31,831000.0,42000.0,192000.0,591000.0,750000.0,300000.0,306000.0,399000.0,645000.0
32,42000.0,192000.0,591000.0,750000.0,300000.0,306000.0,399000.0,576000.0,750000.0
33,192000.0,591000.0,750000.0,300000.0,306000.0,399000.0,576000.0,960000.0,471000.0
34,591000.0,750000.0,300000.0,306000.0,399000.0,576000.0,960000.0,1197000.0,12000.0
35,750000.0,300000.0,306000.0,399000.0,576000.0,960000.0,1197000.0,513000.0,696000.0
36,300000.0,306000.0,399000.0,576000.0,960000.0,1197000.0,513000.0,855000.0,684000.0
37,306000.0,399000.0,576000.0,960000.0,1197000.0,513000.0,855000.0,969000.0,117000.0
38,399000.0,576000.0,960000.0,1197000.0,513000.0,855000.0,969000.0,777000.0,222000.0
39,576000.0,960000.0,1197000.0,513000.0,855000.0,969000.0,777000.0,645000.0,528000.0
40,960000.0,1197000.0,513000.0,855000.0,969000.0,777000.0,645000.0,750000.0,591000.0
41,1197000.0,513000.0,855000.0,969000.0,777000.0,645000.0,750000.0,471000.0,822000.0
