,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0
2,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0
3,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,6000.0
4,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,9000.0
7,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0
8,3000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,6000.0
9,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,15000.0
10,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,3000.0
11,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,6000.0,0.0
12,0.0,0.0,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0
13,0.0,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0
14,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0,9000.0,3000.0
15,0.0,0.0,0.0,6000.0,0.0,0.0,9000.0,0.0,6000.0
16,0.0,0.0,6000.0,0.0,0.0,9000.0,0.0,6000.0,0.0
17,0.0,6000.0,0.0,0.0,9000.0,0.0,6000.0,15000.0,0.0
18,6000.0,0.0,0.0,9000.0,0.0,6000.0,15000.0,3000.0,3000.0
19,0.0,0.0,9000.0,0.0,6000.0,15000.0,3000.0,0.0,3000.0
20,0.0,9000.0,0.0,6000.0,15000.0,3000.0,0.0,0.0,3000.0
21,9000.0,0.0,6000.0,15000.0,3000.0,0.0,0.0,0.0,6000.0
22,0.0,6000.0,15000.0,3000.0,0.0,0.0,0.0,3000.0,36000.0
23,6000.0,15000.0,3000.0,0.0,0.0,0.0,3000.0,6000.0,0.0
24,15000.0,3000.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0
25,3000.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,12000.0
26,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,3000.0,24000.0
27,0.0,0.0,3000.0,6000.0,0.0,0.0,3000.0,3000.0,0.0
28,0.0,3000.0,6000.0,0.0,0.0,3000.0,3000.0,3000.0,12000.0
29,3000.0,6000.0,0.0,0.0,3000.0,3000.0,3000.0,6000.0,12000.0
30,6000.0,0.0,0.0,3000.0,3000.0,3000.0,6000.0,36000.0,9000.0
31,0.0,0.0,3000.0,3000.0,3000.0,6000.0,36000.0,0.0,24000.0
32,0.0,3000.0,3000.0,3000.0,6000.0,36000.0,0.0,0.0,3000.0
33,3000.0,3000.0,3000.0,6000.0,36000.0,0.0,0.0,12000.0,6000.0
34,3000.0,3000.0,6000.0,36000.0,0.0,0.0,12000.0,24000.0,30000.0
35,3000.0,6000.0,36000.0,0.0,0.0,12000.0,24000.0,0.0,21000.0
36,6000.0,36000.0,0.0,0.0,12000.0,24000.0,0.0,12000.0,6000.0
37,36000.0,0.0,0.0,12000.0,24000.0,0.0,12000.0,12000.0,27000.0
38,0.0,0.0,12000.0,24000.0,0.0,12000.0,12000.0,9000.0,39000.0
39,0.0,12000.0,24000.0,0.0,12000.0,12000.0,9000.0,24000.0,0.0
40,12000.0,24000.0,0.0,12000.0,12000.0,9000.0,24000.0,3000.0,0.0
41,24000.0,0.0,12000.0,12000.0,9000.0,24000.0,3000.0,6000.0,0.0
42,0.0,12000.0,12000.0,9000.0,24000.0,3000.0,6000.0,30000.0,24000.0
43,12000.0,12000.0,9000.0,24000.0,3000.0,6000.0,30000.0,21000.0,15000.0
44,12000.0,9000.0,24000.0,3000.0,6000.0,30000.0,21000.0,6000.0,3000.0
45,9000.0,24000.0,3000.0,6000.0,30000.0,21000.0,6000.0,27000.0,23000.0
46,24000.0,3000.0,6000.0,30000.0,21000.0,6000.0,27000.0,39000.0,32000.0
