,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,155000.0,110000.0,235000.0,75000.0,80000.0,165000.0,200000.0,175000.0,175000.0
1,110000.0,235000.0,75000.0,80000.0,165000.0,200000.0,175000.0,315000.0,80000.0
2,235000.0,75000.0,80000.0,165000.0,200000.0,175000.0,315000.0,305000.0,130000.0
3,75000.0,80000.0,165000.0,200000.0,175000.0,315000.0,305000.0,115000.0,205000.0
4,80000.0,165000.0,200000.0,175000.0,315000.0,305000.0,115000.0,175000.0,215000.0
5,165000.0,200000.0,175000.0,315000.0,305000.0,115000.0,175000.0,200000.0,190000.0
6,200000.0,175000.0,315000.0,305000.0,115000.0,175000.0,200000.0,50000.0,205000.0
7,175000.0,315000.0,305000.0,115000.0,175000.0,200000.0,50000.0,230000.0,265000.0
8,315000.0,305000.0,115000.0,175000.0,200000.0,50000.0,230000.0,175000.0,180000.0
9,305000.0,115000.0,175000.0,200000.0,50000.0,230000.0,175000.0,80000.0,130000.0
10,115000.0,175000.0,200000.0,50000.0,230000.0,175000.0,80000.0,130000.0,250000.0
11,175000.0,200000.0,50000.0,230000.0,175000.0,80000.0,130000.0,205000.0,130000.0
12,200000.0,50000.0,230000.0,175000.0,80000.0,130000.0,205000.0,215000.0,205000.0
13,50000.0,230000.0,175000.0,80000.0,130000.0,205000.0,215000.0,190000.0,120000.0
14,230000.0,175000.0,80000.0,130000.0,205000.0,215000.0,190000.0,205000.0,315000.0
15,175000.0,80000.0,130000.0,205000.0,215000.0,190000.0,205000.0,265000.0,240000.0
16,80000.0,130000.0,205000.0,215000.0,190000.0,205000.0,265000.0,180000.0,135000.0
17,130000.0,205000.0,215000.0,190000.0,205000.0,265000.0,180000.0,130000.0,95000.0
18,205000.0,215000.0,190000.0,205000.0,265000.0,180000.0,130000.0,250000.0,175000.0
19,215000.0,190000.0,205000.0,265000.0,180000.0,130000.0,250000.0,130000.0,250000.0
20,190000.0,205000.0,265000.0,180000.0,130000.0,250000.0,130000.0,205000.0,210000.0
21,205000.0,265000.0,180000.0,130000.0,250000.0,130000.0,205000.0,120000.0,230000.0
22,265000.0,180000.0,130000.0,250000.0,130000.0,205000.0,120000.0,315000.0,220000.0
23,180000.0,130000.0,250000.0,130000.0,205000.0,120000.0,315000.0,240000.0,145000.0
24,130000.0,250000.0,130000.0,205000.0,120000.0,315000.0,240000.0,135000.0,95000.0
25,250000.0,130000.0,205000.0,120000.0,315000.0,240000.0,135000.0,95000.0,330000.0
26,130000.0,205000.0,120000.0,315000.0,240000.0,135000.0,95000.0,175000.0,215000.0
27,205000.0,120000.0,315000.0,240000.0,135000.0,95000.0,175000.0,250000.0,315000.0
28,120000.0,315000.0,240000.0,135000.0,95000.0,175000.0,250000.0,210000.0,265000.0
29,315000.0,240000.0,135000.0,95000.0,175000.0,250000.0,210000.0,230000.0,460000.0
30,240000.0,135000.0,95000.0,175000.0,250000.0,210000.0,230000.0,220000.0,410000.0
31,135000.0,95000.0,175000.0,250000.0,210000.0,230000.0,220000.0,145000.0,265000.0
32,95000.0,175000.0,250000.0,210000.0,230000.0,220000.0,145000.0,95000.0,490000.0
33,175000.0,250000.0,210000.0,230000.0,220000.0,145000.0,95000.0,330000.0,490000.0
34,250000.0,210000.0,230000.0,220000.0,145000.0,95000.0,330000.0,215000.0,360000.0
35,210000.0,230000.0,220000.0,145000.0,95000.0,330000.0,215000.0,315000.0,290000.0
36,230000.0,220000.0,145000.0,95000.0,330000.0,215000.0,315000.0,265000.0,685000.0
37,220000.0,145000.0,95000.0,330000.0,215000.0,315000.0,265000.0,460000.0,205000.0
38,145000.0,95000.0,330000.0,215000.0,315000.0,265000.0,460000.0,410000.0,540000.0
39,95000.0,330000.0,215000.0,315000.0,265000.0,460000.0,410000.0,265000.0,240000.0
40,330000.0,215000.0,315000.0,265000.0,460000.0,410000.0,265000.0,490000.0,425000.0
41,215000.0,315000.0,265000.0,460000.0,410000.0,265000.0,490000.0,490000.0,645000.0
42,315000.0,265000.0,460000.0,410000.0,265000.0,490000.0,490000.0,360000.0,380000.0
43,265000.0,460000.0,410000.0,265000.0,490000.0,490000.0,360000.0,290000.0,430000.0
44,460000.0,410000.0,265000.0,490000.0,490000.0,360000.0,290000.0,685000.0,490000.0
45,410000.0,265000.0,490000.0,490000.0,360000.0,290000.0,685000.0,205000.0,560000.0
46,265000.0,490000.0,490000.0,360000.0,290000.0,685000.0,205000.0,540000.0,520000.0
47,490000.0,490000.0,360000.0,290000.0,685000.0,205000.0,540000.0,240000.0,540000.0
48,490000.0,360000.0,290000.0,685000.0,205000.0,540000.0,240000.0,425000.0,320000.0
49,360000.0,290000.0,685000.0,205000.0,540000.0,240000.0,425000.0,645000.0,705000.0
50,290000.0,685000.0,205000.0,540000.0,240000.0,425000.0,645000.0,380000.0,385000.0
51,685000.0,205000.0,540000.0,240000.0,425000.0,645000.0,380000.0,430000.0,305000.0
52,205000.0,540000.0,240000.0,425000.0,645000.0,380000.0,430000.0,490000.0,305000.0
53,540000.0,240000.0,425000.0,645000.0,380000.0,430000.0,490000.0,560000.0,410000.0
54,240000.0,425000.0,645000.0,380000.0,430000.0,490000.0,560000.0,520000.0,290000.0
55,425000.0,645000.0,380000.0,430000.0,490000.0,560000.0,520000.0,540000.0,565000.0
56,645000.0,380000.0,430000.0,490000.0,560000.0,520000.0,540000.0,320000.0,610000.0
57,380000.0,430000.0,490000.0,560000.0,520000.0,540000.0,320000.0,705000.0,365000.0
58,430000.0,490000.0,560000.0,520000.0,540000.0,320000.0,705000.0,385000.0,435000.0
59,490000.0,560000.0,520000.0,540000.0,320000.0,705000.0,385000.0,305000.0,390000.0
