,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,21000.0,0.0,21000.0,39000.0,45000.0,0.0,0.0,0.0,30000.0
1,0.0,21000.0,39000.0,45000.0,0.0,0.0,0.0,0.0,21000.0
2,21000.0,39000.0,45000.0,0.0,0.0,0.0,0.0,0.0,15000.0
3,39000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,30000.0,24000.0
9,0.0,0.0,0.0,60000.0,0.0,0.0,30000.0,21000.0,9000.0
10,0.0,0.0,60000.0,0.0,0.0,30000.0,21000.0,15000.0,0.0
11,0.0,60000.0,0.0,0.0,30000.0,21000.0,15000.0,0.0,0.0
12,60000.0,0.0,0.0,30000.0,21000.0,15000.0,0.0,27000.0,0.0
13,0.0,0.0,30000.0,21000.0,15000.0,0.0,27000.0,0.0,0.0
14,0.0,30000.0,21000.0,15000.0,0.0,27000.0,0.0,0.0,0.0
15,30000.0,21000.0,15000.0,0.0,27000.0,0.0,0.0,0.0,30000.0
16,21000.0,15000.0,0.0,27000.0,0.0,0.0,0.0,24000.0,0.0
17,15000.0,0.0,27000.0,0.0,0.0,0.0,24000.0,9000.0,0.0
18,0.0,27000.0,0.0,0.0,0.0,24000.0,9000.0,0.0,51000.0
19,27000.0,0.0,0.0,0.0,24000.0,9000.0,0.0,0.0,0.0
20,0.0,0.0,0.0,24000.0,9000.0,0.0,0.0,0.0,0.0
21,0.0,0.0,24000.0,9000.0,0.0,0.0,0.0,0.0,6000.0
22,0.0,24000.0,9000.0,0.0,0.0,0.0,0.0,0.0,30000.0
23,24000.0,9000.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0
24,9000.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,30000.0
25,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,48000.0
26,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,51000.0,0.0
27,0.0,0.0,0.0,30000.0,0.0,0.0,51000.0,0.0,0.0
28,0.0,0.0,30000.0,0.0,0.0,51000.0,0.0,0.0,27000.0
29,0.0,30000.0,0.0,0.0,51000.0,0.0,0.0,6000.0,15000.0
30,30000.0,0.0,0.0,51000.0,0.0,0.0,6000.0,30000.0,60000.0
31,0.0,0.0,51000.0,0.0,0.0,6000.0,30000.0,30000.0,46000.0
32,0.0,51000.0,0.0,0.0,6000.0,30000.0,30000.0,30000.0,0.0
