,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,9000.0,27000.0,0.0,6000.0,33000.0,33000.0,12000.0,9000.0
1,9000.0,27000.0,0.0,6000.0,33000.0,33000.0,12000.0,30000.0,15000.0
2,27000.0,0.0,6000.0,33000.0,33000.0,12000.0,30000.0,42000.0,24000.0
3,0.0,6000.0,33000.0,33000.0,12000.0,30000.0,42000.0,41000.0,24000.0
4,6000.0,33000.0,33000.0,12000.0,30000.0,42000.0,41000.0,21000.0,30000.0
5,33000.0,33000.0,12000.0,30000.0,42000.0,41000.0,21000.0,6000.0,6000.0
6,33000.0,12000.0,30000.0,42000.0,41000.0,21000.0,6000.0,9000.0,15000.0
7,12000.0,30000.0,42000.0,41000.0,21000.0,6000.0,9000.0,27000.0,39000.0
8,30000.0,42000.0,41000.0,21000.0,6000.0,9000.0,27000.0,9000.0,27000.0
9,42000.0,41000.0,21000.0,6000.0,9000.0,27000.0,9000.0,15000.0,42000.0
10,41000.0,21000.0,6000.0,9000.0,27000.0,9000.0,15000.0,24000.0,33000.0
11,21000.0,6000.0,9000.0,27000.0,9000.0,15000.0,24000.0,24000.0,0.0
12,6000.0,9000.0,27000.0,9000.0,15000.0,24000.0,24000.0,30000.0,21000.0
13,9000.0,27000.0,9000.0,15000.0,24000.0,24000.0,30000.0,6000.0,6000.0
14,27000.0,9000.0,15000.0,24000.0,24000.0,30000.0,6000.0,15000.0,9000.0
15,9000.0,15000.0,24000.0,24000.0,30000.0,6000.0,15000.0,39000.0,12000.0
16,15000.0,24000.0,24000.0,30000.0,6000.0,15000.0,39000.0,27000.0,15000.0
17,24000.0,24000.0,30000.0,6000.0,15000.0,39000.0,27000.0,42000.0,0.0
18,24000.0,30000.0,6000.0,15000.0,39000.0,27000.0,42000.0,33000.0,27000.0
19,30000.0,6000.0,15000.0,39000.0,27000.0,42000.0,33000.0,0.0,15000.0
20,6000.0,15000.0,39000.0,27000.0,42000.0,33000.0,0.0,21000.0,27000.0
21,15000.0,39000.0,27000.0,42000.0,33000.0,0.0,21000.0,6000.0,27000.0
22,39000.0,27000.0,42000.0,33000.0,0.0,21000.0,6000.0,9000.0,12000.0
