,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,84000.0,0.0,12000.0,27000.0,189000.0,0.0,3000.0,45000.0,18000.0
1,0.0,12000.0,27000.0,189000.0,0.0,3000.0,45000.0,0.0,54000.0
2,12000.0,27000.0,189000.0,0.0,3000.0,45000.0,0.0,87000.0,9000.0
3,27000.0,189000.0,0.0,3000.0,45000.0,0.0,87000.0,66000.0,30000.0
4,189000.0,0.0,3000.0,45000.0,0.0,87000.0,66000.0,69000.0,81000.0
5,0.0,3000.0,45000.0,0.0,87000.0,66000.0,69000.0,51000.0,6000.0
6,3000.0,45000.0,0.0,87000.0,66000.0,69000.0,51000.0,18000.0,75000.0
7,45000.0,0.0,87000.0,66000.0,69000.0,51000.0,18000.0,111000.0,131000.0
8,0.0,87000.0,66000.0,69000.0,51000.0,18000.0,111000.0,18000.0,0.0
9,87000.0,66000.0,69000.0,51000.0,18000.0,111000.0,18000.0,54000.0,0.0
10,66000.0,69000.0,51000.0,18000.0,111000.0,18000.0,54000.0,9000.0,0.0
11,69000.0,51000.0,18000.0,111000.0,18000.0,54000.0,9000.0,30000.0,0.0
12,51000.0,18000.0,111000.0,18000.0,54000.0,9000.0,30000.0,81000.0,108000.0
13,18000.0,111000.0,18000.0,54000.0,9000.0,30000.0,81000.0,6000.0,0.0
14,111000.0,18000.0,54000.0,9000.0,30000.0,81000.0,6000.0,75000.0,42000.0
15,18000.0,54000.0,9000.0,30000.0,81000.0,6000.0,75000.0,131000.0,90000.0
16,54000.0,9000.0,30000.0,81000.0,6000.0,75000.0,131000.0,0.0,0.0
17,9000.0,30000.0,81000.0,6000.0,75000.0,131000.0,0.0,0.0,0.0
18,30000.0,81000.0,6000.0,75000.0,131000.0,0.0,0.0,0.0,48000.0
19,81000.0,6000.0,75000.0,131000.0,0.0,0.0,0.0,0.0,66000.0
20,6000.0,75000.0,131000.0,0.0,0.0,0.0,0.0,108000.0,84000.0
21,75000.0,131000.0,0.0,0.0,0.0,0.0,108000.0,0.0,45000.0
22,131000.0,0.0,0.0,0.0,0.0,108000.0,0.0,42000.0,0.0
23,0.0,0.0,0.0,0.0,108000.0,0.0,42000.0,90000.0,0.0
24,0.0,0.0,0.0,108000.0,0.0,42000.0,90000.0,0.0,75000.0
25,0.0,0.0,108000.0,0.0,42000.0,90000.0,0.0,0.0,54000.0
26,0.0,108000.0,0.0,42000.0,90000.0,0.0,0.0,48000.0,54000.0
27,108000.0,0.0,42000.0,90000.0,0.0,0.0,48000.0,66000.0,51000.0
28,0.0,42000.0,90000.0,0.0,0.0,48000.0,66000.0,84000.0,0.0
29,42000.0,90000.0,0.0,0.0,48000.0,66000.0,84000.0,45000.0,33000.0
30,90000.0,0.0,0.0,48000.0,66000.0,84000.0,45000.0,0.0,99000.0
31,0.0,0.0,48000.0,66000.0,84000.0,45000.0,0.0,0.0,0.0
32,0.0,48000.0,66000.0,84000.0,45000.0,0.0,0.0,75000.0,0.0
33,48000.0,66000.0,84000.0,45000.0,0.0,0.0,75000.0,54000.0,132000.0
34,66000.0,84000.0,45000.0,0.0,0.0,75000.0,54000.0,54000.0,135000.0
35,84000.0,45000.0,0.0,0.0,75000.0,54000.0,54000.0,51000.0,12000.0
36,45000.0,0.0,0.0,75000.0,54000.0,54000.0,51000.0,0.0,21000.0
37,0.0,0.0,75000.0,54000.0,54000.0,51000.0,0.0,33000.0,12000.0
38,0.0,75000.0,54000.0,54000.0,51000.0,0.0,33000.0,99000.0,91000.0
39,75000.0,54000.0,54000.0,51000.0,0.0,33000.0,99000.0,0.0,9000.0
40,54000.0,54000.0,51000.0,0.0,33000.0,99000.0,0.0,0.0,0.0
41,54000.0,51000.0,0.0,33000.0,99000.0,0.0,0.0,132000.0,3000.0
42,51000.0,0.0,33000.0,99000.0,0.0,0.0,132000.0,135000.0,30000.0
43,0.0,33000.0,99000.0,0.0,0.0,132000.0,135000.0,12000.0,36000.0
44,33000.0,99000.0,0.0,0.0,132000.0,135000.0,12000.0,21000.0,147000.0
45,99000.0,0.0,0.0,132000.0,135000.0,12000.0,21000.0,12000.0,3000.0
46,0.0,0.0,132000.0,135000.0,12000.0,21000.0,12000.0,91000.0,213000.0
47,0.0,132000.0,135000.0,12000.0,21000.0,12000.0,91000.0,9000.0,18000.0
48,132000.0,135000.0,12000.0,21000.0,12000.0,91000.0,9000.0,0.0,66000.0
49,135000.0,12000.0,21000.0,12000.0,91000.0,9000.0,0.0,3000.0,96000.0
50,12000.0,21000.0,12000.0,91000.0,9000.0,0.0,3000.0,30000.0,0.0
51,21000.0,12000.0,91000.0,9000.0,0.0,3000.0,30000.0,36000.0,0.0
52,12000.0,91000.0,9000.0,0.0,3000.0,30000.0,36000.0,147000.0,0.0
53,91000.0,9000.0,0.0,3000.0,30000.0,36000.0,147000.0,3000.0,0.0
54,9000.0,0.0,3000.0,30000.0,36000.0,147000.0,3000.0,213000.0,76000.0
55,0.0,3000.0,30000.0,36000.0,147000.0,3000.0,213000.0,18000.0,0.0
56,3000.0,30000.0,36000.0,147000.0,3000.0,213000.0,18000.0,66000.0,0.0
57,30000.0,36000.0,147000.0,3000.0,213000.0,18000.0,66000.0,96000.0,18000.0
58,36000.0,147000.0,3000.0,213000.0,18000.0,66000.0,96000.0,0.0,0.0
59,147000.0,3000.0,213000.0,18000.0,66000.0,96000.0,0.0,0.0,60000.0
60,3000.0,213000.0,18000.0,66000.0,96000.0,0.0,0.0,0.0,183000.0
61,213000.0,18000.0,66000.0,96000.0,0.0,0.0,0.0,0.0,3000.0
62,18000.0,66000.0,96000.0,0.0,0.0,0.0,0.0,76000.0,137000.0
63,66000.0,96000.0,0.0,0.0,0.0,0.0,76000.0,0.0,0.0
64,96000.0,0.0,0.0,0.0,0.0,76000.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,76000.0,0.0,0.0,18000.0,147000.0
66,0.0,0.0,0.0,76000.0,0.0,0.0,18000.0,0.0,57000.0
67,0.0,0.0,76000.0,0.0,0.0,18000.0,0.0,60000.0,123000.0
68,0.0,76000.0,0.0,0.0,18000.0,0.0,60000.0,183000.0,0.0
69,76000.0,0.0,0.0,18000.0,0.0,60000.0,183000.0,3000.0,0.0
70,0.0,0.0,18000.0,0.0,60000.0,183000.0,3000.0,137000.0,0.0
71,0.0,18000.0,0.0,60000.0,183000.0,3000.0,137000.0,0.0,93000.0
72,18000.0,0.0,60000.0,183000.0,3000.0,137000.0,0.0,0.0,78000.0
