,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,16000.0,9000.0,15000.0,0.0,3000.0,6000.0,16000.0,12000.0
1,16000.0,9000.0,15000.0,0.0,3000.0,6000.0,16000.0,26000.0,12000.0
2,9000.0,15000.0,0.0,3000.0,6000.0,16000.0,26000.0,40000.0,15000.0
3,15000.0,0.0,3000.0,6000.0,16000.0,26000.0,40000.0,43000.0,16000.0
4,0.0,3000.0,6000.0,16000.0,26000.0,40000.0,43000.0,40000.0,20000.0
5,3000.0,6000.0,16000.0,26000.0,40000.0,43000.0,40000.0,9000.0,21000.0
6,6000.0,16000.0,26000.0,40000.0,43000.0,40000.0,9000.0,0.0,22000.0
7,16000.0,26000.0,40000.0,43000.0,40000.0,9000.0,0.0,10000.0,21000.0
8,26000.0,40000.0,43000.0,40000.0,9000.0,0.0,10000.0,12000.0,0.0
9,40000.0,43000.0,40000.0,9000.0,0.0,10000.0,12000.0,12000.0,13000.0
10,43000.0,40000.0,9000.0,0.0,10000.0,12000.0,12000.0,15000.0,3000.0
11,40000.0,9000.0,0.0,10000.0,12000.0,12000.0,15000.0,16000.0,3000.0
12,9000.0,0.0,10000.0,12000.0,12000.0,15000.0,16000.0,20000.0,0.0
13,0.0,10000.0,12000.0,12000.0,15000.0,16000.0,20000.0,21000.0,0.0
14,10000.0,12000.0,12000.0,15000.0,16000.0,20000.0,21000.0,22000.0,9000.0
15,12000.0,12000.0,15000.0,16000.0,20000.0,21000.0,22000.0,21000.0,9000.0
16,12000.0,15000.0,16000.0,20000.0,21000.0,22000.0,21000.0,0.0,3000.0
17,15000.0,16000.0,20000.0,21000.0,22000.0,21000.0,0.0,13000.0,0.0
18,16000.0,20000.0,21000.0,22000.0,21000.0,0.0,13000.0,3000.0,3000.0
19,20000.0,21000.0,22000.0,21000.0,0.0,13000.0,3000.0,3000.0,7000.0
20,21000.0,22000.0,21000.0,0.0,13000.0,3000.0,3000.0,0.0,3000.0
21,22000.0,21000.0,0.0,13000.0,3000.0,3000.0,0.0,0.0,15000.0
22,21000.0,0.0,13000.0,3000.0,3000.0,0.0,0.0,9000.0,3000.0
23,0.0,13000.0,3000.0,3000.0,0.0,0.0,9000.0,9000.0,17000.0
24,13000.0,3000.0,3000.0,0.0,0.0,9000.0,9000.0,3000.0,9000.0
25,3000.0,3000.0,0.0,0.0,9000.0,9000.0,3000.0,0.0,6000.0
26,3000.0,0.0,0.0,9000.0,9000.0,3000.0,0.0,3000.0,3000.0
27,0.0,0.0,9000.0,9000.0,3000.0,0.0,3000.0,7000.0,6000.0
28,0.0,9000.0,9000.0,3000.0,0.0,3000.0,7000.0,3000.0,0.0
29,9000.0,9000.0,3000.0,0.0,3000.0,7000.0,3000.0,15000.0,6000.0
30,9000.0,3000.0,0.0,3000.0,7000.0,3000.0,15000.0,3000.0,15000.0
31,3000.0,0.0,3000.0,7000.0,3000.0,15000.0,3000.0,17000.0,0.0
32,0.0,3000.0,7000.0,3000.0,15000.0,3000.0,17000.0,9000.0,9000.0
33,3000.0,7000.0,3000.0,15000.0,3000.0,17000.0,9000.0,6000.0,9000.0
34,7000.0,3000.0,15000.0,3000.0,17000.0,9000.0,6000.0,3000.0,9000.0
35,3000.0,15000.0,3000.0,17000.0,9000.0,6000.0,3000.0,6000.0,9000.0
36,15000.0,3000.0,17000.0,9000.0,6000.0,3000.0,6000.0,0.0,18000.0
37,3000.0,17000.0,9000.0,6000.0,3000.0,6000.0,0.0,6000.0,0.0
38,17000.0,9000.0,6000.0,3000.0,6000.0,0.0,6000.0,15000.0,3000.0
39,9000.0,6000.0,3000.0,6000.0,0.0,6000.0,15000.0,0.0,9000.0
40,6000.0,3000.0,6000.0,0.0,6000.0,15000.0,0.0,9000.0,0.0
41,3000.0,6000.0,0.0,6000.0,15000.0,0.0,9000.0,9000.0,3000.0
42,6000.0,0.0,6000.0,15000.0,0.0,9000.0,9000.0,9000.0,3000.0
43,0.0,6000.0,15000.0,0.0,9000.0,9000.0,9000.0,9000.0,0.0
44,6000.0,15000.0,0.0,9000.0,9000.0,9000.0,9000.0,18000.0,0.0
45,15000.0,0.0,9000.0,9000.0,9000.0,9000.0,18000.0,0.0,6000.0
46,0.0,9000.0,9000.0,9000.0,9000.0,18000.0,0.0,3000.0,0.0
47,9000.0,9000.0,9000.0,9000.0,18000.0,0.0,3000.0,9000.0,0.0
48,9000.0,9000.0,9000.0,18000.0,0.0,3000.0,9000.0,0.0,3000.0
49,9000.0,9000.0,18000.0,0.0,3000.0,9000.0,0.0,3000.0,3000.0
50,9000.0,18000.0,0.0,3000.0,9000.0,0.0,3000.0,3000.0,0.0
51,18000.0,0.0,3000.0,9000.0,0.0,3000.0,3000.0,0.0,3000.0
52,0.0,3000.0,9000.0,0.0,3000.0,3000.0,0.0,0.0,3000.0
53,3000.0,9000.0,0.0,3000.0,3000.0,0.0,0.0,6000.0,0.0
54,9000.0,0.0,3000.0,3000.0,0.0,0.0,6000.0,0.0,3000.0
55,0.0,3000.0,3000.0,0.0,0.0,6000.0,0.0,0.0,6000.0
56,3000.0,3000.0,0.0,0.0,6000.0,0.0,0.0,3000.0,12000.0
57,3000.0,0.0,0.0,6000.0,0.0,0.0,3000.0,3000.0,3000.0
58,0.0,0.0,6000.0,0.0,0.0,3000.0,3000.0,0.0,0.0
59,0.0,6000.0,0.0,0.0,3000.0,3000.0,0.0,3000.0,0.0
60,6000.0,0.0,0.0,3000.0,3000.0,0.0,3000.0,3000.0,0.0
61,0.0,0.0,3000.0,3000.0,0.0,3000.0,3000.0,0.0,6000.0
62,0.0,3000.0,3000.0,0.0,3000.0,3000.0,0.0,3000.0,0.0
63,3000.0,3000.0,0.0,3000.0,3000.0,0.0,3000.0,6000.0,0.0
64,3000.0,0.0,3000.0,3000.0,0.0,3000.0,6000.0,12000.0,6000.0
65,0.0,3000.0,3000.0,0.0,3000.0,6000.0,12000.0,3000.0,3000.0
66,3000.0,3000.0,0.0,3000.0,6000.0,12000.0,3000.0,0.0,0.0
67,3000.0,0.0,3000.0,6000.0,12000.0,3000.0,0.0,0.0,0.0
68,0.0,3000.0,6000.0,12000.0,3000.0,0.0,0.0,0.0,3000.0
69,3000.0,6000.0,12000.0,3000.0,0.0,0.0,0.0,6000.0,3000.0
70,6000.0,12000.0,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0
71,12000.0,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0
72,3000.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0
73,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,3000.0,3000.0
74,0.0,0.0,6000.0,0.0,0.0,6000.0,3000.0,0.0,0.0
75,0.0,6000.0,0.0,0.0,6000.0,3000.0,0.0,0.0,3000.0
76,6000.0,0.0,0.0,6000.0,3000.0,0.0,0.0,3000.0,0.0
77,0.0,0.0,6000.0,3000.0,0.0,0.0,3000.0,3000.0,0.0
78,0.0,6000.0,3000.0,0.0,0.0,3000.0,3000.0,0.0,0.0
79,6000.0,3000.0,0.0,0.0,3000.0,3000.0,0.0,6000.0,3000.0
80,3000.0,0.0,0.0,3000.0,3000.0,0.0,6000.0,0.0,0.0
81,0.0,0.0,3000.0,3000.0,0.0,6000.0,0.0,3000.0,3000.0
82,0.0,3000.0,3000.0,0.0,6000.0,0.0,3000.0,0.0,0.0
83,3000.0,3000.0,0.0,6000.0,0.0,3000.0,0.0,3000.0,0.0
84,3000.0,0.0,6000.0,0.0,3000.0,0.0,3000.0,0.0,0.0
85,0.0,6000.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0
86,6000.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,6000.0
87,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0
88,3000.0,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,0.0
89,0.0,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0
90,3000.0,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0
91,0.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0
92,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0
93,0.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0
94,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,6000.0,0.0
95,0.0,3000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0
96,3000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
