,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,45000.0,213000.0,231000.0,255000.0,3000.0,33000.0,6000.0,42000.0,6000.0
1,213000.0,231000.0,255000.0,3000.0,33000.0,6000.0,42000.0,18000.0,3000.0
2,231000.0,255000.0,3000.0,33000.0,6000.0,42000.0,18000.0,63000.0,0.0
3,255000.0,3000.0,33000.0,6000.0,42000.0,18000.0,63000.0,159000.0,0.0
4,3000.0,33000.0,6000.0,42000.0,18000.0,63000.0,159000.0,15000.0,18000.0
5,33000.0,6000.0,42000.0,18000.0,63000.0,159000.0,15000.0,3000.0,45000.0
6,6000.0,42000.0,18000.0,63000.0,159000.0,15000.0,3000.0,15000.0,0.0
7,42000.0,18000.0,63000.0,159000.0,15000.0,3000.0,15000.0,66000.0,21000.0
8,18000.0,63000.0,159000.0,15000.0,3000.0,15000.0,66000.0,6000.0,12000.0
9,63000.0,159000.0,15000.0,3000.0,15000.0,66000.0,6000.0,3000.0,0.0
10,159000.0,15000.0,3000.0,15000.0,66000.0,6000.0,3000.0,0.0,33000.0
11,15000.0,3000.0,15000.0,66000.0,6000.0,3000.0,0.0,0.0,21000.0
12,3000.0,15000.0,66000.0,6000.0,3000.0,0.0,0.0,18000.0,15000.0
13,15000.0,66000.0,6000.0,3000.0,0.0,0.0,18000.0,45000.0,42000.0
14,66000.0,6000.0,3000.0,0.0,0.0,18000.0,45000.0,0.0,84000.0
15,6000.0,3000.0,0.0,0.0,18000.0,45000.0,0.0,21000.0,18000.0
16,3000.0,0.0,0.0,18000.0,45000.0,0.0,21000.0,12000.0,75000.0
17,0.0,0.0,18000.0,45000.0,0.0,21000.0,12000.0,0.0,69000.0
18,0.0,18000.0,45000.0,0.0,21000.0,12000.0,0.0,33000.0,96000.0
19,18000.0,45000.0,0.0,21000.0,12000.0,0.0,33000.0,21000.0,9000.0
20,45000.0,0.0,21000.0,12000.0,0.0,33000.0,21000.0,15000.0,42000.0
21,0.0,21000.0,12000.0,0.0,33000.0,21000.0,15000.0,42000.0,57000.0
22,21000.0,12000.0,0.0,33000.0,21000.0,15000.0,42000.0,84000.0,66000.0
23,12000.0,0.0,33000.0,21000.0,15000.0,42000.0,84000.0,18000.0,39000.0
24,0.0,33000.0,21000.0,15000.0,42000.0,84000.0,18000.0,75000.0,39000.0
25,33000.0,21000.0,15000.0,42000.0,84000.0,18000.0,75000.0,69000.0,42000.0
26,21000.0,15000.0,42000.0,84000.0,18000.0,75000.0,69000.0,96000.0,138000.0
27,15000.0,42000.0,84000.0,18000.0,75000.0,69000.0,96000.0,9000.0,102000.0
28,42000.0,84000.0,18000.0,75000.0,69000.0,96000.0,9000.0,42000.0,165000.0
29,84000.0,18000.0,75000.0,69000.0,96000.0,9000.0,42000.0,57000.0,183000.0
30,18000.0,75000.0,69000.0,96000.0,9000.0,42000.0,57000.0,66000.0,87000.0
31,75000.0,69000.0,96000.0,9000.0,42000.0,57000.0,66000.0,39000.0,261000.0
32,69000.0,96000.0,9000.0,42000.0,57000.0,66000.0,39000.0,39000.0,105000.0
33,96000.0,9000.0,42000.0,57000.0,66000.0,39000.0,39000.0,42000.0,243000.0
34,9000.0,42000.0,57000.0,66000.0,39000.0,39000.0,42000.0,138000.0,9000.0
35,42000.0,57000.0,66000.0,39000.0,39000.0,42000.0,138000.0,102000.0,99000.0
36,57000.0,66000.0,39000.0,39000.0,42000.0,138000.0,102000.0,165000.0,129000.0
37,66000.0,39000.0,39000.0,42000.0,138000.0,102000.0,165000.0,183000.0,102000.0
