,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,6000.0,6000.0,3000.0,9000.0,9000.0,12000.0,15000.0,21000.0,9000.0
1,6000.0,3000.0,9000.0,9000.0,12000.0,15000.0,21000.0,0.0,3000.0
2,3000.0,9000.0,9000.0,12000.0,15000.0,21000.0,0.0,0.0,18000.0
3,9000.0,9000.0,12000.0,15000.0,21000.0,0.0,0.0,12000.0,12000.0
4,9000.0,12000.0,15000.0,21000.0,0.0,0.0,12000.0,3000.0,9000.0
5,12000.0,15000.0,21000.0,0.0,0.0,12000.0,3000.0,9000.0,0.0
6,15000.0,21000.0,0.0,0.0,12000.0,3000.0,9000.0,0.0,15000.0
7,21000.0,0.0,0.0,12000.0,3000.0,9000.0,0.0,15000.0,21000.0
8,0.0,0.0,12000.0,3000.0,9000.0,0.0,15000.0,9000.0,18000.0
9,0.0,12000.0,3000.0,9000.0,0.0,15000.0,9000.0,3000.0,18000.0
10,12000.0,3000.0,9000.0,0.0,15000.0,9000.0,3000.0,18000.0,6000.0
11,3000.0,9000.0,0.0,15000.0,9000.0,3000.0,18000.0,12000.0,0.0
12,9000.0,0.0,15000.0,9000.0,3000.0,18000.0,12000.0,9000.0,12000.0
13,0.0,15000.0,9000.0,3000.0,18000.0,12000.0,9000.0,0.0,9000.0
14,15000.0,9000.0,3000.0,18000.0,12000.0,9000.0,0.0,15000.0,12000.0
15,9000.0,3000.0,18000.0,12000.0,9000.0,0.0,15000.0,21000.0,3000.0
16,3000.0,18000.0,12000.0,9000.0,0.0,15000.0,21000.0,18000.0,3000.0
17,18000.0,12000.0,9000.0,0.0,15000.0,21000.0,18000.0,18000.0,0.0
18,12000.0,9000.0,0.0,15000.0,21000.0,18000.0,18000.0,6000.0,3000.0
19,9000.0,0.0,15000.0,21000.0,18000.0,18000.0,6000.0,0.0,21000.0
20,0.0,15000.0,21000.0,18000.0,18000.0,6000.0,0.0,12000.0,9000.0
21,15000.0,21000.0,18000.0,18000.0,6000.0,0.0,12000.0,9000.0,3000.0
22,21000.0,18000.0,18000.0,6000.0,0.0,12000.0,9000.0,12000.0,21000.0
23,18000.0,18000.0,6000.0,0.0,12000.0,9000.0,12000.0,3000.0,6000.0
24,18000.0,6000.0,0.0,12000.0,9000.0,12000.0,3000.0,3000.0,0.0
25,6000.0,0.0,12000.0,9000.0,12000.0,3000.0,3000.0,0.0,12000.0
26,0.0,12000.0,9000.0,12000.0,3000.0,3000.0,0.0,3000.0,9000.0
27,12000.0,9000.0,12000.0,3000.0,3000.0,0.0,3000.0,21000.0,18000.0
28,9000.0,12000.0,3000.0,3000.0,0.0,3000.0,21000.0,9000.0,6000.0
29,12000.0,3000.0,3000.0,0.0,3000.0,21000.0,9000.0,3000.0,27000.0
30,3000.0,3000.0,0.0,3000.0,21000.0,9000.0,3000.0,21000.0,0.0
31,3000.0,0.0,3000.0,21000.0,9000.0,3000.0,21000.0,6000.0,18000.0
32,0.0,3000.0,21000.0,9000.0,3000.0,21000.0,6000.0,0.0,6000.0
33,3000.0,21000.0,9000.0,3000.0,21000.0,6000.0,0.0,12000.0,9000.0
34,21000.0,9000.0,3000.0,21000.0,6000.0,0.0,12000.0,9000.0,27000.0
35,9000.0,3000.0,21000.0,6000.0,0.0,12000.0,9000.0,18000.0,15000.0
36,3000.0,21000.0,6000.0,0.0,12000.0,9000.0,18000.0,6000.0,30000.0
37,21000.0,6000.0,0.0,12000.0,9000.0,18000.0,6000.0,27000.0,0.0
38,6000.0,0.0,12000.0,9000.0,18000.0,6000.0,27000.0,0.0,21000.0
39,0.0,12000.0,9000.0,18000.0,6000.0,27000.0,0.0,18000.0,21000.0
40,12000.0,9000.0,18000.0,6000.0,27000.0,0.0,18000.0,6000.0,9000.0
41,9000.0,18000.0,6000.0,27000.0,0.0,18000.0,6000.0,9000.0,15000.0
42,18000.0,6000.0,27000.0,0.0,18000.0,6000.0,9000.0,27000.0,24000.0
43,6000.0,27000.0,0.0,18000.0,6000.0,9000.0,27000.0,15000.0,12000.0
