,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0
1,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,3000.0,6000.0
2,0.0,0.0,0.0,3000.0,3000.0,0.0,3000.0,30000.0,3000.0
3,0.0,0.0,3000.0,3000.0,0.0,3000.0,30000.0,120000.0,0.0
4,0.0,3000.0,3000.0,0.0,3000.0,30000.0,120000.0,137000.0,6000.0
5,3000.0,3000.0,0.0,3000.0,30000.0,120000.0,137000.0,219000.0,0.0
6,3000.0,0.0,3000.0,30000.0,120000.0,137000.0,219000.0,143000.0,0.0
7,0.0,3000.0,30000.0,120000.0,137000.0,219000.0,143000.0,230000.0,3000.0
8,3000.0,30000.0,120000.0,137000.0,219000.0,143000.0,230000.0,0.0,0.0
9,30000.0,120000.0,137000.0,219000.0,143000.0,230000.0,0.0,6000.0,0.0
10,120000.0,137000.0,219000.0,143000.0,230000.0,0.0,6000.0,3000.0,6000.0
11,137000.0,219000.0,143000.0,230000.0,0.0,6000.0,3000.0,0.0,0.0
12,219000.0,143000.0,230000.0,0.0,6000.0,3000.0,0.0,6000.0,0.0
13,143000.0,230000.0,0.0,6000.0,3000.0,0.0,6000.0,0.0,0.0
14,230000.0,0.0,6000.0,3000.0,0.0,6000.0,0.0,0.0,0.0
15,0.0,6000.0,3000.0,0.0,6000.0,0.0,0.0,3000.0,15000.0
16,6000.0,3000.0,0.0,6000.0,0.0,0.0,3000.0,0.0,0.0
17,3000.0,0.0,6000.0,0.0,0.0,3000.0,0.0,0.0,3000.0
18,0.0,6000.0,0.0,0.0,3000.0,0.0,0.0,6000.0,3000.0
19,6000.0,0.0,0.0,3000.0,0.0,0.0,6000.0,0.0,15000.0
20,0.0,0.0,3000.0,0.0,0.0,6000.0,0.0,0.0,0.0
21,0.0,3000.0,0.0,0.0,6000.0,0.0,0.0,0.0,31000.0
22,3000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,15000.0
23,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,15000.0,27000.0
