,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,6000.0
2,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,15000.0,0.0
3,0.0,0.0,0.0,0.0,3000.0,0.0,15000.0,0.0,6000.0
4,0.0,0.0,0.0,3000.0,0.0,15000.0,0.0,0.0,0.0
5,0.0,0.0,3000.0,0.0,15000.0,0.0,0.0,0.0,0.0
6,0.0,3000.0,0.0,15000.0,0.0,0.0,0.0,3000.0,0.0
7,3000.0,0.0,15000.0,0.0,0.0,0.0,3000.0,0.0,9000.0
8,0.0,15000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0
9,15000.0,0.0,0.0,0.0,3000.0,0.0,0.0,6000.0,0.0
10,0.0,0.0,0.0,3000.0,0.0,0.0,6000.0,0.0,3000.0
11,0.0,0.0,3000.0,0.0,0.0,6000.0,0.0,6000.0,9000.0
12,0.0,3000.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0
13,3000.0,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,3000.0
14,0.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0
15,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,9000.0,9000.0
16,6000.0,0.0,6000.0,0.0,0.0,0.0,9000.0,0.0,18000.0
17,0.0,6000.0,0.0,0.0,0.0,9000.0,0.0,0.0,12000.0
18,6000.0,0.0,0.0,0.0,9000.0,0.0,0.0,3000.0,6000.0
19,0.0,0.0,0.0,9000.0,0.0,0.0,3000.0,9000.0,42000.0
20,0.0,0.0,9000.0,0.0,0.0,3000.0,9000.0,0.0,3000.0
21,0.0,9000.0,0.0,0.0,3000.0,9000.0,0.0,3000.0,282000.0
22,9000.0,0.0,0.0,3000.0,9000.0,0.0,3000.0,0.0,30000.0
23,0.0,0.0,3000.0,9000.0,0.0,3000.0,0.0,9000.0,0.0
24,0.0,3000.0,9000.0,0.0,3000.0,0.0,9000.0,18000.0,93000.0
25,3000.0,9000.0,0.0,3000.0,0.0,9000.0,18000.0,12000.0,111000.0
26,9000.0,0.0,3000.0,0.0,9000.0,18000.0,12000.0,6000.0,21000.0
27,0.0,3000.0,0.0,9000.0,18000.0,12000.0,6000.0,42000.0,60000.0
28,3000.0,0.0,9000.0,18000.0,12000.0,6000.0,42000.0,3000.0,39000.0
29,0.0,9000.0,18000.0,12000.0,6000.0,42000.0,3000.0,282000.0,57000.0
30,9000.0,18000.0,12000.0,6000.0,42000.0,3000.0,282000.0,30000.0,246000.0
31,18000.0,12000.0,6000.0,42000.0,3000.0,282000.0,30000.0,0.0,99000.0
32,12000.0,6000.0,42000.0,3000.0,282000.0,30000.0,0.0,93000.0,60000.0
33,6000.0,42000.0,3000.0,282000.0,30000.0,0.0,93000.0,111000.0,369000.0
34,42000.0,3000.0,282000.0,30000.0,0.0,93000.0,111000.0,21000.0,12000.0
35,3000.0,282000.0,30000.0,0.0,93000.0,111000.0,21000.0,60000.0,60000.0
36,282000.0,30000.0,0.0,93000.0,111000.0,21000.0,60000.0,39000.0,234000.0
37,30000.0,0.0,93000.0,111000.0,21000.0,60000.0,39000.0,57000.0,552000.0
