,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,1430.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,0.0,2860.0
9,0.0,0.0,0.0,0.0,0.0,1430.0,0.0,0.0,4290.0
10,0.0,0.0,0.0,0.0,1430.0,0.0,0.0,0.0,1430.0
11,0.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0
14,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,5720.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,2860.0,5720.0
17,0.0,0.0,0.0,0.0,0.0,1430.0,2860.0,4290.0,2860.0
18,0.0,0.0,0.0,0.0,1430.0,2860.0,4290.0,1430.0,2860.0
19,0.0,0.0,0.0,1430.0,2860.0,4290.0,1430.0,0.0,8580.0
20,0.0,0.0,1430.0,2860.0,4290.0,1430.0,0.0,0.0,17160.0
21,0.0,1430.0,2860.0,4290.0,1430.0,0.0,0.0,2860.0,12870.0
22,1430.0,2860.0,4290.0,1430.0,0.0,0.0,2860.0,0.0,18590.0
23,2860.0,4290.0,1430.0,0.0,0.0,2860.0,0.0,5720.0,20020.0
24,4290.0,1430.0,0.0,0.0,2860.0,0.0,5720.0,5720.0,10010.0
25,1430.0,0.0,0.0,2860.0,0.0,5720.0,5720.0,2860.0,27170.0
26,0.0,0.0,2860.0,0.0,5720.0,5720.0,2860.0,2860.0,0.0
27,0.0,2860.0,0.0,5720.0,5720.0,2860.0,2860.0,8580.0,21590.0
28,2860.0,0.0,5720.0,5720.0,2860.0,2860.0,8580.0,17160.0,11440.0
29,0.0,5720.0,5720.0,2860.0,2860.0,8580.0,17160.0,12870.0,18590.0
30,5720.0,5720.0,2860.0,2860.0,8580.0,17160.0,12870.0,18590.0,15730.0
31,5720.0,2860.0,2860.0,8580.0,17160.0,12870.0,18590.0,20020.0,17860.0
32,2860.0,2860.0,8580.0,17160.0,12870.0,18590.0,20020.0,10010.0,18000.0
33,2860.0,8580.0,17160.0,12870.0,18590.0,20020.0,10010.0,27170.0,45000.0
34,8580.0,17160.0,12870.0,18590.0,20020.0,10010.0,27170.0,0.0,32000.0
35,17160.0,12870.0,18590.0,20020.0,10010.0,27170.0,0.0,21590.0,30000.0
36,12870.0,18590.0,20020.0,10010.0,27170.0,0.0,21590.0,11440.0,39000.0
