,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,9000.0,28000.0,42000.0,24000.0,35000.0,36000.0,46000.0,80000.0,12000.0
1,28000.0,42000.0,24000.0,35000.0,36000.0,46000.0,80000.0,12000.0,24000.0
2,42000.0,24000.0,35000.0,36000.0,46000.0,80000.0,12000.0,0.0,30000.0
3,24000.0,35000.0,36000.0,46000.0,80000.0,12000.0,0.0,16000.0,21000.0
4,35000.0,36000.0,46000.0,80000.0,12000.0,0.0,16000.0,24000.0,29000.0
5,36000.0,46000.0,80000.0,12000.0,0.0,16000.0,24000.0,12000.0,27000.0
6,46000.0,80000.0,12000.0,0.0,16000.0,24000.0,12000.0,0.0,21000.0
7,80000.0,12000.0,0.0,16000.0,24000.0,12000.0,0.0,12000.0,28000.0
8,12000.0,0.0,16000.0,24000.0,12000.0,0.0,12000.0,12000.0,21000.0
9,0.0,16000.0,24000.0,12000.0,0.0,12000.0,12000.0,24000.0,33000.0
10,16000.0,24000.0,12000.0,0.0,12000.0,12000.0,24000.0,30000.0,35000.0
11,24000.0,12000.0,0.0,12000.0,12000.0,24000.0,30000.0,21000.0,0.0
12,12000.0,0.0,12000.0,12000.0,24000.0,30000.0,21000.0,29000.0,6000.0
13,0.0,12000.0,12000.0,24000.0,30000.0,21000.0,29000.0,27000.0,9000.0
14,12000.0,12000.0,24000.0,30000.0,21000.0,29000.0,27000.0,21000.0,15000.0
15,12000.0,24000.0,30000.0,21000.0,29000.0,27000.0,21000.0,28000.0,12000.0
16,24000.0,30000.0,21000.0,29000.0,27000.0,21000.0,28000.0,21000.0,27000.0
17,30000.0,21000.0,29000.0,27000.0,21000.0,28000.0,21000.0,33000.0,0.0
18,21000.0,29000.0,27000.0,21000.0,28000.0,21000.0,33000.0,35000.0,9000.0
19,29000.0,27000.0,21000.0,28000.0,21000.0,33000.0,35000.0,0.0,30000.0
20,27000.0,21000.0,28000.0,21000.0,33000.0,35000.0,0.0,6000.0,27000.0
21,21000.0,28000.0,21000.0,33000.0,35000.0,0.0,6000.0,9000.0,24000.0
22,28000.0,21000.0,33000.0,35000.0,0.0,6000.0,9000.0,15000.0,6000.0
23,21000.0,33000.0,35000.0,0.0,6000.0,9000.0,15000.0,12000.0,3000.0
24,33000.0,35000.0,0.0,6000.0,9000.0,15000.0,12000.0,27000.0,0.0
25,35000.0,0.0,6000.0,9000.0,15000.0,12000.0,27000.0,0.0,9000.0
26,0.0,6000.0,9000.0,15000.0,12000.0,27000.0,0.0,9000.0,6000.0
27,6000.0,9000.0,15000.0,12000.0,27000.0,0.0,9000.0,30000.0,3000.0
28,9000.0,15000.0,12000.0,27000.0,0.0,9000.0,30000.0,27000.0,3000.0
29,15000.0,12000.0,27000.0,0.0,9000.0,30000.0,27000.0,24000.0,3000.0
30,12000.0,27000.0,0.0,9000.0,30000.0,27000.0,24000.0,6000.0,0.0
31,27000.0,0.0,9000.0,30000.0,27000.0,24000.0,6000.0,3000.0,18000.0
32,0.0,9000.0,30000.0,27000.0,24000.0,6000.0,3000.0,0.0,18000.0
33,9000.0,30000.0,27000.0,24000.0,6000.0,3000.0,0.0,9000.0,21000.0
34,30000.0,27000.0,24000.0,6000.0,3000.0,0.0,9000.0,6000.0,6000.0
35,27000.0,24000.0,6000.0,3000.0,0.0,9000.0,6000.0,3000.0,0.0
36,24000.0,6000.0,3000.0,0.0,9000.0,6000.0,3000.0,3000.0,18000.0
37,6000.0,3000.0,0.0,9000.0,6000.0,3000.0,3000.0,3000.0,18000.0
38,3000.0,0.0,9000.0,6000.0,3000.0,3000.0,3000.0,0.0,0.0
39,0.0,9000.0,6000.0,3000.0,3000.0,3000.0,0.0,18000.0,12000.0
40,9000.0,6000.0,3000.0,3000.0,3000.0,0.0,18000.0,18000.0,9000.0
41,6000.0,3000.0,3000.0,3000.0,0.0,18000.0,18000.0,21000.0,9000.0
42,3000.0,3000.0,3000.0,0.0,18000.0,18000.0,21000.0,6000.0,0.0
43,3000.0,3000.0,0.0,18000.0,18000.0,21000.0,6000.0,0.0,3000.0
44,3000.0,0.0,18000.0,18000.0,21000.0,6000.0,0.0,18000.0,3000.0
45,0.0,18000.0,18000.0,21000.0,6000.0,0.0,18000.0,18000.0,6000.0
46,18000.0,18000.0,21000.0,6000.0,0.0,18000.0,18000.0,0.0,0.0
47,18000.0,21000.0,6000.0,0.0,18000.0,18000.0,0.0,12000.0,0.0
48,21000.0,6000.0,0.0,18000.0,18000.0,0.0,12000.0,9000.0,6000.0
49,6000.0,0.0,18000.0,18000.0,0.0,12000.0,9000.0,9000.0,3000.0
50,0.0,18000.0,18000.0,0.0,12000.0,9000.0,9000.0,0.0,0.0
51,18000.0,18000.0,0.0,12000.0,9000.0,9000.0,0.0,3000.0,0.0
52,18000.0,0.0,12000.0,9000.0,9000.0,0.0,3000.0,3000.0,0.0
53,0.0,12000.0,9000.0,9000.0,0.0,3000.0,3000.0,6000.0,9000.0
54,12000.0,9000.0,9000.0,0.0,3000.0,3000.0,6000.0,0.0,0.0
55,9000.0,9000.0,0.0,3000.0,3000.0,6000.0,0.0,0.0,0.0
56,9000.0,0.0,3000.0,3000.0,6000.0,0.0,0.0,6000.0,0.0
57,0.0,3000.0,3000.0,6000.0,0.0,0.0,6000.0,3000.0,0.0
