,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,216000.0,270000.0,390000.0,111000.0,237000.0,270000.0,393000.0,528000.0,276000.0
1,270000.0,390000.0,111000.0,237000.0,270000.0,393000.0,528000.0,666000.0,99000.0
2,390000.0,111000.0,237000.0,270000.0,393000.0,528000.0,666000.0,624000.0,240000.0
3,111000.0,237000.0,270000.0,393000.0,528000.0,666000.0,624000.0,693000.0,354000.0
4,237000.0,270000.0,393000.0,528000.0,666000.0,624000.0,693000.0,748000.0,234000.0
5,270000.0,393000.0,528000.0,666000.0,624000.0,693000.0,748000.0,777000.0,240000.0
6,393000.0,528000.0,666000.0,624000.0,693000.0,748000.0,777000.0,258000.0,576000.0
7,528000.0,666000.0,624000.0,693000.0,748000.0,777000.0,258000.0,405000.0,423000.0
8,666000.0,624000.0,693000.0,748000.0,777000.0,258000.0,405000.0,276000.0,528000.0
9,624000.0,693000.0,748000.0,777000.0,258000.0,405000.0,276000.0,99000.0,522000.0
10,693000.0,748000.0,777000.0,258000.0,405000.0,276000.0,99000.0,240000.0,495000.0
11,748000.0,777000.0,258000.0,405000.0,276000.0,99000.0,240000.0,354000.0,135000.0
12,777000.0,258000.0,405000.0,276000.0,99000.0,240000.0,354000.0,234000.0,327000.0
13,258000.0,405000.0,276000.0,99000.0,240000.0,354000.0,234000.0,240000.0,246000.0
14,405000.0,276000.0,99000.0,240000.0,354000.0,234000.0,240000.0,576000.0,396000.0
15,276000.0,99000.0,240000.0,354000.0,234000.0,240000.0,576000.0,423000.0,399000.0
16,99000.0,240000.0,354000.0,234000.0,240000.0,576000.0,423000.0,528000.0,339000.0
17,240000.0,354000.0,234000.0,240000.0,576000.0,423000.0,528000.0,522000.0,270000.0
18,354000.0,234000.0,240000.0,576000.0,423000.0,528000.0,522000.0,495000.0,180000.0
19,234000.0,240000.0,576000.0,423000.0,528000.0,522000.0,495000.0,135000.0,414000.0
20,240000.0,576000.0,423000.0,528000.0,522000.0,495000.0,135000.0,327000.0,252000.0
21,576000.0,423000.0,528000.0,522000.0,495000.0,135000.0,327000.0,246000.0,375000.0
22,423000.0,528000.0,522000.0,495000.0,135000.0,327000.0,246000.0,396000.0,327000.0
23,528000.0,522000.0,495000.0,135000.0,327000.0,246000.0,396000.0,399000.0,264000.0
24,522000.0,495000.0,135000.0,327000.0,246000.0,396000.0,399000.0,339000.0,174000.0
25,495000.0,135000.0,327000.0,246000.0,396000.0,399000.0,339000.0,270000.0,330000.0
26,135000.0,327000.0,246000.0,396000.0,399000.0,339000.0,270000.0,180000.0,201000.0
