,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,0.0,32500.0,37500.0,0.0,7500.0,22500.0,62500.0,50000.0,47500.0
1,32500.0,37500.0,0.0,7500.0,22500.0,62500.0,50000.0,47500.0,70000.0
2,37500.0,0.0,7500.0,22500.0,62500.0,50000.0,47500.0,22500.0,37500.0
3,0.0,7500.0,22500.0,62500.0,50000.0,47500.0,22500.0,35000.0,82500.0
4,7500.0,22500.0,62500.0,50000.0,47500.0,22500.0,35000.0,35000.0,42500.0
5,22500.0,62500.0,50000.0,47500.0,22500.0,35000.0,35000.0,67500.0,22500.0
6,62500.0,50000.0,47500.0,22500.0,35000.0,35000.0,67500.0,0.0,22500.0
7,50000.0,47500.0,22500.0,35000.0,35000.0,67500.0,0.0,62500.0,17500.0
8,47500.0,22500.0,35000.0,35000.0,67500.0,0.0,62500.0,47500.0,0.0
9,22500.0,35000.0,35000.0,67500.0,0.0,62500.0,47500.0,70000.0,15000.0
10,35000.0,35000.0,67500.0,0.0,62500.0,47500.0,70000.0,37500.0,0.0
11,35000.0,67500.0,0.0,62500.0,47500.0,70000.0,37500.0,82500.0,0.0
12,67500.0,0.0,62500.0,47500.0,70000.0,37500.0,82500.0,42500.0,0.0
13,0.0,62500.0,47500.0,70000.0,37500.0,82500.0,42500.0,22500.0,2500.0
14,62500.0,47500.0,70000.0,37500.0,82500.0,42500.0,22500.0,22500.0,0.0
15,47500.0,70000.0,37500.0,82500.0,42500.0,22500.0,22500.0,17500.0,0.0
16,70000.0,37500.0,82500.0,42500.0,22500.0,22500.0,17500.0,0.0,0.0
17,37500.0,82500.0,42500.0,22500.0,22500.0,17500.0,0.0,15000.0,0.0
18,82500.0,42500.0,22500.0,22500.0,17500.0,0.0,15000.0,0.0,0.0
19,42500.0,22500.0,22500.0,17500.0,0.0,15000.0,0.0,0.0,2500.0
20,22500.0,22500.0,17500.0,0.0,15000.0,0.0,0.0,0.0,0.0
21,22500.0,17500.0,0.0,15000.0,0.0,0.0,0.0,2500.0,0.0
22,17500.0,0.0,15000.0,0.0,0.0,0.0,2500.0,0.0,0.0
23,0.0,15000.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
24,15000.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,5000.0
27,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,22500.0
28,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,22500.0,0.0
36,0.0,0.0,0.0,0.0,0.0,5000.0,22500.0,0.0,0.0
37,0.0,0.0,0.0,0.0,5000.0,22500.0,0.0,0.0,0.0
38,0.0,0.0,0.0,5000.0,22500.0,0.0,0.0,0.0,5000.0
39,0.0,0.0,5000.0,22500.0,0.0,0.0,0.0,0.0,17500.0
40,0.0,5000.0,22500.0,0.0,0.0,0.0,0.0,0.0,10000.0
41,5000.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0
42,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,37500.0
47,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,17500.0,42500.0
48,0.0,0.0,0.0,0.0,0.0,5000.0,17500.0,10000.0,45000.0
49,0.0,0.0,0.0,0.0,5000.0,17500.0,10000.0,42500.0,42500.0
50,0.0,0.0,0.0,5000.0,17500.0,10000.0,42500.0,22500.0,27500.0
51,0.0,0.0,5000.0,17500.0,10000.0,42500.0,22500.0,10000.0,40000.0
52,0.0,5000.0,17500.0,10000.0,42500.0,22500.0,10000.0,42500.0,67500.0
53,5000.0,17500.0,10000.0,42500.0,22500.0,10000.0,42500.0,55000.0,70000.0
54,17500.0,10000.0,42500.0,22500.0,10000.0,42500.0,55000.0,37500.0,60000.0
55,10000.0,42500.0,22500.0,10000.0,42500.0,55000.0,37500.0,42500.0,25000.0
56,42500.0,22500.0,10000.0,42500.0,55000.0,37500.0,42500.0,45000.0,67500.0
57,22500.0,10000.0,42500.0,55000.0,37500.0,42500.0,45000.0,42500.0,37500.0
58,10000.0,42500.0,55000.0,37500.0,42500.0,45000.0,42500.0,27500.0,35000.0
59,42500.0,55000.0,37500.0,42500.0,45000.0,42500.0,27500.0,40000.0,25000.0
60,55000.0,37500.0,42500.0,45000.0,42500.0,27500.0,40000.0,67500.0,40000.0
61,37500.0,42500.0,45000.0,42500.0,27500.0,40000.0,67500.0,70000.0,135833.33333333337
62,42500.0,45000.0,42500.0,27500.0,40000.0,67500.0,70000.0,60000.0,0.0
63,45000.0,42500.0,27500.0,40000.0,67500.0,70000.0,60000.0,25000.0,0.0
64,42500.0,27500.0,40000.0,67500.0,70000.0,60000.0,25000.0,67500.0,0.0
