,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,10000.0,23000.0,32000.0,34000.0,37000.0,12000.0,21000.0,33000.0,37000.0
1,23000.0,32000.0,34000.0,37000.0,12000.0,21000.0,33000.0,49000.0,51000.0
2,32000.0,34000.0,37000.0,12000.0,21000.0,33000.0,49000.0,0.0,46000.0
3,34000.0,37000.0,12000.0,21000.0,33000.0,49000.0,0.0,9000.0,21000.0
4,37000.0,12000.0,21000.0,33000.0,49000.0,0.0,9000.0,15000.0,31000.0
5,12000.0,21000.0,33000.0,49000.0,0.0,9000.0,15000.0,30000.0,0.0
6,21000.0,33000.0,49000.0,0.0,9000.0,15000.0,30000.0,0.0,0.0
7,33000.0,49000.0,0.0,9000.0,15000.0,30000.0,0.0,31000.0,0.0
8,49000.0,0.0,9000.0,15000.0,30000.0,0.0,31000.0,37000.0,0.0
9,0.0,9000.0,15000.0,30000.0,0.0,31000.0,37000.0,51000.0,0.0
10,9000.0,15000.0,30000.0,0.0,31000.0,37000.0,51000.0,46000.0,0.0
11,15000.0,30000.0,0.0,31000.0,37000.0,51000.0,46000.0,21000.0,0.0
12,30000.0,0.0,31000.0,37000.0,51000.0,46000.0,21000.0,31000.0,0.0
13,0.0,31000.0,37000.0,51000.0,46000.0,21000.0,31000.0,0.0,0.0
14,31000.0,37000.0,51000.0,46000.0,21000.0,31000.0,0.0,0.0,0.0
15,37000.0,51000.0,46000.0,21000.0,31000.0,0.0,0.0,0.0,0.0
16,51000.0,46000.0,21000.0,31000.0,0.0,0.0,0.0,0.0,0.0
17,46000.0,21000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0
18,21000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,6000.0
32,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0
33,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0
34,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,12000.0,0.0
35,0.0,0.0,3000.0,3000.0,0.0,0.0,12000.0,0.0,3000.0
36,0.0,3000.0,3000.0,0.0,0.0,12000.0,0.0,0.0,0.0
37,3000.0,3000.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0
38,3000.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,18000.0
39,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,6000.0,3000.0
40,0.0,12000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0
41,12000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,9000.0
42,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,9000.0
43,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,3000.0,3000.0
44,0.0,0.0,6000.0,0.0,0.0,0.0,3000.0,0.0,13000.0
45,0.0,6000.0,0.0,0.0,0.0,3000.0,0.0,0.0,22000.0
46,6000.0,0.0,0.0,0.0,3000.0,0.0,0.0,18000.0,9000.0
47,0.0,0.0,0.0,3000.0,0.0,0.0,18000.0,3000.0,12000.0
48,0.0,0.0,3000.0,0.0,0.0,18000.0,3000.0,0.0,18000.0
49,0.0,3000.0,0.0,0.0,18000.0,3000.0,0.0,9000.0,15000.0
