,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,y_15
0,150000.0,357000.0,363000.0,213000.0,357000.0,246000.0,252000.0,531000.0,339000
1,357000.0,363000.0,213000.0,357000.0,246000.0,252000.0,531000.0,363000.0,273000
2,363000.0,213000.0,357000.0,246000.0,252000.0,531000.0,363000.0,384000.0,426000
3,213000.0,357000.0,246000.0,252000.0,531000.0,363000.0,384000.0,624000.0,486000
4,357000.0,246000.0,252000.0,531000.0,363000.0,384000.0,624000.0,468000.0,468000
5,246000.0,252000.0,531000.0,363000.0,384000.0,624000.0,468000.0,369000.0,210000
6,252000.0,531000.0,363000.0,384000.0,624000.0,468000.0,369000.0,132000.0,375000
7,531000.0,363000.0,384000.0,624000.0,468000.0,369000.0,132000.0,477000.0,474000
8,363000.0,384000.0,624000.0,468000.0,369000.0,132000.0,477000.0,339000.0,393000
9,384000.0,624000.0,468000.0,369000.0,132000.0,477000.0,339000.0,273000.0,339000
10,624000.0,468000.0,369000.0,132000.0,477000.0,339000.0,273000.0,426000.0,333000
11,468000.0,369000.0,132000.0,477000.0,339000.0,273000.0,426000.0,486000.0,231000
12,369000.0,132000.0,477000.0,339000.0,273000.0,426000.0,486000.0,468000.0,183000
13,132000.0,477000.0,339000.0,273000.0,426000.0,486000.0,468000.0,210000.0,66000
14,477000.0,339000.0,273000.0,426000.0,486000.0,468000.0,210000.0,375000.0,312000
15,339000.0,273000.0,426000.0,486000.0,468000.0,210000.0,375000.0,474000.0,180000
16,273000.0,426000.0,486000.0,468000.0,210000.0,375000.0,474000.0,393000.0,312000
17,426000.0,486000.0,468000.0,210000.0,375000.0,474000.0,393000.0,339000.0,117000
18,486000.0,468000.0,210000.0,375000.0,474000.0,393000.0,339000.0,333000.0,408000
19,468000.0,210000.0,375000.0,474000.0,393000.0,339000.0,333000.0,231000.0,453000
20,210000.0,375000.0,474000.0,393000.0,339000.0,333000.0,231000.0,183000.0,339000
21,375000.0,474000.0,393000.0,339000.0,333000.0,231000.0,183000.0,66000.0,384000
22,474000.0,393000.0,339000.0,333000.0,231000.0,183000.0,66000.0,312000.0,435000
23,393000.0,339000.0,333000.0,231000.0,183000.0,66000.0,312000.0,180000.0,291000
24,339000.0,333000.0,231000.0,183000.0,66000.0,312000.0,180000.0,312000.0,129000
25,333000.0,231000.0,183000.0,66000.0,312000.0,180000.0,312000.0,117000.0,336000
26,231000.0,183000.0,66000.0,312000.0,180000.0,312000.0,117000.0,408000.0,273000
27,183000.0,66000.0,312000.0,180000.0,312000.0,117000.0,408000.0,453000.0,294000
28,66000.0,312000.0,180000.0,312000.0,117000.0,408000.0,453000.0,339000.0,225000
29,312000.0,180000.0,312000.0,117000.0,408000.0,453000.0,339000.0,384000.0,447000
30,180000.0,312000.0,117000.0,408000.0,453000.0,339000.0,384000.0,435000.0,315000
31,312000.0,117000.0,408000.0,453000.0,339000.0,384000.0,435000.0,291000.0,504000
32,117000.0,408000.0,453000.0,339000.0,384000.0,435000.0,291000.0,129000.0,351000
33,408000.0,453000.0,339000.0,384000.0,435000.0,291000.0,129000.0,336000.0,411000
34,453000.0,339000.0,384000.0,435000.0,291000.0,129000.0,336000.0,273000.0,249000
35,339000.0,384000.0,435000.0,291000.0,129000.0,336000.0,273000.0,294000.0,426000
36,384000.0,435000.0,291000.0,129000.0,336000.0,273000.0,294000.0,225000.0,441000
37,435000.0,291000.0,129000.0,336000.0,273000.0,294000.0,225000.0,447000.0,300000
38,291000.0,129000.0,336000.0,273000.0,294000.0,225000.0,447000.0,315000.0,528000
39,129000.0,336000.0,273000.0,294000.0,225000.0,447000.0,315000.0,504000.0,324000
40,336000.0,273000.0,294000.0,225000.0,447000.0,315000.0,504000.0,351000.0,276000
41,273000.0,294000.0,225000.0,447000.0,315000.0,504000.0,351000.0,411000.0,492000
42,294000.0,225000.0,447000.0,315000.0,504000.0,351000.0,411000.0,249000.0,420000
43,225000.0,447000.0,315000.0,504000.0,351000.0,411000.0,249000.0,426000.0,255000
44,447000.0,315000.0,504000.0,351000.0,411000.0,249000.0,426000.0,441000.0,429000
45,315000.0,504000.0,351000.0,411000.0,249000.0,426000.0,441000.0,300000.0,618000
46,504000.0,351000.0,411000.0,249000.0,426000.0,441000.0,300000.0,528000.0,342000
47,351000.0,411000.0,249000.0,426000.0,441000.0,300000.0,528000.0,324000.0,321000
48,411000.0,249000.0,426000.0,441000.0,300000.0,528000.0,324000.0,276000.0,333000
49,249000.0,426000.0,441000.0,300000.0,528000.0,324000.0,276000.0,492000.0,537000
50,426000.0,441000.0,300000.0,528000.0,324000.0,276000.0,492000.0,420000.0,528000
51,441000.0,300000.0,528000.0,324000.0,276000.0,492000.0,420000.0,255000.0,258000
52,300000.0,528000.0,324000.0,276000.0,492000.0,420000.0,255000.0,429000.0,165000
53,528000.0,324000.0,276000.0,492000.0,420000.0,255000.0,429000.0,618000.0,249000
54,324000.0,276000.0,492000.0,420000.0,255000.0,429000.0,618000.0,342000.0,210000
55,276000.0,492000.0,420000.0,255000.0,429000.0,618000.0,342000.0,321000.0,447000
56,492000.0,420000.0,255000.0,429000.0,618000.0,342000.0,321000.0,333000.0,408000
57,420000.0,255000.0,429000.0,618000.0,342000.0,321000.0,333000.0,537000.0,426000
58,255000.0,429000.0,618000.0,342000.0,321000.0,333000.0,537000.0,528000.0,144000
59,429000.0,618000.0,342000.0,321000.0,333000.0,537000.0,528000.0,258000.0,252000
60,618000.0,342000.0,321000.0,333000.0,537000.0,528000.0,258000.0,165000.0,288000
61,342000.0,321000.0,333000.0,537000.0,528000.0,258000.0,165000.0,249000.0,357000
62,321000.0,333000.0,537000.0,528000.0,258000.0,165000.0,249000.0,210000.0,324000
63,333000.0,537000.0,528000.0,258000.0,165000.0,249000.0,210000.0,447000.0,150000
64,537000.0,528000.0,258000.0,165000.0,249000.0,210000.0,447000.0,408000.0,189000
65,528000.0,258000.0,165000.0,249000.0,210000.0,447000.0,408000.0,426000.0,360000
66,258000.0,165000.0,249000.0,210000.0,447000.0,408000.0,426000.0,144000.0,518000
67,165000.0,249000.0,210000.0,447000.0,408000.0,426000.0,144000.0,252000.0,36000
68,249000.0,210000.0,447000.0,408000.0,426000.0,144000.0,252000.0,288000.0,102000
69,210000.0,447000.0,408000.0,426000.0,144000.0,252000.0,288000.0,357000.0,243000
70,447000.0,408000.0,426000.0,144000.0,252000.0,288000.0,357000.0,324000.0,369000
71,408000.0,426000.0,144000.0,252000.0,288000.0,357000.0,324000.0,150000.0,207000
72,426000.0,144000.0,252000.0,288000.0,357000.0,324000.0,150000.0,189000.0,312000
73,144000.0,252000.0,288000.0,357000.0,324000.0,150000.0,189000.0,360000.0,282000
74,252000.0,288000.0,357000.0,324000.0,150000.0,189000.0,360000.0,518000.0,351000
75,288000.0,357000.0,324000.0,150000.0,189000.0,360000.0,518000.0,36000.0,285000
76,357000.0,324000.0,150000.0,189000.0,360000.0,518000.0,36000.0,102000.0,126000
77,324000.0,150000.0,189000.0,360000.0,518000.0,36000.0,102000.0,243000.0,234000
78,150000.0,189000.0,360000.0,518000.0,36000.0,102000.0,243000.0,369000.0,153000
79,189000.0,360000.0,518000.0,36000.0,102000.0,243000.0,369000.0,207000.0,439000
80,360000.0,518000.0,36000.0,102000.0,243000.0,369000.0,207000.0,312000.0,132000
81,518000.0,36000.0,102000.0,243000.0,369000.0,207000.0,312000.0,282000.0,378000
82,36000.0,102000.0,243000.0,369000.0,207000.0,312000.0,282000.0,351000.0,177000
83,102000.0,243000.0,369000.0,207000.0,312000.0,282000.0,351000.0,285000.0,558000
84,243000.0,369000.0,207000.0,312000.0,282000.0,351000.0,285000.0,126000.0,585000
85,369000.0,207000.0,312000.0,282000.0,351000.0,285000.0,126000.0,234000.0,126000
86,207000.0,312000.0,282000.0,351000.0,285000.0,126000.0,234000.0,153000.0,449000
87,312000.0,282000.0,351000.0,285000.0,126000.0,234000.0,153000.0,439000.0,186000
88,282000.0,351000.0,285000.0,126000.0,234000.0,153000.0,439000.0,132000.0,219000
89,351000.0,285000.0,126000.0,234000.0,153000.0,439000.0,132000.0,378000.0,186000
90,285000.0,126000.0,234000.0,153000.0,439000.0,132000.0,378000.0,177000.0,222000
